DATE,DALLSRESFRMACBEP
1991-01-01,12904
1991-04-01,12854
1991-07-01,13376
1991-10-01,14151
1992-01-01,14131
1992-04-01,13081
1992-07-01,13064
1992-10-01,13206
1993-01-01,13036
1993-04-01,12450
1993-07-01,12760
1993-10-01,12546
1994-01-01,12639
1994-04-01,11471
1994-07-01,11534
1994-10-01,11915
1995-01-01,12211
1995-04-01,12260
1995-07-01,13257
1995-10-01,14161
1996-01-01,13876
1996-04-01,13649
1996-07-01,14073
1996-10-01,15649
1997-01-01,15330
1997-04-01,14981
1997-07-01,15594
1997-10-01,16719
1998-01-01,15803
1998-04-01,14930
1998-07-01,15408
1998-10-01,16466
1999-01-01,14100
1999-04-01,13463
1999-07-01,16812
1999-10-01,17330
2000-01-01,16632
2000-04-01,16900
2000-07-01,18849
2000-10-01,21974
2001-01-01,20944
2001-04-01,21533
2001-07-01,20213
2001-10-01,23074
2002-01-01,21076
2002-04-01,20696
2002-07-01,22079
2002-10-01,24507
2003-01-01,22957
2003-04-01,21715
2003-07-01,21735
2003-10-01,24462
2004-01-01,21303
2004-04-01,21060
2004-07-01,22059
2004-10-01,22157
2005-01-01,21368
2005-04-01,23188
2005-07-01,25089
2005-10-01,29221
2006-01-01,26118
2006-04-01,26384
2006-07-01,29655
2006-10-01,39932
2007-01-01,37199
2007-04-01,41332
2007-07-01,52362
2007-10-01,65956
2008-01-01,72568
2008-04-01,80244
2008-07-01,107184
2008-10-01,145047
2009-01-01,163342
2009-04-01,175070
2009-07-01,195618
2009-10-01,232757
2010-01-01,237837
2010-04-01,223208
2010-07-01,222554
2010-10-01,220410
2011-01-01,213568
2011-04-01,208412
2011-07-01,210285
2011-10-01,217748
2012-01-01,215486
2012-04-01,213464
2012-07-01,221399
2012-10-01,214991
2013-01-01,203127
2013-04-01,188911
2013-07-01,175418
2013-10-01,169270
2014-01-01,157955
2014-04-01,148651
2014-07-01,140825
2014-10-01,135909
2015-01-01,125279
2015-04-01,117374
2015-07-01,111541
2015-10-01,109828
2016-01-01,101000
2016-04-01,95546
2016-07-01,91840
2016-10-01,90999
2017-01-01,82951
2017-04-01,77510
2017-07-01,78820
2017-10-01,81730
2018-01-01,75107
2018-04-01,69159
2018-07-01,66912
2018-10-01,64286
2019-01-01,59980
2019-04-01,56944
2019-07-01,54587
2019-10-01,54200
2020-01-01,54191
2020-04-01,56226
2020-07-01,65162
2020-10-01,64296
2021-01-01,58633
2021-04-01,53124
2021-07-01,51430
2021-10-01,52762
2022-01-01,48422
2022-04-01,45166
2022-07-01,43803
2022-10-01,45983
2023-01-01,43611
2023-04-01,42412
2023-07-01,43671
2023-10-01,46002
2024-01-01,44595
2024-04-01,43766
