DATE,DTBOVXDFBANA
1980-07-01,-18204.4800000
1980-08-01,-18098.1600000
1980-09-01,-3500.5200000
1980-10-01,3530.6400000
1980-11-01,7575.6000000
1980-12-01,12897.2400000
1981-01-01,-6953.4000000
1981-02-01,-824.2800000
1981-03-01,-9342.6000000
1981-04-01,5707.8000000
1981-05-01,10038.8400000
1981-06-01,11404.8000000
1981-07-01,-1190.2800000
1981-08-01,-21719.1600000
1981-09-01,-5646.7200000
1981-10-01,6662.6400000
1981-11-01,12035.7600000
1981-12-01,5141.2800000
1982-01-01,-4145.4000000
1982-02-01,1996.2000000
1982-03-01,-3279.9600000
1982-04-01,-10206.6000000
1982-05-01,3218.8800000
1982-06-01,15245.7600000
1982-07-01,7086.4800000
1982-08-01,-14505.7200000
1982-09-01,8080.2000000
1982-10-01,-3657.8400000
1982-11-01,-9730.6800000
1982-12-01,-2125.5600000
1983-01-01,526.9200000
1983-02-01,8830.4400000
1983-03-01,2108.4000000
1983-04-01,1995.1200000
1983-05-01,7157.5200000
1983-06-01,434.8800000
1983-07-01,-7604.7600000
1983-08-01,-16877.7600000
1983-09-01,19170.3600000
1983-10-01,20443.6800000
1983-11-01,18329.0400000
1983-12-01,22079.2800000
1984-01-01,7871.5200000
1984-02-01,18423.0000000
1984-03-01,11961.9600000
1984-04-01,1611.6000000
1984-05-01,5836.0800000
1984-06-01,2345.4000000
1984-07-01,-7148.1600000
1984-08-01,-1760.1600000
1984-09-01,1625.4000000
1984-10-01,28379.1600000
1984-11-01,22220.6400000
1984-12-01,24539.2800000
1985-01-01,9653.4000000
1985-02-01,19370.5200000
1985-03-01,10419.3600000
1985-04-01,7605.0000000
1985-05-01,6894.7200000
1985-06-01,7073.1600000
1985-07-01,-12711.2400000
1985-08-01,-13528.3200000
1985-09-01,-31303.8000000
1985-10-01,47285.6400000
1985-11-01,41158.3200000
1985-12-01,31814.1600000
1986-01-01,-1281.7200000
1986-02-01,23644.6800000
1986-03-01,26863.6800000
1986-04-01,1365.7200000
1986-05-01,6142.0800000
1986-06-01,5720.5200000
1986-07-01,-11977.2000000
1986-08-01,-19596.7200000
1986-09-01,-74571.9600000
1986-10-01,55100.6400000
1986-11-01,30361.4400000
1986-12-01,-3851.6400000
1987-01-01,18367.2000000
1987-02-01,33736.6800000
1987-03-01,24721.4400000
1987-04-01,9312.1200000
1987-05-01,22622.8800000
1987-06-01,1603.9200000
1987-07-01,-19860.9600000
1987-08-01,-28803.3600000
1987-09-01,-18517.5600000
1987-10-01,69630.6000000
1987-11-01,41475.1200000
1987-12-01,25072.2000000
1988-01-01,-7323.2400000
1988-02-01,-2417.1600000
1988-03-01,-3047.7600000
1988-04-01,-2514.2400000
1988-05-01,7251.0000000
1988-06-01,2466.3600000
1988-07-01,-33261.9600000
1988-08-01,-49859.4000000
1988-09-01,26224.9200000
1988-10-01,22906.9200000
1988-11-01,25700.1600000
1988-12-01,26114.4000000
1989-01-01,2726.5200000
1989-02-01,22940.5200000
1989-03-01,3213.8400000
1989-04-01,10729.0800000
1989-05-01,7826.2800000
1989-06-01,-5724.0000000
1989-07-01,-45229.4400000
1989-08-01,-42136.3200000
1989-09-01,12867.2400000
1989-10-01,10404.3600000
1989-11-01,8559.1200000
1989-12-01,16979.6400000
1990-01-01,-52873.6800000
1990-02-01,-6763.3200000
1990-03-01,13339.0800000
1990-04-01,-3831.8400000
1990-05-01,9896.1600000
1990-06-01,22738.2000000
1990-07-01,-47152.9200000
1990-08-01,-32059.5600000
1990-09-01,27376.5600000
1990-10-01,16565.7600000
1990-11-01,1841.5200000
1990-12-01,5323.9200000
1991-01-01,-27543.9600000
1991-02-01,-17584.2000000
1991-03-01,-19038.9600000
1991-04-01,-5472.7200000
1991-05-01,4291.2000000
1991-06-01,-7229.1600000
1991-07-01,-31462.0800000
1991-08-01,-24261.3600000
1991-09-01,21705.6000000
1991-10-01,32567.2800000
1991-11-01,19395.2400000
1991-12-01,-9937.2000000
1992-01-01,-28092.9600000
1992-02-01,5434.9200000
1992-03-01,-12910.4400000
1992-04-01,7021.8000000
1992-05-01,-12760.0800000
1992-06-01,2912.1600000
1992-07-01,-35445.0000000
1992-08-01,-28353.4800000
1992-09-01,-2520.8400000
1992-10-01,16658.8800000
1992-11-01,-8028.3600000
1992-12-01,29924.8800000
1993-01-01,-16075.0800000
1993-02-01,2.4000000
1993-03-01,9683.4000000
1993-04-01,7979.7600000
1993-05-01,-466.8000000
1993-06-01,-806.6400000
1993-07-01,-38356.9200000
1993-08-01,-32993.5200000
1993-09-01,17804.8800000
1993-10-01,2579.4000000
1993-11-01,17625.3600000
1993-12-01,14187.2400000
1994-01-01,-29259.1200000
1994-02-01,25942.2000000
1994-03-01,28539.7200000
1994-04-01,7518.7200000
1994-05-01,591.1200000
1994-06-01,1627.5600000
1994-07-01,-64213.9200000
1994-08-01,-7892.5200000
1994-09-01,27197.2800000
1994-10-01,30842.1600000
1994-11-01,21420.7200000
1994-12-01,45642.8400000
1995-01-01,-3471.1200000
1995-02-01,23619.9600000
1995-03-01,26610.7200000
1995-04-01,16837.6800000
1995-05-01,-15249.2400000
1995-06-01,-20337.4800000
1995-07-01,-49732.6800000
1995-08-01,364.3200000
1995-09-01,-11721.6000000
1995-10-01,42200.0400000
1995-11-01,-981.3600000
1995-12-01,44841.4800000
1996-01-01,-23742.4800000
1996-02-01,-3451.2000000
1996-03-01,11608.6800000
1996-04-01,-12157.6800000
1996-05-01,-20249.8800000
1996-06-01,31724.7600000
1996-07-01,-64376.0400000
1996-08-01,24414.7200000
1996-09-01,25579.4400000
1996-10-01,3432.6000000
1996-11-01,12126.3600000
1996-12-01,3378.4800000
1997-01-01,12690.2400000
1997-02-01,27403.5600000
1997-03-01,30478.2000000
1997-04-01,-28243.6800000
1997-05-01,-19423.6800000
1997-06-01,819.8400000
1997-07-01,-88762.8000000
1997-08-01,15645.1200000
1997-09-01,24171.7200000
1997-10-01,-78539.7600000
1997-11-01,6316.5600000
1997-12-01,15511.4400000
1998-01-01,-23548.9200000
1998-02-01,32670.2400000
1998-03-01,31924.9200000
1998-04-01,1579.2000000
1998-05-01,8075.0400000
1998-06-01,-12481.9200000
