DATE,DTBOVLRXDFBANA
1980-07-01,-1536.0000000
1980-08-01,-1356.0000000
1980-09-01,-4488.0000000
1980-10-01,-3228.0000000
1980-11-01,492.0000000
1980-12-01,-660.0000000
1981-01-01,-720.0000000
1981-02-01,948.0000000
1981-03-01,-1356.0000000
1981-04-01,-24.0000000
1981-05-01,72.0000000
1981-06-01,-2196.0000000
1981-07-01,-372.0000000
1981-08-01,1500.0000000
1981-09-01,1032.0000000
1981-10-01,-756.0000000
1981-11-01,1800.0000000
1981-12-01,168.0000000
1982-01-01,-1548.0000000
1982-02-01,1620.0000000
1982-03-01,-1224.0000000
1982-04-01,-672.0000000
1982-05-01,4212.0000000
1982-06-01,2232.0000000
1982-07-01,1752.0000000
1982-08-01,-3180.0000000
1982-09-01,-312.0000000
1982-10-01,-552.0000000
1982-11-01,612.0000000
1982-12-01,-264.0000000
1983-01-01,-216.0000000
1983-02-01,2736.0000000
1983-03-01,1668.0000000
1983-04-01,3624.0000000
1983-05-01,2688.0000000
1983-06-01,408.0000000
1983-07-01,3576.0000000
1983-08-01,204.0000000
1983-09-01,3432.0000000
1983-10-01,6108.0000000
1983-11-01,2952.0000000
1983-12-01,2304.0000000
1984-01-01,2820.0000000
1984-02-01,1596.0000000
1984-03-01,-1488.0000000
1984-04-01,444.0000000
1984-05-01,5880.0000000
1984-06-01,7812.0000000
1984-07-01,5472.0000000
1984-08-01,5412.0000000
1984-09-01,7236.0000000
1984-10-01,1440.0000000
1984-11-01,4500.0000000
1984-12-01,5904.0000000
1985-01-01,-288.0000000
1985-02-01,3240.0000000
1985-03-01,4092.0000000
1985-04-01,2028.0000000
1985-05-01,5376.0000000
1985-06-01,4764.0000000
1985-07-01,2856.0000000
1985-08-01,3540.0000000
1985-09-01,8544.0000000
1985-10-01,-2616.0000000
1985-11-01,15144.0000000
1985-12-01,2460.0000000
1986-01-01,1740.0000000
1986-02-01,4884.0000000
1986-03-01,3108.0000000
1986-04-01,1044.0000000
1986-05-01,9708.0000000
1986-06-01,6120.0000000
1986-07-01,5364.0000000
1986-08-01,6204.0000000
1986-09-01,11556.0000000
1986-10-01,-5088.0000000
1986-11-01,5352.0000000
1986-12-01,-10920.0000000
1987-01-01,-3924.0000000
1987-02-01,4872.0000000
1987-03-01,2928.0000000
1987-04-01,3996.0000000
1987-05-01,15444.0000000
1987-06-01,8172.0000000
1987-07-01,9708.0000000
1987-08-01,11904.0000000
1987-09-01,11028.0000000
1987-10-01,9648.0000000
1987-11-01,9264.0000000
1987-12-01,9756.0000000
1988-01-01,-5292.0000000
1988-02-01,-3192.0000000
1988-03-01,96.0000000
1988-04-01,96.0000000
1988-05-01,-408.0000000
1988-06-01,2916.0000000
1988-07-01,-852.0000000
1988-08-01,-540.0000000
1988-09-01,2100.0000000
1988-10-01,-2928.0000000
1988-11-01,-4368.0000000
1988-12-01,-4332.0000000
1989-01-01,-2316.0000000
1989-02-01,-5412.0000000
1989-03-01,84.0000000
1989-04-01,3120.0000000
1989-05-01,6048.0000000
1989-06-01,7644.0000000
1989-07-01,1992.0000000
1989-08-01,3972.0000000
1989-09-01,3216.0000000
1989-10-01,-6360.0000000
1989-11-01,-4236.0000000
1989-12-01,-7560.0000000
1990-01-01,-4992.0000000
1990-02-01,-5868.0000000
1990-03-01,-3228.0000000
1990-04-01,-1044.0000000
1990-05-01,1104.0000000
1990-06-01,9888.0000000
1990-07-01,-22524.0000000
1990-08-01,-144.0000000
1990-09-01,504.0000000
1990-10-01,-792.0000000
1990-11-01,-3336.0000000
1990-12-01,-10680.0000000
1991-01-01,-636.0000000
1991-02-01,-3636.0000000
1991-03-01,-12540.0000000
1991-04-01,144.0000000
1991-05-01,-2724.0000000
