DATE,DTBTVLWNM
1990-08-01,28839.0
1990-09-01,31323.0
1990-10-01,32533.0
1990-11-01,32949.0
1990-12-01,36426.0
1991-01-01,34172.0
1991-02-01,33557.0
1991-03-01,32642.0
1991-04-01,32174.0
1991-05-01,32660.0
1991-06-01,32528.0
1991-07-01,29478.0
1991-08-01,28805.0
1991-09-01,30154.0
1991-10-01,33269.0
1991-11-01,35351.0
1991-12-01,36119.0
1992-01-01,34756.0
1992-02-01,35525.0
1992-03-01,35523.0
1992-04-01,35928.0
1992-05-01,35676.0
1992-06-01,35376.0
1992-07-01,31437.0
1992-08-01,29941.0
1992-09-01,30363.0
1992-10-01,31680.0
1992-11-01,32341.0
1992-12-01,35348.0
1993-01-01,33941.0
1993-02-01,39008.0
1993-03-01,41134.0
1993-04-01,41323.0
1993-05-01,41337.0
1993-06-01,40880.0
1993-07-01,35376.0
1993-08-01,33202.0
1993-09-01,33789.0
1993-10-01,35830.0
1993-11-01,38611.0
1993-12-01,40607.0
1994-01-01,40275.0
1994-02-01,42423.0
1994-03-01,43926.0
1994-04-01,43598.0
1994-05-01,43755.0
1994-06-01,43419.0
1994-07-01,36982.0
1994-08-01,38060.0
1994-09-01,39676.0
1994-10-01,42529.0
1994-11-01,44364.0
1994-12-01,48037.0
1995-01-01,47576.0
1995-02-01,50433.0
1995-03-01,53520.0
1995-04-01,54145.0
1995-05-01,55096.0
1995-06-01,53214.0
1995-07-01,46548.0
1995-08-01,47322.0
1995-09-01,47042.0
1995-10-01,50566.0
1995-11-01,52543.0
1995-12-01,55444.0
1996-01-01,52717.0
1996-02-01,54246.0
1996-03-01,53854.0
1996-04-01,53704.0
1996-05-01,53862.0
1996-06-01,54508.08
1996-07-01,48472.2
1996-08-01,49024.85
1996-09-01,51274.79
1996-10-01,51539.69
1996-11-01,52954.38
1996-12-01,54314.21
1997-01-01,55236.5
1997-02-01,55233.52
1997-03-01,57887.7
1997-04-01,56087.16
1997-05-01,55130.21
1997-06-01,55035.65
1997-07-01,47339.91
1997-08-01,47841.16
1997-09-01,49241.68
1997-10-01,51296.88
1997-11-01,55678.63
1997-12-01,58293.88
1998-01-01,54877.85
1998-02-01,57183.99
1998-03-01,60260.83
1998-04-01,59174.4
1998-05-01,58702.95
1998-06-01,54939.25
1998-07-01,45156.49
1998-08-01,45926.97
1998-09-01,46727.73
1998-10-01,50191.29
1998-11-01,53823.43
1998-12-01,57472.61
1999-01-01,55674.88
1999-02-01,58901.08
1999-03-01,62694.85
1999-04-01,62830.57
1999-05-01,61699.29
1999-06-01,59917.94
1999-07-01,51465.75
1999-08-01,52553.63
1999-09-01,53240.48
1999-10-01,54706.23
1999-11-01,58242.55
1999-12-01,61198.11
2000-01-01,61109.23
2000-02-01,62021.82
2000-03-01,63914.73
2000-04-01,65729.49
2000-05-01,66245.52
2000-06-01,64955.91
2000-07-01,60140.84
2000-08-01,57164.04
2000-09-01,62639.96
2000-10-01,66936.87
2000-11-01,68724.87
2000-12-01,71984.15
2001-01-01,70211.18
2001-02-01,69190.55
2001-03-01,70132.08
2001-04-01,69701.89
2001-05-01,69344.91
2001-06-01,74748.48
2001-07-01,69765.8
2001-08-01,61710.05
2001-09-01,65963.71
2001-10-01,58571.04
2001-11-01,57315.04
2001-12-01,62361.8
2002-01-01,59441.01
2002-02-01,59163.95
2002-03-01,61290.41
2002-04-01,61429.17
2002-05-01,63437.32
2002-06-01,66036.64
2002-07-01,58600.46
2002-08-01,58014.54
2002-09-01,61947.74
2002-10-01,65625.58
2002-11-01,71536.48
2002-12-01,74489.61
2003-01-01,72849.88
2003-02-01,76512.49
2003-03-01,81839.28
2003-04-01,82317.9
2003-05-01,83029.71
2003-06-01,83138.64
2003-07-01,71406.43
2003-08-01,70818.94
2003-09-01,72368.2
2003-10-01,74669.22
2003-11-01,82149.96
2003-12-01,83468.13
2004-01-01,83860.12
2004-02-01,88298.56
2004-03-01,91066.51
2004-04-01,92347.18
2004-05-01,92865.03
2004-06-01,92893.21
2004-07-01,82987.53
2004-08-01,83185.51
2004-09-01,81014.4
2004-10-01,82888.37
2004-11-01,83351.22
2004-12-01,85469.31
2005-01-01,84303.84
2005-02-01,87613.31
2005-03-01,85983.85
2005-04-01,88332.55
2005-05-01,86081.95
2005-06-01,86825.24
2005-07-01,72814.26
2005-08-01,69548.35
2005-09-01,72832.41
2005-10-01,80529.44
2005-11-01,83510.55
2005-12-01,87235.82
2006-01-01,86557.48
2006-02-01,90297.73
2006-03-01,98556.63
2006-04-01,97448.5
2006-05-01,98799.45
2006-06-01,100521.94
2006-07-01,87420.19
2006-08-01,86228.66
2006-09-01,86368.89
2006-10-01,87253.76
2006-11-01,89191.94
2006-12-01,91744.95
2007-01-01,87278.44
2007-02-01,89430.3
2007-03-01,91168.61
2007-04-01,92245.34
2007-05-01,91159.67
2007-06-01,94836.46
2007-07-01,87440.42
2007-08-01,90687.71
2007-09-01,91246.83
2007-10-01,89465.31
2007-11-01,89696.05
2007-12-01,88090.02
2008-01-01,86247.35
2008-02-01,90190.41
2008-03-01,89696.67
2008-04-01,87546.32
2008-05-01,84839.11
2008-06-01,85098.37
2008-07-01,78238.47
2008-08-01,79231.96
2008-09-01,75970.51
2008-10-01,78008.3
2008-11-01,80324.67
2008-12-01,78932.78
2009-01-01,71349.12
2009-02-01,70153.82
2009-03-01,69518.78
2009-04-01,69228.26
2009-05-01,66228.42
2009-06-01,55732.81
2009-07-01,52504.9
2009-08-01,47478.36
2009-09-01,47967.69
2009-10-01,49886.98
2009-11-01,45229.6
2009-12-01,45400.87
2010-01-01,45004.48
2010-02-01,46061.29
2010-03-01,46224.35
2010-04-01,45198.38
2010-05-01,44458.31
2010-06-01,44604.75
2010-07-01,40492.23
2010-08-01,40520.18
2010-09-01,43404.05
2010-10-01,44960.76
2010-11-01,44346.18
2010-12-01,69419.0
2011-01-01,67011.38
2011-02-01,67878.59
2011-03-01,68673.81
2011-04-01,66600.25
2011-05-01,64400.71
2011-06-01,63420.95
2011-07-01,58285.04
2011-08-01,57654.76
2011-09-01,58670.68
2011-10-01,61820.79
2011-11-01,64680.04
2011-12-01,67061.81
2012-01-01,64157.89
2012-02-01,65897.16
2012-03-01,69159.34
2012-04-01,68503.98
2012-05-01,68511.97
2012-06-01,71408.52
2012-07-01,67049.84
2012-08-01,68172.04
2012-09-01,71872.79
2012-10-01,72954.44
2012-11-01,75021.19
2012-12-01,78007.85
2013-01-01,75334.72
2013-02-01,76990.73
2013-03-01,80590.21
2013-04-01,79327.33
2013-05-01,78717.47
2013-06-01,80655.57
2013-07-01,74439.65
2013-08-01,75847.68
2013-09-01,77759.56
2013-10-01,82537.87
2013-11-01,87609.29
2013-12-01,86178.09
2014-01-01,82002.5
2014-02-01,85413.76
2014-03-01,87050.23
2014-04-01,85710.86
2014-05-01,86254.2
2014-06-01,86724.13
2014-07-01,81594.94
2014-08-01,82255.25
2014-09-01,81752.28
2014-10-01,84000.48
2014-11-01,86902.7
2014-12-01,88601.7
2015-01-01,85341.6
2015-02-01,87155.13
2015-03-01,90843.37
2015-04-01,92667.39
2015-05-01,91669.76
2015-06-01,92007.91
2015-07-01,85600.97
2015-08-01,85603.66
2015-09-01,88751.0
2015-10-01,90651.32
2015-11-01,93934.87
2015-12-01,79697.43
2016-01-01,79848.03
2016-02-01,83817.66
2016-03-01,80563.95
2016-04-01,81150.32
2016-05-01,80501.24
2016-06-01,80014.96
2016-07-01,74890.47
2016-08-01,74542.65
2016-09-01,76008.6
2016-10-01,78066.92
2016-11-01,79134.16
2016-12-01,81311.82
2017-01-01,79400.08
2017-02-01,81292.53
2017-03-01,83286.28
2017-04-01,83926.31
2017-05-01,84070.68
2017-06-01,84108.76
2017-07-01,77081.85
2017-08-01,77154.35
2017-09-01,77790.71
2017-10-01,78220.23
2017-11-01,79639.2
2017-12-01,81720.13
2018-01-01,79993.94
2018-02-01,83025.86
2018-03-01,84727.64
2018-04-01,85003.52
2018-05-01,81225.46
2018-06-01,82822.93
2018-07-01,77206.73
2018-08-01,78102.98
2018-09-01,80045.06
2018-10-01,82544.33
2018-11-01,85967.4
2018-12-01,88918.16
2019-01-01,86699.52
2019-02-01,89591.88
2019-03-01,90982.02
2019-04-01,91499.94
2019-05-01,91533.15
2019-06-01,90484.28
2019-07-01,84908.51
2019-08-01,86549.69
2019-09-01,87008.46
2019-10-01,85856.54
2019-11-01,86128.75
2019-12-01,86228.06
2020-01-01,82137.86
2020-02-01,84554.77
2020-03-01,88871.98
2020-04-01,78466.58
2020-05-01,71768.04
2020-06-01,65734.33
2020-07-01,62047.59
2020-08-01,61836.92
2020-09-01,61738.27
2020-10-01,60809.83
2020-11-01,61822.62
2020-12-01,64068.2
2021-01-01,62174.18
2021-02-01,62001.53
2021-03-01,56022.64
2021-04-01,47977.91
2021-05-01,42830.96
2021-06-01,53761.96
2021-07-01,49552.92
2021-08-01,49396.41
2021-09-01,47222.32
2021-10-01,47338.28
2021-11-01,44556.58
2021-12-01,52403.09
2022-01-01,45483.23
2022-02-01,44548.89
2022-03-01,55931.06
2022-04-01,53867.56
2022-05-01,53587.74
2022-06-01,60528.18
2022-07-01,54889.85
2022-08-01,55188.91
2022-09-01,65291.73
2022-10-01,69814.15
2022-11-01,71010.55
2022-12-01,80439.62
2023-01-01,70832.76
2023-02-01,68224.1
2023-03-01,75624.54
2023-04-01,73604.26
2023-05-01,73813.79
2023-06-01,80025.94
2023-07-01,73247.2
2023-08-01,76364.4
2023-09-01,84570.38
2023-10-01,84472.59
2023-11-01,92290.69
2023-12-01,102974.54
2024-01-01,94220.17
2024-02-01,92395.55
2024-03-01,106324.67
2024-04-01,106302.79
2024-05-01,106608.35
2024-06-01,115410.23
2024-07-01,102377.06
