DATE,DTBOVLWXDFBANA
1980-07-01,-15240.0000000
1980-08-01,-18192.0000000
1980-09-01,2292.0000000
1980-10-01,7524.0000000
1980-11-01,7800.0000000
1980-12-01,12120.0000000
1981-01-01,-5220.0000000
1981-02-01,-1068.0000000
1981-03-01,-7056.0000000
1981-04-01,6672.0000000
1981-05-01,10908.0000000
1981-06-01,14316.0000000
1981-07-01,84.0000000
1981-08-01,-21876.0000000
1981-09-01,-5472.0000000
1981-10-01,8196.0000000
1981-11-01,9540.0000000
1981-12-01,4176.0000000
1982-01-01,-1860.0000000
1982-02-01,-84.0000000
1982-03-01,-3588.0000000
1982-04-01,-3444.0000000
1982-05-01,-1452.0000000
1982-06-01,12876.0000000
1982-07-01,5388.0000000
1982-08-01,-10176.0000000
1982-09-01,9324.0000000
1982-10-01,-2616.0000000
1982-11-01,-10860.0000000
1982-12-01,-2736.0000000
1983-01-01,204.0000000
1983-02-01,6780.0000000
1983-03-01,-276.0000000
1983-04-01,-1704.0000000
1983-05-01,4392.0000000
1983-06-01,-852.0000000
1983-07-01,-11736.0000000
1983-08-01,-17760.0000000
1983-09-01,14940.0000000
1983-10-01,13392.0000000
1983-11-01,13944.0000000
1983-12-01,16884.0000000
1984-01-01,2940.0000000
1984-02-01,14160.0000000
1984-03-01,10200.0000000
1984-04-01,-1164.0000000
1984-05-01,-3252.0000000
1984-06-01,-8448.0000000
1984-07-01,-14940.0000000
1984-08-01,-8760.0000000
1984-09-01,-6192.0000000
1984-10-01,25812.0000000
1984-11-01,15864.0000000
1984-12-01,14700.0000000
1985-01-01,6084.0000000
1985-02-01,14304.0000000
1985-03-01,4836.0000000
1985-04-01,3828.0000000
1985-05-01,-408.0000000
1985-06-01,840.0000000
1985-07-01,-16488.0000000
1985-08-01,-17784.0000000
1985-09-01,-39696.0000000
1985-10-01,49200.0000000
1985-11-01,28104.0000000
1985-12-01,26736.0000000
1986-01-01,-3744.0000000
1986-02-01,17892.0000000
1986-03-01,23772.0000000
1986-04-01,276.0000000
