DATE,DTBOVLWNM
1980-06-01,12373.0000000
1980-07-01,11103.0000000
1980-08-01,9587.0000000
1980-09-01,9778.0000000
1980-10-01,10405.0000000
1980-11-01,11055.0000000
1980-12-01,12065.0000000
1981-01-01,11630.0000000
1981-02-01,11541.0000000
1981-03-01,10953.0000000
1981-04-01,11509.0000000
1981-05-01,12418.0000000
1981-06-01,13611.0000000
1981-07-01,13618.0000000
1981-08-01,11795.0000000
1981-09-01,11339.0000000
1981-10-01,12022.0000000
1981-11-01,12817.0000000
1981-12-01,13165.0000000
1982-01-01,13010.0000000
1982-02-01,13003.0000000
1982-03-01,12704.0000000
1982-04-01,12417.0000000
1982-05-01,12296.0000000
1982-06-01,13369.0000000
1982-07-01,13818.0000000
1982-08-01,12970.0000000
1982-09-01,13747.0000000
1982-10-01,13529.0000000
1982-11-01,12624.0000000
1982-12-01,12396.0000000
1983-01-01,12413.0000000
1983-02-01,12978.0000000
1983-03-01,12955.0000000
1983-04-01,12813.0000000
1983-05-01,13179.0000000
1983-06-01,13108.0000000
1983-07-01,12130.0000000
1983-08-01,10650.0000000
1983-09-01,11895.0000000
1983-10-01,13011.0000000
1983-11-01,14173.0000000
1983-12-01,15580.0000000
1984-01-01,15825.0000000
1984-02-01,17005.0000000
1984-03-01,17855.0000000
1984-04-01,17758.0000000
1984-05-01,17487.0000000
1984-06-01,16783.0000000
1984-07-01,15538.0000000
1984-08-01,14808.0000000
1984-09-01,14292.0000000
1984-10-01,16443.0000000
1984-11-01,17765.0000000
1984-12-01,18990.0000000
1985-01-01,19497.0000000
1985-02-01,20689.0000000
1985-03-01,21092.0000000
1985-04-01,21411.0000000
1985-05-01,21377.0000000
1985-06-01,21447.0000000
1985-07-01,20073.0000000
1985-08-01,18591.0000000
1985-09-01,15283.0000000
1985-10-01,19383.0000000
1985-11-01,21725.0000000
1985-12-01,23953.0000000
1986-01-01,23641.0000000
1986-02-01,25132.0000000
1986-03-01,27113.0000000
1986-04-01,27136.0000000
1986-05-01,26865.0000000
1986-06-01,26937.0000000
1986-07-01,25482.0000000
1986-08-01,23377.0000000
1986-09-01,16149.0000000
1986-10-01,21223.0000000
1986-11-01,23379.0000000
1986-12-01,23184.0000000
1987-01-01,25151.0000000
1987-02-01,27524.0000000
1987-03-01,29428.0000000
1987-04-01,29753.0000000
1987-05-01,30418.0000000
1987-06-01,29975.0000000
1987-07-01,27451.0000000
1987-08-01,23976.0000000
1987-09-01,21477.0000000
1987-10-01,26694.0000000
1987-11-01,29454.0000000
1987-12-01,30587.0000000
1988-01-01,30060.0000000
1988-02-01,30126.0000000
1988-03-01,29860.0000000
1988-04-01,29725.0000000
1988-05-01,30387.0000000
1988-06-01,30339.0000000
1988-07-01,27669.0000000
1988-08-01,23705.0000000
1988-09-01,26053.0000000
1988-10-01,28338.0000000
1988-11-01,30837.0000000
1988-12-01,33208.0000000
1989-01-01,33661.0000000
1989-02-01,36001.0000000
1989-03-01,36189.0000000
1989-04-01,36932.0000000
1989-05-01,37075.0000000
1989-06-01,35976.0000000
1989-07-01,32094.0000000
1989-08-01,28386.0000000
1989-09-01,29351.0000000
1989-10-01,30826.0000000
1989-11-01,31979.0000000
1989-12-01,34093.0000000
1990-01-01,30197.0000000
1990-02-01,30096.0000000
1990-03-01,31265.0000000
1990-04-01,31128.0000000
1990-05-01,31879.0000000
1990-06-01,32894.0000000
1990-07-01,30815.0000000
1990-08-01,28189.0000000
1990-09-01,30460.0000000
1990-10-01,31854.0000000
1990-11-01,32300.0000000
1990-12-01,33520.0000000
1991-01-01,31336.0000000
1991-02-01,30203.0000000
1991-03-01,29673.0000000
1991-04-01,29269.0000000
1991-05-01,29805.0000000
1991-06-01,29268.0000000
1991-07-01,26635.0000000
1991-08-01,25297.0000000
1991-09-01,26101.0000000
1991-10-01,28811.0000000
1991-11-01,30702.0000000
1991-12-01,31214.0000000
1992-01-01,30095.0000000
1992-02-01,30835.0000000
1992-03-01,30806.0000000
1992-04-01,31171.0000000
1992-05-01,30909.0000000
1992-06-01,30525.0000000
1992-07-01,27169.0000000
1992-08-01,25123.0000000
1992-09-01,25365.0000000
1992-10-01,26468.0000000
1992-11-01,26909.0000000
1992-12-01,29973.0000000
1993-01-01,28740.0000000
1993-02-01,30067.0000000
1993-03-01,31782.0000000
1993-04-01,32055.0000000
1993-05-01,32227.0000000
1993-06-01,31774.0000000
1993-07-01,27435.0000000
1993-08-01,25159.0000000
1993-09-01,25550.0000000
1993-10-01,27339.0000000
1993-11-01,29502.0000000
