DATE,CORALOBS
1985-01-01,0.95
1985-04-01,1.01
1985-07-01,1.05
1985-10-01,1.24
1986-01-01,1.16
1986-04-01,1.21
1986-07-01,1.27
1986-10-01,1.29
1987-01-01,1.10
1987-04-01,1.02
1987-07-01,1.00
1987-10-01,0.99
1988-01-01,0.99
1988-04-01,1.10
1988-07-01,0.90
1988-10-01,0.82
1989-01-01,0.86
1989-04-01,0.84
1989-07-01,0.86
1989-10-01,0.90
1990-01-01,0.96
1990-04-01,0.98
1990-07-01,1.05
1990-10-01,1.08
1991-01-01,1.24
1991-04-01,1.19
1991-07-01,1.16
1991-10-01,1.20
1992-01-01,1.12
1992-04-01,0.96
1992-07-01,1.00
1992-10-01,0.88
1993-01-01,0.75
1993-04-01,0.70
1993-07-01,0.59
1993-10-01,0.57
1994-01-01,0.46
1994-04-01,0.45
1994-07-01,0.42
1994-10-01,0.40
1995-01-01,0.42
1995-04-01,0.53
1995-07-01,0.49
1995-10-01,0.53
1996-01-01,0.61
1996-04-01,0.60
1996-07-01,0.61
1996-10-01,0.60
1997-01-01,0.70
1997-04-01,0.61
1997-07-01,0.63
1997-10-01,0.61
1998-01-01,0.57
1998-04-01,0.56
1998-07-01,0.58
1998-10-01,0.55
1999-01-01,0.51
1999-04-01,0.45
1999-07-01,0.44
1999-10-01,0.45
2000-01-01,0.48
2000-04-01,0.47
2000-07-01,0.49
2000-10-01,0.49
2001-01-01,0.57
2001-04-01,0.67
2001-07-01,0.66
2001-10-01,0.80
2002-01-01,0.70
2002-04-01,0.67
2002-07-01,0.63
2002-10-01,0.52
2003-01-01,0.51
2003-04-01,0.57
2003-07-01,0.47
2003-10-01,0.45
2004-01-01,0.41
2004-04-01,0.33
2004-07-01,0.32
2004-10-01,0.30
2005-01-01,0.27
2005-04-01,0.24
2005-07-01,0.25
2005-10-01,0.24
2006-01-01,0.21
2006-04-01,0.21
2006-07-01,0.21
2006-10-01,0.23
2007-01-01,0.27
2007-04-01,0.30
2007-07-01,0.37
2007-10-01,0.46
2008-01-01,0.62
2008-04-01,0.80
2008-07-01,0.97
2008-10-01,1.23
2009-01-01,1.35
2009-04-01,1.85
2009-07-01,1.89
2009-10-01,1.82
2010-01-01,1.69
2010-04-01,1.57
2010-07-01,1.48
2010-10-01,1.31
2011-01-01,1.37
2011-04-01,1.17
2011-07-01,1.06
2011-10-01,0.95
2012-01-01,0.82
2012-04-01,0.76
2012-07-01,0.71
2012-10-01,0.60
2013-01-01,0.50
2013-04-01,0.43
2013-07-01,0.36
2013-10-01,0.31
2014-01-01,0.29
2014-04-01,0.27
2014-07-01,0.24
2014-10-01,0.23
2015-01-01,0.22
2015-04-01,0.20
2015-07-01,0.22
2015-10-01,0.23
2016-01-01,0.20
2016-04-01,0.19
2016-07-01,0.21
2016-10-01,0.25
2017-01-01,0.23
2017-04-01,0.20
2017-07-01,0.20
2017-10-01,0.21
2018-01-01,0.19
2018-04-01,0.18
2018-07-01,0.18
2018-10-01,0.17
2019-01-01,0.19
2019-04-01,0.22
2019-07-01,0.21
2019-10-01,0.21
2020-01-01,0.29
2020-04-01,0.24
2020-07-01,0.21
2020-10-01,0.18
2021-01-01,0.14
2021-04-01,0.12
2021-07-01,0.11
2021-10-01,0.11
2022-01-01,0.12
2022-04-01,0.13
2022-07-01,0.14
2022-10-01,0.16
2023-01-01,0.22
2023-04-01,0.23
2023-07-01,0.25
2023-10-01,0.25
2024-01-01,0.29
2024-04-01,0.28
