DATE,CORCREXFACBS
1991-01-01,1.53
1991-04-01,1.7
1991-07-01,1.96
1991-10-01,2.21
1992-01-01,1.86
1992-04-01,1.65
1992-07-01,2.42
1992-10-01,2.06
1993-01-01,1.55
1993-04-01,1.40
1993-07-01,1.18
1993-10-01,0.92
1994-01-01,0.82
1994-04-01,0.64
1994-07-01,0.54
1994-10-01,0.49
1995-01-01,0.37
1995-04-01,0.44
1995-07-01,0.27
1995-10-01,0.21
1996-01-01,0.20
1996-04-01,0.1
1996-07-01,0.13
1996-10-01,0.0
1997-01-01,0.08
1997-04-01,0.0
1997-07-01,-0.02
1997-10-01,-0.05
1998-01-01,0.08
1998-04-01,-0.02
1998-07-01,-0.04
1998-10-01,-0.01
1999-01-01,0.06
1999-04-01,0.03
1999-07-01,0.01
1999-10-01,0.04
2000-01-01,0.02
2000-04-01,0.06
2000-07-01,0.09
2000-10-01,0.08
2001-01-01,0.08
2001-04-01,0.11
2001-07-01,0.15
2001-10-01,0.19
2002-01-01,0.16
2002-04-01,0.14
2002-07-01,0.15
2002-10-01,0.13
2003-01-01,0.16
2003-04-01,0.15
2003-07-01,0.11
2003-10-01,0.04
2004-01-01,0.06
2004-04-01,0.08
2004-07-01,0.03
2004-10-01,0.06
2005-01-01,0.06
2005-04-01,0.07
2005-07-01,0.09
2005-10-01,-0.03
2006-01-01,0.07
2006-04-01,0.07
2006-07-01,0.11
2006-10-01,-0.03
2007-01-01,0.16
2007-04-01,0.16
2007-07-01,0.28
2007-10-01,0.15
2008-01-01,0.65
2008-04-01,0.97
2008-07-01,1.17
2008-10-01,1.81
2009-01-01,1.68
2009-04-01,2.31
2009-07-01,2.54
2009-10-01,2.82
2010-01-01,2.47
2010-04-01,2.41
2010-07-01,2.37
2010-10-01,2.17
2011-01-01,1.79
2011-04-01,1.49
2011-07-01,1.29
2011-10-01,1.11
2012-01-01,0.96
2012-04-01,0.8
2012-07-01,0.67
2012-10-01,0.53
2013-01-01,0.48
2013-04-01,0.32
2013-07-01,0.2
2013-10-01,0.07
2014-01-01,0.19
2014-04-01,0.09
2014-07-01,0.01
2014-10-01,-0.02
2015-01-01,0.14
2015-04-01,0.03
2015-07-01,-0.03
2015-10-01,-0.02
2016-01-01,0.0
2016-04-01,0.01
2016-07-01,0.02
2016-10-01,0.03
2017-01-01,0.01
2017-04-01,0.01
2017-07-01,0.04
2017-10-01,0.05
2018-01-01,0.0
2018-04-01,0.01
2018-07-01,0.04
2018-10-01,0.03
2019-01-01,0.04
2019-04-01,0.02
2019-07-01,0.03
2019-10-01,-0.01
2020-01-01,0.02
2020-04-01,0.07
2020-07-01,0.07
2020-10-01,0.1
2021-01-01,0.11
2021-04-01,0.05
2021-07-01,0.01
2021-10-01,0.03
2022-01-01,0.02
2022-04-01,0.00
2022-07-01,0.05
2022-10-01,0.03
2023-01-01,0.08
2023-04-01,0.16
2023-07-01,0.17
2023-10-01,0.25
2024-01-01,0.23
2024-04-01,0.25
