DATE,CORCOBS
1985-01-01,0.65
1985-04-01,0.75
1985-07-01,0.91
1985-10-01,1.03
1986-01-01,0.97
1986-04-01,1.12
1986-07-01,1.18
1986-10-01,1.28
1987-01-01,1.23
1987-04-01,1.24
1987-07-01,1.24
1987-10-01,1.26
1988-01-01,1.30
1988-04-01,1.30
1988-07-01,1.29
1988-10-01,1.22
1989-01-01,1.26
1989-04-01,1.31
1989-07-01,1.26
1989-10-01,1.41
1990-01-01,1.36
1990-04-01,1.40
1990-07-01,1.47
1990-10-01,1.66
1991-01-01,1.86
1991-04-01,1.89
1991-07-01,1.96
1991-10-01,1.86
1992-01-01,1.87
1992-04-01,1.71
1992-07-01,1.58
1992-10-01,1.73
1993-01-01,1.42
1993-04-01,1.43
1993-07-01,1.32
1993-10-01,1.21
1994-01-01,1.15
1994-04-01,1.09
1994-07-01,1.13
1994-10-01,1.04
1995-01-01,1.16
1995-04-01,1.40
1995-07-01,1.51
1995-10-01,1.75
1996-01-01,1.89
1996-04-01,2.06
1996-07-01,2.13
1996-10-01,2.23
1997-01-01,2.46
1997-04-01,2.48
1997-07-01,2.58
1997-10-01,2.62
1998-01-01,2.34
1998-04-01,2.32
1998-07-01,2.41
1998-10-01,2.34
1999-01-01,2.07
1999-04-01,1.74
1999-07-01,1.72
1999-10-01,1.72
2000-01-01,2.06
2000-04-01,1.81
2000-07-01,1.90
2000-10-01,1.88
2001-01-01,2.28
2001-04-01,2.57
2001-07-01,2.56
2001-10-01,2.93
2002-01-01,2.42
2002-04-01,2.59
2002-07-01,2.60
2002-10-01,2.04
2003-01-01,2.11
2003-04-01,2.62
2003-07-01,2.11
2003-10-01,2.27
2004-01-01,2.09
2004-04-01,1.68
2004-07-01,1.63
2004-10-01,1.44
2005-01-01,1.36
2005-04-01,1.30
2005-07-01,1.23
2005-10-01,1.42
2006-01-01,1.11
2006-04-01,1.02
2006-07-01,1.12
2006-10-01,1.10
2007-01-01,1.56
2007-04-01,1.58
2007-07-01,1.67
2007-10-01,1.76
2008-01-01,2.17
2008-04-01,2.46
2008-07-01,2.56
2008-10-01,2.70
2009-01-01,2.35
2009-04-01,2.51
2009-07-01,2.45
2009-10-01,2.07
2010-01-01,2.34
2010-04-01,1.99
2010-07-01,2.01
2010-10-01,2.08
2011-01-01,1.72
2011-04-01,1.56
2011-07-01,1.45
2011-10-01,1.38
2012-01-01,1.45
2012-04-01,1.44
2012-07-01,1.25
2012-10-01,1.34
2013-01-01,1.33
2013-04-01,1.36
2013-07-01,1.37
2013-10-01,1.43
2014-01-01,1.39
2014-04-01,1.33
2014-07-01,1.40
2014-10-01,1.33
2015-01-01,1.40
2015-04-01,1.47
2015-07-01,1.56
2015-10-01,1.26
2016-01-01,1.32
2016-04-01,1.39
2016-07-01,1.45
2016-10-01,1.68
2017-01-01,1.67
2017-04-01,1.52
2017-07-01,1.54
2017-10-01,1.49
2018-01-01,1.62
2018-04-01,1.49
2018-07-01,1.56
2018-10-01,1.51
2019-01-01,1.44
2019-04-01,1.90
2019-07-01,1.53
2019-10-01,2.04
2020-01-01,2.16
2020-04-01,2.14
2020-07-01,1.62
2020-10-01,1.44
2021-01-01,1.21
2021-04-01,1.16
2021-07-01,1.13
2021-10-01,1.09
2022-01-01,1.3
2022-04-01,1.51
2022-07-01,1.74
2022-10-01,1.99
2023-01-01,2.18
2023-04-01,2.31
2023-07-01,2.65
2023-10-01,2.8
2024-01-01,2.86
2024-04-01,2.86
