DATE,CORCT100S
1985-01-01,1.06
1985-04-01,1.30
1985-07-01,1.49
1985-10-01,1.70
1986-01-01,1.86
1986-04-01,1.84
1986-07-01,1.87
1986-10-01,1.82
1987-01-01,1.78
1987-04-01,1.78
1987-07-01,1.67
1987-10-01,1.86
1988-01-01,1.68
1988-04-01,1.73
1988-07-01,1.79
1988-10-01,1.83
1989-01-01,1.95
1989-04-01,1.85
1989-07-01,1.85
1989-10-01,1.97
1990-01-01,1.99
1990-04-01,2.12
1990-07-01,2.25
1990-10-01,2.42
1991-01-01,2.66
1991-04-01,2.85
1991-07-01,2.93
1991-10-01,2.85
1992-01-01,2.97
1992-04-01,2.90
1992-07-01,2.66
1992-10-01,2.51
1993-01-01,2.30
1993-04-01,2.24
1993-07-01,2.14
1993-10-01,1.99
1994-01-01,1.85
1994-04-01,1.78
1994-07-01,1.68
1994-10-01,1.92
1995-01-01,1.70
1995-04-01,1.85
1995-07-01,2.11
1995-10-01,2.21
1996-01-01,2.37
1996-04-01,2.42
1996-07-01,2.46
1996-10-01,2.53
1997-01-01,2.64
1997-04-01,2.92
1997-07-01,2.86
1997-10-01,2.72
1998-01-01,2.77
1998-04-01,2.80
1998-07-01,2.62
1998-10-01,2.57
1999-01-01,2.54
1999-04-01,2.27
1999-07-01,2.48
1999-10-01,2.41
2000-01-01,2.32
2000-04-01,2.26
2000-07-01,2.28
2000-10-01,2.93
2001-01-01,2.42
2001-04-01,2.64
2001-07-01,2.86
2001-10-01,3.15
2002-01-01,3.97
2002-04-01,3.25
2002-07-01,3.24
2002-10-01,2.97
2003-01-01,3.03
2003-04-01,3.13
2003-07-01,2.94
2003-10-01,2.95
2004-01-01,2.86
2004-04-01,2.97
2004-07-01,2.66
2004-10-01,2.84
2005-01-01,2.68
2005-04-01,2.58
2005-07-01,3.27
2005-10-01,3.27
2006-01-01,1.89
2006-04-01,2.07
2006-07-01,2.36
2006-10-01,2.27
2007-01-01,2.49
2007-04-01,2.43
2007-07-01,2.55
2007-10-01,2.91
2008-01-01,3.07
2008-04-01,3.38
2008-07-01,3.83
2008-10-01,4.44
2009-01-01,5.06
2009-04-01,5.95
2009-07-01,6.30
2009-10-01,6.15
2010-01-01,6.94
2010-04-01,6.92
2010-07-01,5.75
2010-10-01,5.13
2011-01-01,4.60
2011-04-01,3.57
2011-07-01,3.83
2011-10-01,3.09
2012-01-01,2.72
2012-04-01,2.61
2012-07-01,2.62
2012-10-01,2.54
2013-01-01,2.37
2013-04-01,2.21
2013-07-01,2.19
2013-10-01,2.13
2014-01-01,2.04
2014-04-01,2.05
2014-07-01,1.92
2014-10-01,1.85
2015-01-01,1.78
2015-04-01,1.77
2015-07-01,1.77
2015-10-01,1.80
2016-01-01,1.87
2016-04-01,1.85
2016-07-01,1.92
2016-10-01,2.14
2017-01-01,2.23
2017-04-01,2.16
2017-07-01,2.25
2017-10-01,2.28
2018-01-01,2.26
2018-04-01,2.27
2018-07-01,2.33
2018-10-01,2.30
2019-01-01,2.30
2019-04-01,2.28
2019-07-01,2.41
2019-10-01,2.31
2020-01-01,2.29
2020-04-01,2.26
2020-07-01,1.99
2020-10-01,1.50
2021-01-01,1.56
2021-04-01,1.23
2021-07-01,0.95
2021-10-01,0.89
2022-01-01,0.98
2022-04-01,1.05
2022-07-01,1.27
2022-10-01,1.59
2023-01-01,1.74
2023-04-01,2.05
2023-07-01,2.36
2023-10-01,2.61
2024-01-01,2.81
2024-04-01,2.92
