DATE,CORCCT100S
1985-01-01,1.98
1985-04-01,2.33
1985-07-01,2.82
1985-10-01,3.14
1986-01-01,3.41
1986-04-01,3.29
1986-07-01,3.65
1986-10-01,3.57
1987-01-01,3.54
1987-04-01,3.46
1987-07-01,3.25
1987-10-01,3.59
1988-01-01,3.33
1988-04-01,3.39
1988-07-01,3.31
1988-10-01,3.33
1989-01-01,3.3
1989-04-01,3.24
1989-07-01,3.06
1989-10-01,3.17
1990-01-01,3.19
1990-04-01,3.22
1990-07-01,3.73
1990-10-01,3.88
1991-01-01,4.38
1991-04-01,4.95
1991-07-01,5.34
1991-10-01,5.28
1992-01-01,5.15
1992-04-01,5.30
1992-07-01,5.01
1992-10-01,4.70
1993-01-01,4.50
1993-04-01,4.19
1993-07-01,3.92
1993-10-01,3.72
1994-01-01,3.56
1994-04-01,3.20
1994-07-01,3.08
1994-10-01,3.39
1995-01-01,3.06
1995-04-01,3.25
1995-07-01,3.63
1995-10-01,3.79
1996-01-01,4.21
1996-04-01,4.40
1996-07-01,4.31
1996-10-01,4.47
1997-01-01,4.57
1997-04-01,5.06
1997-07-01,5.13
1997-10-01,4.87
1998-01-01,4.89
1998-04-01,4.9
1998-07-01,4.92
1998-10-01,4.8
1999-01-01,4.57
1999-04-01,4.13
1999-07-01,4.3
1999-10-01,4.38
2000-01-01,4.07
2000-04-01,3.77
2000-07-01,3.87
2000-10-01,4.09
2001-01-01,4.32
2001-04-01,4.7
2001-07-01,5.03
2001-10-01,5.69
2002-01-01,7.68
2002-04-01,5.74
2002-07-01,5.87
2002-10-01,5.33
2003-01-01,5.49
2003-04-01,5.47
2003-07-01,5.41
2003-10-01,5.74
2004-01-01,5.21
2004-04-01,5.29
2004-07-01,4.53
2004-10-01,4.74
2005-01-01,4.57
2005-04-01,4.2
2005-07-01,4.42
2005-10-01,5.97
2006-01-01,3.30
2006-04-01,3.49
2006-07-01,3.81
2006-10-01,3.59
2007-01-01,4.15
2007-04-01,3.70
2007-07-01,3.8
2007-10-01,4.30
2008-01-01,4.69
2008-04-01,5.17
2008-07-01,5.78
2008-10-01,6.45
2009-01-01,7.73
2009-04-01,9.38
2009-07-01,10.55
2009-10-01,10.64
2010-01-01,10.58
2010-04-01,10.48
2010-07-01,8.91
2010-10-01,7.97
2011-01-01,6.96
2011-04-01,5.31
2011-07-01,5.96
2011-10-01,4.48
2012-01-01,4.23
2012-04-01,3.96
2012-07-01,3.84
2012-10-01,3.86
2013-01-01,3.69
2013-04-01,3.47
2013-07-01,3.42
2013-10-01,3.36
2014-01-01,3.20
2014-04-01,3.31
2014-07-01,3.10
2014-10-01,3.01
2015-01-01,2.88
2015-04-01,2.89
2015-07-01,2.96
2015-10-01,2.94
2016-01-01,2.98
2016-04-01,3.00
2016-07-01,3.09
2016-10-01,3.35
2017-01-01,3.48
2017-04-01,3.47
2017-07-01,3.47
2017-10-01,3.53
2018-01-01,3.66
2018-04-01,3.52
2018-07-01,3.57
2018-10-01,3.64
2019-01-01,3.56
2019-04-01,3.55
2019-07-01,3.78
2019-10-01,3.71
2020-01-01,3.54
2020-04-01,3.67
2020-07-01,3.58
2020-10-01,2.62
2021-01-01,2.69
2021-04-01,2.31
2021-07-01,1.76
2021-10-01,1.56
2022-01-01,1.59
2022-04-01,1.73
2022-07-01,2.0
2022-10-01,2.31
2023-01-01,2.74
2023-04-01,3.05
2023-07-01,3.55
2023-10-01,3.97
2024-01-01,4.16
2024-04-01,4.38
