DATE,CORFLACBS
1991-01-01,0.21
1991-04-01,0.28
1991-07-01,0.35
1991-10-01,0.20
1992-01-01,0.27
1992-04-01,0.26
1992-07-01,0.27
1992-10-01,0.16
1993-01-01,0.12
1993-04-01,0.10
1993-07-01,0.10
1993-10-01,0.15
1994-01-01,0.08
1994-04-01,0.04
1994-07-01,0.02
1994-10-01,0.06
1995-01-01,0.05
1995-04-01,0.07
1995-07-01,0.10
1995-10-01,0.03
1996-01-01,0.07
1996-04-01,0.05
1996-07-01,0.02
1996-10-01,0.01
1997-01-01,0.03
1997-04-01,0.01
1997-07-01,0.03
1997-10-01,0.16
1998-01-01,0.03
1998-04-01,0.05
1998-07-01,0.00
1998-10-01,0.00
1999-01-01,0.03
1999-04-01,0.06
1999-07-01,0.07
1999-10-01,0.03
2000-01-01,-0.09
2000-04-01,0.04
2000-07-01,0.11
2000-10-01,0.11
2001-01-01,0.15
2001-04-01,0.12
2001-07-01,0.08
2001-10-01,0.13
2002-01-01,0.12
2002-04-01,0.08
2002-07-01,0.07
2002-10-01,0.11
2003-01-01,0.07
2003-04-01,0.06
2003-07-01,0.10
2003-10-01,0.08
2004-01-01,0.07
2004-04-01,0.05
2004-07-01,0.05
2004-10-01,0.04
2005-01-01,0.05
2005-04-01,0.10
2005-07-01,0.04
2005-10-01,-0.03
2006-01-01,0.03
2006-04-01,0.05
2006-07-01,0.03
2006-10-01,0.05
2007-01-01,-0.01
2007-04-01,0.00
2007-07-01,0.07
2007-10-01,-0.02
2008-01-01,0.08
2008-04-01,0.06
2008-07-01,0.10
2008-10-01,0.15
2009-01-01,0.23
2009-04-01,0.28
2009-07-01,0.36
2009-10-01,0.47
2010-01-01,0.43
2010-04-01,0.46
2010-07-01,0.41
2010-10-01,0.41
2011-01-01,0.39
2011-04-01,0.35
2011-07-01,0.33
2011-10-01,0.31
2012-01-01,0.26
2012-04-01,0.33
2012-07-01,0.30
2012-10-01,0.22
2013-01-01,0.15
2013-04-01,0.04
2013-07-01,0.03
2013-10-01,0.07
2014-01-01,0.05
2014-04-01,0.10
2014-07-01,0.01
2014-10-01,0.00
2015-01-01,0.01
2015-04-01,0.00
2015-07-01,0.03
2015-10-01,0.00
2016-01-01,0.05
2016-04-01,0.03
2016-07-01,0.02
2016-10-01,0.03
2017-01-01,0.03
2017-04-01,0.06
2017-07-01,0.04
2017-10-01,0.05
2018-01-01,-0.02
2018-04-01,0.03
2018-07-01,0.07
2018-10-01,0.07
2019-01-01,0.09
2019-04-01,0.05
2019-07-01,0.07
2019-10-01,0.08
2020-01-01,0.08
2020-04-01,0.09
2020-07-01,0.05
2020-10-01,0.02
2021-01-01,0.00
2021-04-01,0.01
2021-07-01,0.03
2021-10-01,0.04
2022-01-01,0.04
2022-04-01,-0.01
2022-07-01,0.02
2022-10-01,-0.03
2023-01-01,0.00
2023-04-01,0.01
2023-07-01,0.01
2023-10-01,0.02
2024-01-01,0.02
2024-04-01,0.01
