DATE,CORLFROBS
1985-01-01,0.85
1985-04-01,0.85
1985-07-01,0.94
1985-10-01,0.84
1986-01-01,0.40
1986-04-01,1.03
1986-07-01,1.17
1986-10-01,0.87
1987-01-01,1.11
1987-04-01,0.81
1987-07-01,0.98
1987-10-01,1.02
1988-01-01,0.72
1988-04-01,0.75
1988-07-01,0.52
1988-10-01,0.53
1989-01-01,0.63
1989-04-01,0.69
1989-07-01,0.67
1989-10-01,0.79
1990-01-01,0.68
1990-04-01,0.72
1990-07-01,0.59
1990-10-01,0.80
1991-01-01,1.18
1991-04-01,0.80
1991-07-01,0.84
1991-10-01,0.99
1992-01-01,0.83
1992-04-01,0.66
1992-07-01,0.70
1992-10-01,0.54
1993-01-01,0.47
1993-04-01,0.22
1993-07-01,0.49
1993-10-01,0.21
1994-01-01,0.26
1994-04-01,0.18
1994-07-01,0.16
1994-10-01,0.13
1995-01-01,0.12
1995-04-01,0.22
1995-07-01,0.22
1995-10-01,0.26
1996-01-01,0.28
1996-04-01,0.49
1996-07-01,0.51
1996-10-01,0.32
1997-01-01,0.50
1997-04-01,0.45
1997-07-01,0.26
1997-10-01,0.54
1998-01-01,0.55
1998-04-01,0.58
1998-07-01,0.52
1998-10-01,0.47
1999-01-01,0.48
1999-04-01,0.38
1999-07-01,0.47
1999-10-01,0.50
2000-01-01,0.56
2000-04-01,0.79
2000-07-01,0.47
2000-10-01,0.65
2001-01-01,0.80
2001-04-01,0.88
2001-07-01,1.30
2001-10-01,1.37
2002-01-01,1.38
2002-04-01,1.52
2002-07-01,1.31
2002-10-01,1.40
2003-01-01,1.18
2003-04-01,0.86
2003-07-01,1.39
2003-10-01,0.95
2004-01-01,0.73
2004-04-01,0.63
2004-07-01,0.52
2004-10-01,0.73
2005-01-01,0.63
2005-04-01,0.45
2005-07-01,0.99
2005-10-01,0.52
2006-01-01,0.34
2006-04-01,0.33
2006-07-01,0.36
2006-10-01,0.43
2007-01-01,0.62
2007-04-01,0.45
2007-07-01,0.41
2007-10-01,0.52
2008-01-01,0.50
2008-04-01,2.80
2008-07-01,0.95
2008-10-01,1.48
2009-01-01,2.05
2009-04-01,4.39
2009-07-01,1.96
2009-10-01,2.24
2010-01-01,1.76
2010-04-01,1.15
2010-07-01,1.54
2010-10-01,0.81
2011-01-01,0.61
2011-04-01,0.45
2011-07-01,0.31
2011-10-01,0.26
2012-01-01,0.20
2012-04-01,0.17
2012-07-01,0.14
2012-10-01,0.51
2013-01-01,0.34
2013-04-01,0.23
2013-07-01,0.24
2013-10-01,0.10
2014-01-01,0.25
2014-04-01,0.29
2014-07-01,0.51
2014-10-01,0.40
2015-01-01,0.50
2015-04-01,0.46
2015-07-01,0.34
2015-10-01,0.59
2016-01-01,0.45
2016-04-01,0.58
2016-07-01,0.40
2016-10-01,0.39
2017-01-01,0.42
2017-04-01,0.47
2017-07-01,0.54
2017-10-01,0.32
2018-01-01,0.39
2018-04-01,0.5
2018-07-01,0.41
2018-10-01,0.42
2019-01-01,0.30
2019-04-01,0.28
2019-07-01,0.35
2019-10-01,0.28
2020-01-01,0.47
2020-04-01,0.39
2020-07-01,0.49
2020-10-01,0.63
2021-01-01,0.29
2021-04-01,0.15
2021-07-01,0.19
2021-10-01,0.15
2022-01-01,0.1
2022-04-01,0.29
2022-07-01,0.09
2022-10-01,0.08
2023-01-01,0.47
2023-04-01,0.41
2023-07-01,0.48
2023-10-01,0.63
2024-01-01,0.43
2024-04-01,0.39
