DATE,CORLFRT100S
1985-01-01,0.32
1985-04-01,0.66
1985-07-01,0.86
1985-10-01,0.82
1986-01-01,0.55
1986-04-01,0.56
1986-07-01,0.64
1986-10-01,0.66
1987-01-01,1.03
1987-04-01,0.71
1987-07-01,0.65
1987-10-01,0.70
1988-01-01,0.36
1988-04-01,0.52
1988-07-01,0.38
1988-10-01,0.37
1989-01-01,0.42
1989-04-01,0.45
1989-07-01,0.40
1989-10-01,0.56
1990-01-01,0.77
1990-04-01,0.57
1990-07-01,0.73
1990-10-01,0.53
1991-01-01,0.81
1991-04-01,0.72
1991-07-01,0.81
1991-10-01,0.64
1992-01-01,0.69
1992-04-01,0.69
1992-07-01,0.53
1992-10-01,0.78
1993-01-01,0.50
1993-04-01,0.43
1993-07-01,0.33
1993-10-01,0.31
1994-01-01,0.03
1994-04-01,0.07
1994-07-01,0.16
1994-10-01,0.05
1995-01-01,0.06
1995-04-01,0.24
1995-07-01,0.04
1995-10-01,0.09
1996-01-01,0.20
1996-04-01,0.17
1996-07-01,0.30
1996-10-01,0.18
1997-01-01,0.24
1997-04-01,0.23
1997-07-01,0.20
1997-10-01,0.32
1998-01-01,0.28
1998-04-01,0.26
1998-07-01,0.26
1998-10-01,0.20
1999-01-01,0.29
1999-04-01,0.32
1999-07-01,0.26
1999-10-01,0.34
2000-01-01,0.28
2000-04-01,0.28
2000-07-01,0.29
2000-10-01,0.31
2001-01-01,0.48
2001-04-01,0.54
2001-07-01,0.75
2001-10-01,0.74
2002-01-01,0.82
2002-04-01,1.03
2002-07-01,0.82
2002-10-01,1.54
2003-01-01,1.06
2003-04-01,1.03
2003-07-01,0.74
2003-10-01,0.53
2004-01-01,0.50
2004-04-01,0.40
2004-07-01,0.33
2004-10-01,0.36
2005-01-01,0.39
2005-04-01,0.25
2005-07-01,1.03
2005-10-01,0.65
2006-01-01,0.27
2006-04-01,0.13
2006-07-01,0.03
2006-10-01,0.15
2007-01-01,0.22
2007-04-01,0.17
2007-07-01,0.24
2007-10-01,0.21
2008-01-01,0.42
2008-04-01,0.32
2008-07-01,0.49
2008-10-01,0.59
2009-01-01,0.82
2009-04-01,1.33
2009-07-01,1.33
2009-10-01,1.22
2010-01-01,0.94
2010-04-01,0.71
2010-07-01,0.45
2010-10-01,0.61
2011-01-01,0.27
2011-04-01,0.12
2011-07-01,0.16
2011-10-01,0.23
2012-01-01,0.19
2012-04-01,0.24
2012-07-01,0.35
2012-10-01,0.07
2013-01-01,0.44
2013-04-01,0.18
2013-07-01,-0.01
2013-10-01,-0.02
2014-01-01,0.03
2014-04-01,0.06
2014-07-01,0.09
2014-10-01,0.06
2015-01-01,0.16
2015-04-01,0.11
2015-07-01,0.16
2015-10-01,0.19
2016-01-01,0.32
2016-04-01,0.21
2016-07-01,0.21
2016-10-01,0.16
2017-01-01,0.13
2017-04-01,0.15
2017-07-01,0.14
2017-10-01,0.17
2018-01-01,0.14
2018-04-01,0.15
2018-07-01,0.14
2018-10-01,0.14
2019-01-01,0.22
2019-04-01,0.18
2019-07-01,0.15
2019-10-01,0.25
2020-01-01,0.26
2020-04-01,0.53
2020-07-01,0.83
2020-10-01,0.44
2021-01-01,0.31
2021-04-01,0.18
2021-07-01,0.03
2021-10-01,0.09
2022-01-01,0.30
2022-04-01,0.04
2022-07-01,0.06
2022-10-01,0.08
2023-01-01,0.06
2023-04-01,0.09
2023-07-01,0.13
2023-10-01,0.13
2024-01-01,0.19
2024-04-01,0.23
