DATE,COROCLACBS
1985-01-01,0.51
1985-04-01,0.57
1985-07-01,0.67
1985-10-01,0.73
1986-01-01,0.75
1986-04-01,0.80
1986-07-01,0.79
1986-10-01,0.79
1987-01-01,0.74
1987-04-01,0.77
1987-07-01,0.76
1987-10-01,0.80
1988-01-01,0.75
1988-04-01,0.75
1988-07-01,0.81
1988-10-01,0.75
1989-01-01,0.90
1989-04-01,0.83
1989-07-01,0.84
1989-10-01,0.89
1990-01-01,0.98
1990-04-01,1.03
1990-07-01,1.00
1990-10-01,1.07
1991-01-01,1.24
1991-04-01,1.16
1991-07-01,1.10
1991-10-01,1.05
1992-01-01,1.06
1992-04-01,0.94
1992-07-01,0.88
1992-10-01,0.80
1993-01-01,0.67
1993-04-01,0.65
1993-07-01,0.64
1993-10-01,0.58
1994-01-01,0.48
1994-04-01,0.51
1994-07-01,0.49
1994-10-01,0.53
1995-01-01,0.54
1995-04-01,0.61
1995-07-01,0.67
1995-10-01,0.74
1996-01-01,0.80
1996-04-01,0.85
1996-07-01,0.92
1996-10-01,0.90
1997-01-01,0.99
1997-04-01,1.02
1997-07-01,1.01
1997-10-01,0.97
1998-01-01,1.01
1998-04-01,1.00
1998-07-01,0.96
1998-10-01,0.98
1999-01-01,0.96
1999-04-01,0.91
1999-07-01,1.09
1999-10-01,1.00
2000-01-01,0.98
2000-04-01,0.92
2000-07-01,0.92
2000-10-01,1.58
2001-01-01,1.12
2001-04-01,1.19
2001-07-01,1.31
2001-10-01,1.43
2002-01-01,1.46
2002-04-01,1.41
2002-07-01,1.51
2002-10-01,1.40
2003-01-01,1.43
2003-04-01,1.52
2003-07-01,1.39
2003-10-01,1.26
2004-01-01,1.31
2004-04-01,1.29
2004-07-01,1.23
2004-10-01,1.39
2005-01-01,1.14
2005-04-01,1.10
2005-07-01,2.10
2005-10-01,1.18
2006-01-01,0.94
2006-04-01,0.96
2006-07-01,1.12
2006-10-01,1.17
2007-01-01,1.41
2007-04-01,1.47
2007-07-01,1.52
2007-10-01,1.80
2008-01-01,1.98
2008-04-01,2.19
2008-07-01,2.45
2008-10-01,2.71
2009-01-01,3.00
2009-04-01,3.36
2009-07-01,3.17
2009-10-01,2.71
2010-01-01,2.40
2010-04-01,2.24
2010-07-01,1.86
2010-10-01,1.73
2011-01-01,1.71
2011-04-01,1.44
2011-07-01,1.29
2011-10-01,1.18
2012-01-01,1.00
2012-04-01,1.08
2012-07-01,1.04
2012-10-01,1.00
2013-01-01,0.89
2013-04-01,0.84
2013-07-01,0.88
2013-10-01,0.84
2014-01-01,0.82
2014-04-01,0.76
2014-07-01,0.76
2014-10-01,0.72
2015-01-01,0.66
2015-04-01,0.68
2015-07-01,0.66
2015-10-01,0.71
2016-01-01,0.74
2016-04-01,0.73
2016-07-01,0.78
2016-10-01,0.85
2017-01-01,1.05
2017-04-01,0.82
2017-07-01,0.89
2017-10-01,0.85
2018-01-01,0.88
2018-04-01,0.89
2018-07-01,0.86
2018-10-01,0.88
2019-01-01,0.87
2019-04-01,0.92
2019-07-01,0.96
2019-10-01,0.90
2020-01-01,0.92
2020-04-01,0.93
2020-07-01,0.56
2020-10-01,0.55
2021-01-01,0.54
2021-04-01,0.29
2021-07-01,0.30
2021-10-01,0.35
2022-01-01,0.43
2022-04-01,0.48
2022-07-01,0.64
2022-10-01,0.86
2023-01-01,0.8
2023-04-01,1.06
2023-07-01,1.04
2023-10-01,1.13
2024-01-01,1.15
2024-04-01,1.21
