DATE,CORSFRMT100S
1991-01-01,0.17
1991-04-01,0.13
1991-07-01,0.16
1991-10-01,0.15
1992-01-01,0.21
1992-04-01,0.21
1992-07-01,0.39
1992-10-01,0.33
1993-01-01,0.24
1993-04-01,0.31
1993-07-01,0.26
1993-10-01,0.24
1994-01-01,0.23
1994-04-01,0.24
1994-07-01,0.18
1994-10-01,0.21
1995-01-01,0.16
1995-04-01,0.14
1995-07-01,0.15
1995-10-01,0.15
1996-01-01,0.15
1996-04-01,0.11
1996-07-01,0.10
1996-10-01,0.10
1997-01-01,0.10
1997-04-01,0.11
1997-07-01,0.09
1997-10-01,0.08
1998-01-01,0.10
1998-04-01,0.08
1998-07-01,0.08
1998-10-01,0.06
1999-01-01,0.09
1999-04-01,0.12
1999-07-01,0.17
1999-10-01,0.15
2000-01-01,0.13
2000-04-01,0.10
2000-07-01,0.12
2000-10-01,0.15
2001-01-01,0.15
2001-04-01,0.18
2001-07-01,0.60
2001-10-01,0.23
2002-01-01,0.18
2002-04-01,0.19
2002-07-01,0.17
2002-10-01,0.15
2003-01-01,0.16
2003-04-01,0.17
2003-07-01,0.14
2003-10-01,0.40
2004-01-01,0.13
2004-04-01,0.10
2004-07-01,0.10
2004-10-01,0.10
2005-01-01,0.07
2005-04-01,0.07
2005-07-01,0.09
2005-10-01,0.08
2006-01-01,0.08
2006-04-01,0.08
2006-07-01,0.13
2006-10-01,0.14
2007-01-01,0.13
2007-04-01,0.19
2007-07-01,0.30
2007-10-01,0.50
2008-01-01,0.92
2008-04-01,1.33
2008-07-01,2.11
2008-10-01,1.83
2009-01-01,2.01
2009-04-01,2.63
2009-07-01,2.75
2009-10-01,3.09
2010-01-01,2.69
2010-04-01,2.37
2010-07-01,2.16
2010-10-01,2.16
2011-01-01,1.82
2011-04-01,1.84
2011-07-01,1.70
2011-10-01,1.49
2012-01-01,1.48
2012-04-01,1.36
2012-07-01,2.01
2012-10-01,1.15
2013-01-01,0.95
2013-04-01,0.82
2013-07-01,0.56
2013-10-01,0.51
2014-01-01,0.36
2014-04-01,0.30
2014-07-01,0.32
2014-10-01,0.26
2015-01-01,0.28
2015-04-01,0.23
2015-07-01,0.18
2015-10-01,0.21
2016-01-01,0.13
2016-04-01,0.12
2016-07-01,0.12
2016-10-01,0.06
2017-01-01,0.05
2017-04-01,0.05
2017-07-01,0.05
2017-10-01,0.01
2018-01-01,0.01
2018-04-01,-0.01
2018-07-01,-0.02
2018-10-01,-0.02
2019-01-01,-0.01
2019-04-01,-0.03
2019-07-01,-0.05
2019-10-01,0.00
2020-01-01,-0.04
2020-04-01,0.00
2020-07-01,0.00
2020-10-01,-0.04
2021-01-01,-0.05
2021-04-01,-0.05
2021-07-01,-0.05
2021-10-01,-0.03
2022-01-01,-0.03
2022-04-01,-0.03
2022-07-01,-0.02
2022-10-01,-0.03
2023-01-01,-0.02
2023-04-01,0.01
2023-07-01,0.00
2023-10-01,-0.01
2024-01-01,-0.01
2024-04-01,-0.01
