DATE,CARACBW027SBOG
2015-01-07,357.3395
2015-01-14,357.9947
2015-01-21,358.5057
2015-01-28,358.8953
2015-02-04,359.5011
2015-02-11,359.9496
2015-02-18,360.3041
2015-02-25,360.6083
2015-03-04,360.5549
2015-03-11,360.9564
2015-03-18,361.6862
2015-03-25,361.9209
2015-04-01,362.9585
2015-04-08,363.5124
2015-04-15,364.0012
2015-04-22,364.3866
2015-04-29,365.4222
2015-05-06,365.8066
2015-05-13,366.4595
2015-05-20,366.7603
2015-05-27,367.4918
2015-06-03,368.444
2015-06-10,368.4043
2015-06-17,368.7651
2015-06-24,369.3936
2015-07-01,369.8596
2015-07-08,370.5662
2015-07-15,371.1209
2015-07-22,371.1108
2015-07-29,371.663
2015-08-05,371.8212
2015-08-12,372.6572
2015-08-19,372.9348
2015-08-26,373.1956
2015-09-02,374.0249
2015-09-09,374.4141
2015-09-16,374.9999
2015-09-23,376.3353
2015-09-30,377.4718
2015-10-07,377.5395
2015-10-14,378.35
2015-10-21,379.1521
2015-10-28,379.9352
2015-11-04,380.5549
2015-11-11,380.8764
2015-11-18,381.829
2015-11-25,382.1869
2015-12-02,383.3144
2015-12-09,384.0153
2015-12-16,384.3291
2015-12-23,385.1015
2015-12-30,385.6556
2016-01-06,386.0692
2016-01-13,386.5525
2016-01-20,386.9053
2016-01-27,387.483
2016-02-03,388.1848
2016-02-10,388.9587
2016-02-17,389.6361
2016-02-24,390.2736
2016-03-02,390.8556
2016-03-09,392.0913
2016-03-16,391.8884
2016-03-23,392.7166
2016-03-30,393.5185
2016-04-06,393.9625
2016-04-13,394.7444
2016-04-20,395.3552
2016-04-27,396.1921
2016-05-04,396.8747
2016-05-11,397.6644
2016-05-18,397.9589
2016-05-25,398.5558
2016-06-01,398.9615
2016-06-08,399.7098
2016-06-15,400.3501
2016-06-22,400.7627
2016-06-29,401.135
2016-07-06,401.4936
2016-07-13,401.8445
2016-07-20,402.9527
2016-07-27,403.6107
2016-08-03,404.2927
2016-08-10,405.0095
2016-08-17,405.2956
2016-08-24,405.7205
2016-08-31,406.4452
2016-09-07,404.5766
2016-09-14,405.2048
2016-09-21,405.7072
2016-09-28,405.6607
2016-10-05,406.3499
2016-10-12,406.8361
2016-10-19,407.3454
2016-10-26,407.9004
2016-11-02,408.6652
2016-11-09,409.0733
2016-11-16,409.4235
2016-11-23,409.656
2016-11-30,409.4884
2016-12-07,409.5106
2016-12-14,409.2726
2016-12-21,409.9831
2016-12-28,410.3507
2017-01-04,411.0851
2017-01-11,411.1625
2017-01-18,411.2544
2017-01-25,411.259
2017-02-01,411.0892
2017-02-08,411.4558
2017-02-15,411.7163
2017-02-22,411.5624
2017-03-01,411.6854
2017-03-08,411.9994
2017-03-15,412.2746
2017-03-22,412.3216
2017-03-29,412.072
2017-04-05,411.6084
2017-04-12,411.8214
2017-04-19,411.9311
2017-04-26,411.997
2017-05-03,411.995
2017-05-10,412.2963
2017-05-17,412.2131
2017-05-24,412.8897
2017-05-31,411.6966
2017-06-07,412.6472
2017-06-14,413.0379
2017-06-21,413.007
2017-06-28,413.669
2017-07-05,413.8051
2017-07-12,414.3493
2017-07-19,414.4603
2017-07-26,414.6613
2017-08-02,415.0275
2017-08-09,415.6206
2017-08-16,415.9043
2017-08-23,416.1554
2017-08-30,416.1598
2017-09-06,416.4007
2017-09-13,416.6647
2017-09-20,416.9762
2017-09-27,417.7552
2017-10-04,417.7244
2017-10-11,418.3398
2017-10-18,418.6571
2017-10-25,418.6987
2017-11-01,418.3008
2017-11-08,418.6642
2017-11-15,419.023
2017-11-22,418.9124
2017-11-29,419.5942
2017-12-06,419.9701
2017-12-13,420.0671
2017-12-20,420.1709
2017-12-27,420.4199
2018-01-03,420.3612
2018-01-10,420.6258
2018-01-17,420.6354
2018-01-24,420.7561
2018-01-31,421.1018
2018-02-07,421.2598
2018-02-14,421.251
2018-02-21,421.2747
2018-02-28,421.4427
2018-03-07,421.3289
2018-03-14,421.1306
2018-03-21,421.6784
2018-03-28,421.5217
2018-04-04,422.3567
2018-04-11,422.4643
2018-04-18,422.2942
2018-04-25,421.9794
2018-05-02,422.1409
2018-05-09,422.0279
2018-05-16,421.7882
2018-05-23,421.6422
2018-05-30,421.896
2018-06-06,422.0118
2018-06-13,422.0665
2018-06-20,422.0045
2018-06-27,421.4911
2018-07-04,420.9558
2018-07-11,421.0191
2018-07-18,420.9217
2018-07-25,421.1008
2018-08-01,421.1743
2018-08-08,421.3697
2018-08-15,421.0889
2018-08-22,421.2351
2018-08-29,420.9562
2018-09-05,421.139
2018-09-12,421.3495
2018-09-19,421.4925
2018-09-26,421.4005
2018-10-03,421.6176
2018-10-10,421.7081
2018-10-17,421.8138
2018-10-24,421.8913
2018-10-31,422.1716
2018-11-07,422.4766
2018-11-14,422.7342
2018-11-21,422.8458
2018-11-28,422.8302
2018-12-05,423.0669
2018-12-12,423.0651
2018-12-19,423.9361
2018-12-26,423.9556
2019-01-02,424.5106
2019-01-09,424.8579
2019-01-16,425.0345
2019-01-23,425.0883
2019-01-30,425.8044
2019-02-06,425.9435
2019-02-13,426.3214
2019-02-20,426.9956
2019-02-27,427.3235
2019-03-06,427.5065
2019-03-13,428.0033
2019-03-20,428.6847
2019-03-27,429.0729
2019-04-03,430.3069
2019-04-10,431.0053
