DATE,DTCOLNVHFXDFBANA
1943-02-01,-540.0000000
1943-03-01,-480.0000000
1943-04-01,-288.0000000
1943-05-01,-216.0000000
1943-06-01,-192.0000000
1943-07-01,-108.0000000
1943-08-01,-60.0000000
1943-09-01,-24.0000000
1943-10-01,-48.0000000
1943-11-01,-24.0000000
1943-12-01,-12.0000000
1944-01-01,-60.0000000
1944-02-01,-12.0000000
1944-03-01,36.0000000
1944-04-01,24.0000000
1944-05-01,96.0000000
1944-06-01,120.0000000
1944-07-01,120.0000000
1944-08-01,60.0000000
1944-09-01,-12.0000000
1944-10-01,0.0000000
1944-11-01,-24.0000000
1944-12-01,-48.0000000
1945-01-01,-108.0000000
1945-02-01,-72.0000000
1945-03-01,-24.0000000
1945-04-01,-24.0000000
1945-05-01,0.0000000
1945-06-01,24.0000000
1945-07-01,48.0000000
1945-08-01,12.0000000
1945-09-01,48.0000000
1945-10-01,60.0000000
1945-11-01,108.0000000
1945-12-01,84.0000000
1946-01-01,72.0000000
1946-02-01,72.0000000
1946-03-01,144.0000000
1946-04-01,252.0000000
1946-05-01,228.0000000
1946-06-01,144.0000000
1946-07-01,252.0000000
1946-08-01,228.0000000
1946-09-01,300.0000000
1946-10-01,300.0000000
1946-11-01,288.0000000
1946-12-01,396.0000000
1947-01-01,336.0000000
1947-02-01,420.0000000
1947-03-01,516.0000000
1947-04-01,564.0000000
1947-05-01,564.0000000
1947-06-01,468.0000000
1947-07-01,396.0000000
1947-08-01,384.0000000
1947-09-01,336.0000000
1947-10-01,384.0000000
1947-11-01,516.0000000
1947-12-01,588.0000000
1948-01-01,516.0000000
1948-02-01,456.0000000
1948-03-01,1032.0000000
1948-04-01,948.0000000
1948-05-01,552.0000000
1948-06-01,408.0000000
1948-07-01,732.0000000
1948-08-01,732.0000000
1948-09-01,660.0000000
1948-10-01,120.0000000
1948-11-01,324.0000000
1948-12-01,372.0000000
1949-01-01,24.0000000
1949-02-01,240.0000000
1949-03-01,1008.0000000
1949-04-01,1308.0000000
1949-05-01,1488.0000000
1949-06-01,1212.0000000
1949-07-01,1092.0000000
1949-08-01,1452.0000000
1949-09-01,1104.0000000
1949-10-01,1068.0000000
1949-11-01,960.0000000
1949-12-01,576.0000000
1950-01-01,372.0000000
1950-02-01,696.0000000
1950-03-01,888.0000000
1950-04-01,984.0000000
1950-05-01,1140.0000000
1950-06-01,1704.0000000
1950-07-01,2004.0000000
1950-08-01,1128.0000000
1950-09-01,876.0000000
1950-10-01,60.0000000
1950-11-01,-504.0000000
1950-12-01,-420.0000000
1951-01-01,-720.0000000
1951-02-01,-684.0000000
1951-03-01,-420.0000000
1951-04-01,-132.0000000
1951-05-01,348.0000000
1951-06-01,552.0000000
1951-07-01,84.0000000
1951-08-01,888.0000000
1951-09-01,312.0000000
1951-10-01,-468.0000000
1951-11-01,-312.0000000
1951-12-01,-528.0000000
1952-01-01,-792.0000000
1952-02-01,-492.0000000
1952-03-01,-468.0000000
1952-04-01,348.0000000
1952-05-01,1920.0000000
1952-06-01,2496.0000000
1952-07-01,1320.0000000
1952-08-01,180.0000000
1952-09-01,552.0000000
1952-10-01,1548.0000000
1952-11-01,1416.0000000
1952-12-01,1428.0000000
1953-01-01,900.0000000
1953-02-01,1032.0000000
1953-03-01,1548.0000000
1953-04-01,1452.0000000
1953-05-01,1680.0000000
1953-06-01,1500.0000000
1953-07-01,1776.0000000
1953-08-01,1032.0000000
1953-09-01,756.0000000
1953-10-01,864.0000000
1953-11-01,360.0000000
1953-12-01,-276.0000000
1954-01-01,-984.0000000
1954-02-01,-972.0000000
1954-03-01,-864.0000000
1954-04-01,48.0000000
1954-05-01,420.0000000
1954-06-01,1164.0000000
1954-07-01,1212.0000000
1954-08-01,624.0000000
1954-09-01,300.0000000
1954-10-01,96.0000000
1954-11-01,-96.0000000
1954-12-01,696.0000000
1955-01-01,360.0000000
1955-02-01,1116.0000000
1955-03-01,2508.0000000
1955-04-01,2760.0000000
1955-05-01,3192.0000000
1955-06-01,3600.0000000
1955-07-01,3420.0000000
1955-08-01,3336.0000000
1955-09-01,2388.0000000
1955-10-01,948.0000000
1955-11-01,372.0000000
1955-12-01,768.0000000
1956-01-01,-24.0000000
1956-02-01,216.0000000
1956-03-01,648.0000000
1956-04-01,504.0000000
1956-05-01,732.0000000
1956-06-01,1224.0000000
1956-07-01,768.0000000
1956-08-01,924.0000000
1956-09-01,204.0000000
1956-10-01,-432.0000000
1956-11-01,-384.0000000
1956-12-01,-324.0000000
1957-01-01,-780.0000000
1957-02-01,-420.0000000
1957-03-01,-72.0000000
1957-04-01,264.0000000
1957-05-01,720.0000000
1957-06-01,1272.0000000
1957-07-01,1044.0000000
1957-08-01,744.0000000
1957-09-01,228.0000000
1957-10-01,-288.0000000
1957-11-01,-372.0000000
1957-12-01,-564.0000000
1958-01-01,-1356.0000000
1958-02-01,-1560.0000000
1958-03-01,-1932.0000000
1958-04-01,-1380.0000000
1958-05-01,-984.0000000
1958-06-01,-564.0000000
1958-07-01,-612.0000000
1958-08-01,-792.0000000
1958-09-01,-1572.0000000
1958-10-01,-1536.0000000
1958-11-01,-1008.0000000
1958-12-01,72.0000000
1959-01-01,-192.0000000
1959-02-01,0.0000000
1959-03-01,384.0000000
1959-04-01,1344.0000000
1959-05-01,1596.0000000
1959-06-01,2436.0000000
1959-07-01,2112.0000000
1959-08-01,2124.0000000
1959-09-01,1008.0000000
1959-10-01,876.0000000
1959-11-01,-216.0000000
1959-12-01,-708.0000000
1960-01-01,-324.0000000
1960-02-01,408.0000000
1960-03-01,720.0000000
1960-04-01,1512.0000000
1960-05-01,1092.0000000
1960-06-01,1584.0000000
1960-07-01,576.0000000
1960-08-01,336.0000000
1960-09-01,-324.0000000
1960-10-01,-504.0000000
1960-11-01,-516.0000000
1960-12-01,-792.0000000
1961-01-01,-1692.0000000
1961-02-01,-1548.0000000
1961-03-01,-1416.0000000
1961-04-01,-864.0000000
