DATE,DTCOLNVHFNM
1943-01-01,330.0000000
1943-02-01,285.0000000
1943-03-01,245.0000000
1943-04-01,221.0000000
1943-05-01,203.0000000
1943-06-01,187.0000000
1943-07-01,178.0000000
1943-08-01,173.0000000
1943-09-01,171.0000000
1943-10-01,167.0000000
1943-11-01,165.0000000
1943-12-01,164.0000000
1944-01-01,159.0000000
1944-02-01,158.0000000
1944-03-01,161.0000000
1944-04-01,163.0000000
1944-05-01,171.0000000
1944-06-01,181.0000000
1944-07-01,191.0000000
1944-08-01,196.0000000
1944-09-01,195.0000000
1944-10-01,195.0000000
1944-11-01,193.0000000
1944-12-01,189.0000000
1945-01-01,180.0000000
1945-02-01,174.0000000
1945-03-01,172.0000000
1945-04-01,170.0000000
1945-05-01,170.0000000
1945-06-01,172.0000000
1945-07-01,176.0000000
1945-08-01,177.0000000
1945-09-01,181.0000000
1945-10-01,186.0000000
1945-11-01,195.0000000
1945-12-01,202.0000000
1946-01-01,208.0000000
1946-02-01,214.0000000
1946-03-01,226.0000000
1946-04-01,247.0000000
1946-05-01,266.0000000
1946-06-01,278.0000000
1946-07-01,299.0000000
1946-08-01,318.0000000
1946-09-01,343.0000000
1946-10-01,368.0000000
1946-11-01,392.0000000
1946-12-01,425.0000000
1947-01-01,453.0000000
1947-02-01,488.0000000
1947-03-01,531.0000000
1947-04-01,578.0000000
1947-05-01,625.0000000
1947-06-01,664.0000000
1947-07-01,697.0000000
1947-08-01,729.0000000
1947-09-01,757.0000000
1947-10-01,789.0000000
1947-11-01,832.0000000
1947-12-01,881.0000000
1948-01-01,924.0000000
1948-02-01,962.0000000
1948-03-01,1048.0000000
1948-04-01,1127.0000000
1948-05-01,1173.0000000
1948-06-01,1207.0000000
1948-07-01,1268.0000000
1948-08-01,1329.0000000
1948-09-01,1384.0000000
1948-10-01,1394.0000000
1948-11-01,1421.0000000
1948-12-01,1452.0000000
1949-01-01,1454.0000000
1949-02-01,1474.0000000
1949-03-01,1558.0000000
1949-04-01,1667.0000000
1949-05-01,1791.0000000
1949-06-01,1892.0000000
1949-07-01,1983.0000000
1949-08-01,2104.0000000
1949-09-01,2196.0000000
1949-10-01,2285.0000000
1949-11-01,2365.0000000
1949-12-01,2413.0000000
1950-01-01,2444.0000000
1950-02-01,2502.0000000
