DATE,DRALT100S
1985-01-01,5.02
1985-04-01,5.10
1985-07-01,4.98
1985-10-01,4.70
1986-01-01,4.75
1986-04-01,4.68
1986-07-01,4.75
1986-10-01,4.72
1987-01-01,6.41
1987-04-01,6.26
1987-07-01,6.08
1987-10-01,6.17
1988-01-01,5.87
1988-04-01,5.80
1988-07-01,6.05
1988-10-01,5.37
1989-01-01,5.78
1989-04-01,5.85
1989-07-01,5.83
1989-10-01,5.65
1990-01-01,5.73
1990-04-01,5.83
1990-07-01,6.13
1990-10-01,6.95
1991-01-01,7.17
1991-04-01,7.17
1991-07-01,6.90
1991-10-01,6.69
1992-01-01,6.44
1992-04-01,6.42
1992-07-01,6.17
1992-10-01,5.77
1993-01-01,5.27
1993-04-01,4.75
1993-07-01,4.31
1993-10-01,3.67
1994-01-01,3.35
1994-04-01,2.97
1994-07-01,2.73
1994-10-01,2.55
1995-01-01,2.56
1995-04-01,2.53
1995-07-01,2.45
1995-10-01,2.41
1996-01-01,2.31
1996-04-01,2.33
1996-07-01,2.31
1996-10-01,2.21
1997-01-01,2.20
1997-04-01,2.16
1997-07-01,2.11
1997-10-01,2.16
1998-01-01,2.15
1998-04-01,2.09
1998-07-01,2.09
1998-10-01,2.13
1999-01-01,2.14
1999-04-01,2.16
1999-07-01,2.25
1999-10-01,2.07
2000-01-01,2.10
2000-04-01,2.18
2000-07-01,2.24
2000-10-01,2.39
2001-01-01,2.49
2001-04-01,2.63
2001-07-01,2.83
2001-10-01,2.88
2002-01-01,2.92
2002-04-01,2.94
2002-07-01,2.86
2002-10-01,2.70
2003-01-01,2.65
2003-04-01,2.51
2003-07-01,2.30
2003-10-01,2.23
2004-01-01,2.02
2004-04-01,1.90
2004-07-01,1.78
2004-10-01,1.67
2005-01-01,1.63
2005-04-01,1.61
2005-07-01,1.60
2005-10-01,1.58
2006-01-01,1.53
2006-04-01,1.54
2006-07-01,1.60
2006-10-01,1.72
2007-01-01,1.75
2007-04-01,1.87
2007-07-01,2.15
2007-10-01,2.47
2008-01-01,2.85
2008-04-01,3.34
2008-07-01,3.78
2008-10-01,4.91
2009-01-01,5.91
2009-04-01,6.67
2009-07-01,7.36
2009-10-01,7.82
2010-01-01,7.94
2010-04-01,7.73
2010-07-01,7.33
2010-10-01,6.70
2011-01-01,6.52
2011-04-01,6.23
2011-07-01,5.95
2011-10-01,5.71
2012-01-01,5.57
2012-04-01,5.44
2012-07-01,5.34
2012-10-01,4.95
2013-01-01,4.70
2013-04-01,4.43
2013-07-01,4.02
2013-10-01,3.76
2014-01-01,3.53
2014-04-01,3.29
2014-07-01,3.10
2014-10-01,2.90
2015-01-01,2.66
2015-04-01,2.56
2015-07-01,2.44
2015-10-01,2.34
2016-01-01,2.32
2016-04-01,2.29
2016-07-01,2.20
2016-10-01,2.16
2017-01-01,2.06
2017-04-01,1.97
2017-07-01,1.94
2017-10-01,1.91
2018-01-01,1.82
2018-04-01,1.74
2018-07-01,1.67
2018-10-01,1.59
2019-01-01,1.61
2019-04-01,1.54
2019-07-01,1.51
2019-10-01,1.46
2020-01-01,1.50
2020-04-01,1.62
2020-07-01,1.68
2020-10-01,1.68
2021-01-01,1.57
2021-04-01,1.45
2021-07-01,1.36
2021-10-01,1.34
2022-01-01,1.31
2022-04-01,1.29
2022-07-01,1.26
2022-10-01,1.26
2023-01-01,1.29
2023-04-01,1.33
2023-07-01,1.41
2023-10-01,1.45
2024-01-01,1.51
2024-04-01,1.56
