DATE,DRBLOBS
1987-01-01,6.61
1987-04-01,6.32
1987-07-01,6.12
1987-10-01,5.94
1988-01-01,5.70
1988-04-01,5.56
1988-07-01,5.33
1988-10-01,5.25
1989-01-01,5.24
1989-04-01,5.21
1989-07-01,5.25
1989-10-01,5.31
1990-01-01,5.48
1990-04-01,5.57
1990-07-01,5.92
1990-10-01,6.66
1991-01-01,6.47
1991-04-01,6.60
1991-07-01,6.55
1991-10-01,6.31
1992-01-01,5.94
1992-04-01,5.57
1992-07-01,5.40
1992-10-01,5.09
1993-01-01,4.82
1993-04-01,4.68
1993-07-01,4.26
1993-10-01,3.91
1994-01-01,3.61
1994-04-01,3.34
1994-07-01,3.08
1994-10-01,2.95
1995-01-01,2.88
1995-04-01,2.81
1995-07-01,2.84
1995-10-01,2.86
1996-01-01,2.91
1996-04-01,3.10
1996-07-01,3.08
1996-10-01,3.15
1997-01-01,3.06
1997-04-01,3.06
1997-07-01,2.94
1997-10-01,2.94
1998-01-01,3.00
1998-04-01,2.96
1998-07-01,2.98
1998-10-01,3.00
1999-01-01,2.98
1999-04-01,2.94
1999-07-01,2.92
1999-10-01,2.76
2000-01-01,2.89
2000-04-01,2.90
2000-07-01,2.89
2000-10-01,3.08
2001-01-01,2.90
2001-04-01,3.11
2001-07-01,3.20
2001-10-01,3.17
2002-01-01,3.12
2002-04-01,3.08
2002-07-01,3.14
2002-10-01,3.13
2003-01-01,3.04
2003-04-01,2.94
2003-07-01,2.71
2003-10-01,2.56
2004-01-01,2.41
2004-04-01,2.31
2004-07-01,2.18
2004-10-01,2.08
2005-01-01,1.99
2005-04-01,2.00
2005-07-01,1.99
2005-10-01,1.89
2006-01-01,1.90
2006-04-01,1.83
2006-07-01,1.85
2006-10-01,1.81
2007-01-01,1.82
2007-04-01,1.85
2007-07-01,1.93
2007-10-01,2.08
2008-01-01,2.12
2008-04-01,2.23
2008-07-01,2.39
2008-10-01,2.80
2009-01-01,3.29
2009-04-01,3.55
2009-07-01,3.76
2009-10-01,3.76
2010-01-01,3.70
2010-04-01,3.60
2010-07-01,3.44
2010-10-01,3.40
2011-01-01,3.32
2011-04-01,3.24
2011-07-01,3.12
2011-10-01,2.89
2012-01-01,2.73
2012-04-01,2.61
2012-07-01,2.52
2012-10-01,2.41
2013-01-01,2.20
2013-04-01,2.13
2013-07-01,2.02
2013-10-01,1.91
2014-01-01,1.75
2014-04-01,1.72
2014-07-01,1.62
2014-10-01,1.53
2015-01-01,1.51
2015-04-01,1.54
2015-07-01,1.66
2015-10-01,1.76
2016-01-01,1.84
2016-04-01,1.95
2016-07-01,1.94
2016-10-01,2.03
2017-01-01,2.03
2017-04-01,1.81
2017-07-01,1.77
2017-10-01,1.55
2018-01-01,1.69
2018-04-01,1.71
2018-07-01,1.68
2018-10-01,1.55
2019-01-01,1.59
2019-04-01,1.64
2019-07-01,1.52
2019-10-01,1.44
2020-01-01,1.88
2020-04-01,1.14
2020-07-01,1.11
2020-10-01,1.05
2021-01-01,0.90
2021-04-01,1.04
2021-07-01,1.15
2021-10-01,1.34
2022-01-01,1.52
2022-04-01,1.51
2022-07-01,1.64
2022-10-01,1.60
2023-01-01,1.42
2023-04-01,1.41
2023-07-01,1.37
2023-10-01,1.40
2024-01-01,1.58
2024-04-01,1.68
