DATE,DRCLT100S
1987-01-01,3.82
1987-04-01,3.70
1987-07-01,3.81
1987-10-01,3.81
1988-01-01,3.82
1988-04-01,3.81
1988-07-01,3.83
1988-10-01,4.01
1989-01-01,4.13
1989-04-01,4.25
1989-07-01,4.21
1989-10-01,4.18
1990-01-01,4.32
1990-04-01,4.23
1990-07-01,4.57
1990-10-01,4.74
1991-01-01,4.82
1991-04-01,4.90
1991-07-01,4.97
1991-10-01,4.94
1992-01-01,4.89
1992-04-01,4.85
1992-07-01,4.66
1992-10-01,4.46
1993-01-01,4.35
1993-04-01,4.18
1993-07-01,3.92
1993-10-01,3.65
1994-01-01,3.47
1994-04-01,3.20
1994-07-01,3.13
1994-10-01,3.14
1995-01-01,3.24
1995-04-01,3.42
1995-07-01,3.58
1995-10-01,3.73
1996-01-01,3.76
1996-04-01,3.77
1996-07-01,3.84
1996-10-01,3.84
1997-01-01,3.91
1997-04-01,3.93
1997-07-01,3.86
1997-10-01,3.97
1998-01-01,3.93
1998-04-01,3.97
1998-07-01,3.96
1998-10-01,3.90
1999-01-01,4.07
1999-04-01,3.92
1999-07-01,3.84
1999-10-01,3.76
2000-01-01,3.71
2000-04-01,3.77
2000-07-01,3.77
2000-10-01,3.80
2001-01-01,3.76
2001-04-01,3.77
2001-07-01,3.80
2001-10-01,3.74
2002-01-01,3.71
2002-04-01,3.62
2002-07-01,3.59
2002-10-01,3.54
2003-01-01,3.47
2003-04-01,3.36
2003-07-01,3.18
2003-10-01,3.36
2004-01-01,3.19
2004-04-01,3.16
2004-07-01,3.11
2004-10-01,3.09
2005-01-01,3.01
2005-04-01,2.94
2005-07-01,2.87
2005-10-01,2.76
2006-01-01,2.87
2006-04-01,3.04
2006-07-01,3.08
2006-10-01,3.03
2007-01-01,3.01
2007-04-01,3.06
2007-07-01,3.26
2007-10-01,3.47
2008-01-01,3.55
2008-04-01,3.63
2008-07-01,3.80
2008-10-01,4.41
2009-01-01,4.87
2009-04-01,5.05
2009-07-01,4.90
2009-10-01,4.78
2010-01-01,4.86
2010-04-01,4.36
2010-07-01,4.08
2010-10-01,3.69
2011-01-01,3.47
2011-04-01,3.31
2011-07-01,3.16
2011-10-01,3.10
2012-01-01,2.97
2012-04-01,2.88
2012-07-01,2.81
2012-10-01,2.65
2013-01-01,2.57
2013-04-01,2.49
2013-07-01,2.41
2013-10-01,2.37
2014-01-01,2.31
2014-04-01,2.27
2014-07-01,2.19
2014-10-01,2.07
2015-01-01,2.00
2015-04-01,1.96
2015-07-01,1.98
2015-10-01,2.01
2016-01-01,1.99
2016-04-01,2.05
2016-07-01,2.08
2016-10-01,2.15
2017-01-01,2.17
2017-04-01,2.24
2017-07-01,2.28
2017-10-01,2.24
2018-01-01,2.28
2018-04-01,2.28
2018-07-01,2.31
2018-10-01,2.34
2019-01-01,2.35
2019-04-01,2.35
2019-07-01,2.35
2019-10-01,2.30
2020-01-01,2.45
2020-04-01,2.01
2020-07-01,1.80
2020-10-01,1.91
2021-01-01,1.69
2021-04-01,1.53
2021-07-01,1.51
2021-10-01,1.52
2022-01-01,1.63
2022-04-01,1.78
2022-07-01,1.88
2022-10-01,2.03
2023-01-01,2.2
2023-04-01,2.36
2023-07-01,2.49
2023-10-01,2.58
2024-01-01,2.65
2024-04-01,2.72
