DATE,DRSREACBS
1987-01-01,4.98
1987-04-01,4.78
1987-07-01,4.67
1987-10-01,4.81
1988-01-01,4.78
1988-04-01,4.83
1988-07-01,4.80
1988-10-01,4.44
1989-01-01,4.71
1989-04-01,4.76
1989-07-01,4.99
1989-10-01,5.07
1990-01-01,5.37
1990-04-01,5.66
1990-07-01,6.05
1990-10-01,7.06
1991-01-01,7.34
1991-04-01,7.37
1991-07-01,7.18
1991-10-01,7.08
1992-01-01,6.62
1992-04-01,6.54
1992-07-01,6.24
1992-10-01,5.77
1993-01-01,5.52
1993-04-01,5.13
1993-07-01,4.70
1993-10-01,4.26
1994-01-01,3.92
1994-04-01,3.62
1994-07-01,3.32
1994-10-01,3.02
1995-01-01,3.03
1995-04-01,2.94
1995-07-01,2.89
1995-10-01,2.72
1996-01-01,2.67
1996-04-01,2.67
1996-07-01,2.59
1996-10-01,2.58
1997-01-01,2.44
1997-04-01,2.35
1997-07-01,2.28
1997-10-01,2.24
1998-01-01,2.22
1998-04-01,2.13
1998-07-01,2.09
1998-10-01,2.06
1999-01-01,1.99
1999-04-01,1.92
1999-07-01,1.95
1999-10-01,1.82
2000-01-01,1.80
2000-04-01,1.80
2000-07-01,1.89
2000-10-01,1.97
2001-01-01,2.05
2001-04-01,2.16
2001-07-01,2.15
2001-10-01,2.17
2002-01-01,2.10
2002-04-01,2.04
2002-07-01,1.97
2002-10-01,1.88
2003-01-01,1.90
2003-04-01,1.79
2003-07-01,1.68
2003-10-01,1.65
2004-01-01,1.52
2004-04-01,1.49
2004-07-01,1.42
2004-10-01,1.32
2005-01-01,1.33
2005-04-01,1.37
2005-07-01,1.40
2005-10-01,1.42
2006-01-01,1.36
2006-04-01,1.37
2006-07-01,1.50
2006-10-01,1.69
2007-01-01,1.79
2007-04-01,2.00
2007-07-01,2.38
2007-10-01,2.89
2008-01-01,3.53
2008-04-01,4.18
2008-07-01,4.91
2008-10-01,5.98
2009-01-01,7.29
2009-04-01,8.12
2009-07-01,8.88
2009-10-01,9.46
2010-01-01,10.20
2010-04-01,9.92
2010-07-01,9.59
2010-10-01,9.21
2011-01-01,9.03
2011-04-01,8.95
2011-07-01,8.81
2011-10-01,8.54
2012-01-01,8.20
2012-04-01,8.12
2012-07-01,8.06
2012-10-01,7.52
2013-01-01,7.22
2013-04-01,6.74
2013-07-01,6.10
2013-10-01,5.76
2014-01-01,5.32
2014-04-01,5.00
2014-07-01,4.69
2014-10-01,4.29
2015-01-01,4.04
2015-04-01,3.74
2015-07-01,3.43
2015-10-01,3.22
2016-01-01,3.00
2016-04-01,2.87
2016-07-01,2.72
2016-10-01,2.62
2017-01-01,2.40
2017-04-01,2.29
2017-07-01,2.28
2017-10-01,2.25
2018-01-01,2.16
2018-04-01,2.02
2018-07-01,1.90
2018-10-01,1.81
2019-01-01,1.75
2019-04-01,1.68
2019-07-01,1.58
2019-10-01,1.54
2020-01-01,1.62
2020-04-01,1.76
2020-07-01,1.91
2020-10-01,1.92
2021-01-01,1.85
2021-04-01,1.69
2021-07-01,1.54
2021-10-01,1.51
2022-01-01,1.41
2022-04-01,1.33
2022-07-01,1.2
2022-10-01,1.21
2023-01-01,1.24
2023-04-01,1.27
2023-07-01,1.36
2023-10-01,1.40
2024-01-01,1.46
2024-04-01,1.57
