DATE,DRSREOBS
1987-01-01,4.61
1987-04-01,4.52
1987-07-01,4.38
1987-10-01,4.37
1988-01-01,4.40
1988-04-01,4.29
1988-07-01,3.96
1988-10-01,3.98
1989-01-01,4.01
1989-04-01,4.14
1989-07-01,4.33
1989-10-01,4.29
1990-01-01,4.39
1990-04-01,4.38
1990-07-01,4.77
1990-10-01,5.20
1991-01-01,5.33
1991-04-01,5.45
1991-07-01,5.27
1991-10-01,5.15
1992-01-01,4.82
1992-04-01,4.58
1992-07-01,4.37
1992-10-01,3.94
1993-01-01,3.75
1993-04-01,3.70
1993-07-01,3.51
1993-10-01,3.17
1994-01-01,3.07
1994-04-01,2.79
1994-07-01,2.56
1994-10-01,2.44
1995-01-01,2.43
1995-04-01,2.38
1995-07-01,2.41
1995-10-01,2.41
1996-01-01,2.36
1996-04-01,2.35
1996-07-01,2.24
1996-10-01,2.31
1997-01-01,2.22
1997-04-01,2.17
1997-07-01,2.08
1997-10-01,2.07
1998-01-01,1.99
1998-04-01,1.97
1998-07-01,1.94
1998-10-01,1.91
1999-01-01,1.83
1999-04-01,1.72
1999-07-01,1.63
1999-10-01,1.54
2000-01-01,1.53
2000-04-01,1.56
2000-07-01,1.63
2000-10-01,1.70
2001-01-01,1.79
2001-04-01,1.91
2001-07-01,1.96
2001-10-01,2.00
2002-01-01,1.85
2002-04-01,1.84
2002-07-01,1.82
2002-10-01,1.83
2003-01-01,1.85
2003-04-01,1.79
2003-07-01,1.70
2003-10-01,1.63
2004-01-01,1.50
2004-04-01,1.44
2004-07-01,1.36
2004-10-01,1.29
2005-01-01,1.30
2005-04-01,1.25
2005-07-01,1.25
2005-10-01,1.24
2006-01-01,1.24
2006-04-01,1.26
2006-07-01,1.40
2006-10-01,1.49
2007-01-01,1.60
2007-04-01,1.80
2007-07-01,2.12
2007-10-01,2.64
2008-01-01,3.17
2008-04-01,3.66
2008-07-01,4.00
2008-10-01,4.74
2009-01-01,5.44
2009-04-01,6.21
2009-07-01,6.37
2009-10-01,6.29
2010-01-01,6.30
2010-04-01,6.10
2010-07-01,6.07
2010-10-01,5.94
2011-01-01,5.77
2011-04-01,5.73
2011-07-01,5.44
2011-10-01,5.15
2012-01-01,4.75
2012-04-01,4.48
2012-07-01,4.32
2012-10-01,3.91
2013-01-01,3.62
2013-04-01,3.34
2013-07-01,3.06
2013-10-01,2.81
2014-01-01,2.62
2014-04-01,2.42
2014-07-01,2.24
2014-10-01,2.05
2015-01-01,1.90
2015-04-01,1.75
2015-07-01,1.64
2015-10-01,1.60
2016-01-01,1.51
2016-04-01,1.46
2016-07-01,1.41
2016-10-01,1.35
2017-01-01,1.28
2017-04-01,1.23
2017-07-01,1.23
2017-10-01,1.18
2018-01-01,1.18
2018-04-01,1.15
2018-07-01,1.16
2018-10-01,1.14
2019-01-01,1.13
2019-04-01,1.16
2019-07-01,1.14
2019-10-01,1.14
2020-01-01,1.35
2020-04-01,1.28
2020-07-01,1.22
2020-10-01,1.20
2021-01-01,1.12
2021-04-01,1.02
2021-07-01,0.92
2021-10-01,0.81
2022-01-01,0.77
2022-04-01,0.73
2022-07-01,0.67
2022-10-01,0.66
2023-01-01,0.67
2023-04-01,0.72
2023-07-01,0.81
2023-10-01,0.87
2024-01-01,0.92
2024-04-01,1.01
