DATE,DRSRET100S
1987-01-01,5.50
1987-04-01,5.23
1987-07-01,5.16
1987-10-01,5.37
1988-01-01,5.45
1988-04-01,5.68
1988-07-01,5.92
1988-10-01,4.92
1989-01-01,5.79
1989-04-01,5.68
1989-07-01,5.79
1989-10-01,6.02
1990-01-01,6.66
1990-04-01,7.35
1990-07-01,7.73
1990-10-01,9.27
1991-01-01,9.83
1991-04-01,9.88
1991-07-01,9.67
1991-10-01,9.49
1992-01-01,9.07
1992-04-01,9.11
1992-07-01,8.70
1992-10-01,8.13
1993-01-01,7.77
1993-04-01,6.96
1993-07-01,6.24
1993-10-01,5.58
1994-01-01,5.04
1994-04-01,4.64
1994-07-01,4.20
1994-10-01,3.7
1995-01-01,3.79
1995-04-01,3.60
1995-07-01,3.40
1995-10-01,3.09
1996-01-01,3.06
1996-04-01,3.02
1996-07-01,2.96
1996-10-01,2.85
1997-01-01,2.66
1997-04-01,2.52
1997-07-01,2.44
1997-10-01,2.40
1998-01-01,2.37
1998-04-01,2.27
1998-07-01,2.21
1998-10-01,2.19
1999-01-01,2.09
1999-04-01,2.09
1999-07-01,2.19
1999-10-01,2.01
2000-01-01,1.99
2000-04-01,1.97
2000-07-01,2.03
2000-10-01,2.14
2001-01-01,2.22
2001-04-01,2.32
2001-07-01,2.28
2001-10-01,2.28
2002-01-01,2.24
2002-04-01,2.15
2002-07-01,2.07
2002-10-01,1.93
2003-01-01,1.91
2003-04-01,1.80
2003-07-01,1.68
2003-10-01,1.68
2004-01-01,1.54
2004-04-01,1.50
2004-07-01,1.45
2004-10-01,1.33
2005-01-01,1.34
2005-04-01,1.42
2005-07-01,1.46
2005-10-01,1.49
2006-01-01,1.43
2006-04-01,1.43
2006-07-01,1.54
2006-10-01,1.77
2007-01-01,1.88
2007-04-01,2.09
2007-07-01,2.50
2007-10-01,3.01
2008-01-01,3.69
2008-04-01,4.41
2008-07-01,5.31
2008-10-01,6.52
2009-01-01,8.03
2009-04-01,8.91
2009-07-01,9.93
2009-10-01,10.74
2010-01-01,11.71
2010-04-01,11.39
2010-07-01,10.93
2010-10-01,10.48
2011-01-01,10.28
2011-04-01,10.18
2011-07-01,10.01
2011-10-01,9.76
2012-01-01,9.53
2012-04-01,9.49
2012-07-01,9.41
2012-10-01,8.91
2013-01-01,8.57
2013-04-01,8.01
2013-07-01,7.24
2013-10-01,6.94
2014-01-01,6.37
2014-04-01,6.00
2014-07-01,5.69
2014-10-01,5.21
2015-01-01,4.92
2015-04-01,4.56
2015-07-01,4.18
2015-10-01,3.88
2016-01-01,3.63
2016-04-01,3.45
2016-07-01,3.26
2016-10-01,3.11
2017-01-01,2.89
2017-04-01,2.74
2017-07-01,2.72
2017-10-01,2.67
2018-01-01,2.57
2018-04-01,2.39
2018-07-01,2.22
2018-10-01,2.09
2019-01-01,2.02
2019-04-01,1.91
2019-07-01,1.77
2019-10-01,1.70
2020-01-01,1.75
2020-04-01,1.96
2020-07-01,2.21
2020-10-01,2.23
2021-01-01,2.17
2021-04-01,2.00
2021-07-01,1.83
2021-10-01,1.81
2022-01-01,1.69
2022-04-01,1.59
2022-07-01,1.45
2022-10-01,1.46
2023-01-01,1.5
2023-04-01,1.53
2023-07-01,1.62
2023-10-01,1.65
2024-01-01,1.72
2024-04-01,1.85
