DATE,DRFAPGOBS
1987-01-01,7.86
1987-04-01,7.37
1987-07-01,6.68
1987-10-01,6.00
1988-01-01,4.95
1988-04-01,4.80
1988-07-01,4.54
1988-10-01,4.20
1989-01-01,3.84
1989-04-01,3.78
1989-07-01,3.60
1989-10-01,3.45
1990-01-01,3.41
1990-04-01,3.10
1990-07-01,3.04
1990-10-01,3.10
1991-01-01,2.98
1991-04-01,3.03
1991-07-01,3.15
1991-10-01,3.20
1992-01-01,3.24
1992-04-01,3.21
1992-07-01,3.07
1992-10-01,2.97
1993-01-01,2.85
1993-04-01,2.68
1993-07-01,2.60
1993-10-01,2.45
1994-01-01,2.46
1994-04-01,2.30
1994-07-01,2.31
1994-10-01,2.35
1995-01-01,2.34
1995-04-01,2.39
1995-07-01,2.45
1995-10-01,2.69
1996-01-01,2.95
1996-04-01,3.11
1996-07-01,2.97
1996-10-01,3.02
1997-01-01,2.81
1997-04-01,2.61
1997-07-01,2.47
1997-10-01,2.44
1998-01-01,2.59
1998-04-01,2.77
1998-07-01,2.86
1998-10-01,3.07
1999-01-01,3.17
1999-04-01,3.01
1999-07-01,2.82
1999-10-01,2.54
2000-01-01,2.37
2000-04-01,2.27
2000-07-01,2.21
2000-10-01,2.20
2001-01-01,1.92
2001-04-01,1.82
2001-07-01,1.86
2001-10-01,1.88
2002-01-01,1.96
2002-04-01,2.05
2002-07-01,2.05
2002-10-01,2.08
2003-01-01,2.20
2003-04-01,2.26
2003-07-01,2.11
2003-10-01,1.88
2004-01-01,1.64
2004-04-01,1.51
2004-07-01,1.46
2004-10-01,1.33
2005-01-01,1.27
2005-04-01,1.18
2005-07-01,1.11
2005-10-01,1.09
2006-01-01,1.08
2006-04-01,1.07
2006-07-01,1.08
2006-10-01,1.07
2007-01-01,1.11
2007-04-01,1.17
2007-07-01,1.11
2007-10-01,1.09
2008-01-01,1.04
2008-04-01,0.97
2008-07-01,0.97
2008-10-01,1.20
2009-01-01,1.45
2009-04-01,1.20
2009-07-01,1.31
2009-10-01,1.35
2010-01-01,1.34
2010-04-01,1.36
2010-07-01,1.26
2010-10-01,1.04
2011-01-01,0.93
2011-04-01,0.89
2011-07-01,0.86
2011-10-01,0.77
2012-01-01,0.65
2012-04-01,0.69
2012-07-01,0.70
2012-10-01,0.68
2013-01-01,0.66
2013-04-01,0.66
2013-07-01,0.68
2013-10-01,0.68
2014-01-01,0.67
2014-04-01,0.66
2014-07-01,0.64
2014-10-01,0.47
2015-01-01,0.67
2015-04-01,0.65
2015-07-01,0.66
2015-10-01,0.75
2016-01-01,0.92
2016-04-01,0.93
2016-07-01,1.00
2016-10-01,1.06
2017-01-01,1.13
2017-04-01,1.12
2017-07-01,1.15
2017-10-01,1.16
2018-01-01,1.27
2018-04-01,1.31
2018-07-01,1.36
2018-10-01,1.46
2019-01-01,1.47
2019-04-01,1.64
2019-07-01,1.57
2019-10-01,2.05
2020-01-01,1.92
2020-04-01,1.97
2020-07-01,1.96
2020-10-01,1.59
2021-01-01,1.44
2021-04-01,1.28
2021-07-01,1.15
2021-10-01,1.08
2022-01-01,0.91
2022-04-01,0.75
2022-07-01,0.65
2022-10-01,0.61
2023-01-01,0.61
2023-04-01,0.68
2023-07-01,0.7
2023-10-01,0.63
2024-01-01,0.74
2024-04-01,0.68
