DATE,DRSFRMT100S
1991-01-01,2.91
1991-04-01,3.06
1991-07-01,3.13
1991-10-01,3.27
1992-01-01,3.23
1992-04-01,3.21
1992-07-01,3.07
1992-10-01,2.99
1993-01-01,3.01
1993-04-01,2.89
1993-07-01,2.84
1993-10-01,2.60
1994-01-01,2.58
1994-04-01,2.41
1994-07-01,2.30
1994-10-01,2.11
1995-01-01,2.16
1995-04-01,2.19
1995-07-01,2.16
1995-10-01,2.19
1996-01-01,2.20
1996-04-01,2.30
1996-07-01,2.32
1996-10-01,2.34
1997-01-01,2.31
1997-04-01,2.36
1997-07-01,2.36
1997-10-01,2.26
1998-01-01,2.29
1998-04-01,2.20
1998-07-01,2.17
1998-10-01,2.07
1999-01-01,1.90
1999-04-01,1.91
1999-07-01,2.38
1999-10-01,2.12
2000-01-01,2.11
2000-04-01,2.14
2000-07-01,2.24
2000-10-01,2.41
2001-01-01,2.51
2001-04-01,2.60
2001-07-01,2.26
2001-10-01,2.32
2002-01-01,2.36
2002-04-01,2.26
2002-07-01,2.18
2002-10-01,2.01
2003-01-01,1.96
2003-04-01,1.81
2003-07-01,1.70
2003-10-01,1.75
2004-01-01,1.62
2004-04-01,1.59
2004-07-01,1.56
2004-10-01,1.38
2005-01-01,1.39
2005-04-01,1.55
2005-07-01,1.60
2005-10-01,1.66
2006-01-01,1.63
2006-04-01,1.63
2006-07-01,1.77
2006-10-01,1.97
2007-01-01,2.14
2007-04-01,2.36
2007-07-01,2.83
2007-10-01,3.25
2008-01-01,3.90
2008-04-01,4.69
2008-07-01,5.76
2008-10-01,7.24
2009-01-01,8.91
2009-04-01,9.49
2009-07-01,10.51
2009-10-01,11.60
2010-01-01,12.80
2010-04-01,12.34
2010-07-01,11.95
2010-10-01,11.42
2011-01-01,11.53
2011-04-01,11.71
2011-07-01,11.63
2011-10-01,11.37
2012-01-01,11.57
2012-04-01,11.71
2012-07-01,11.75
2012-10-01,11.27
2013-01-01,10.92
2013-04-01,10.45
2013-07-01,9.72
2013-10-01,9.40
2014-01-01,8.74
2014-04-01,8.40
2014-07-01,8.04
2014-10-01,7.39
2015-01-01,7.13
2015-04-01,6.65
2015-07-01,6.14
2015-10-01,5.81
2016-01-01,5.42
2016-04-01,5.19
2016-07-01,4.93
2016-10-01,4.66
2017-01-01,4.40
2017-04-01,4.14
2017-07-01,4.09
2017-10-01,4.00
2018-01-01,3.92
2018-04-01,3.61
2018-07-01,3.31
2018-10-01,3.14
2019-01-01,2.98
2019-04-01,2.84
2019-07-01,2.65
2019-10-01,2.52
2020-01-01,2.50
2020-04-01,2.75
2020-07-01,3.12
2020-10-01,3.02
2021-01-01,2.95
2021-04-01,2.74
2021-07-01,2.54
2021-10-01,2.53
2022-01-01,2.30
2022-04-01,2.15
2022-07-01,2.01
2022-10-01,1.97
2023-01-01,1.92
2023-04-01,1.90
2023-07-01,1.88
2023-10-01,1.85
2024-01-01,1.87
2024-04-01,1.88
