DATE,HBATGDQ188S
1981-01-01,6.10891
1981-04-01,6.32149
1981-07-01,6.38089
1981-10-01,6.19419
1982-01-01,6.18181
1982-04-01,6.35401
1982-07-01,6.42850
1982-10-01,6.15287
1983-01-01,5.79128
1983-04-01,6.40681
1983-07-01,6.47903
1983-10-01,6.22649
1984-01-01,6.13715
1984-04-01,6.42450
1984-07-01,6.44143
1984-10-01,6.98075
1985-01-01,6.98551
1985-04-01,7.31465
1985-07-01,7.21590
1985-10-01,7.84995
1986-01-01,7.82088
1986-04-01,8.23723
1986-07-01,8.30917
1986-10-01,8.65443
1987-01-01,8.62854
1987-04-01,9.11634
1987-07-01,9.35944
1987-10-01,9.53775
1988-01-01,9.67483
1988-04-01,10.29361
1988-07-01,10.41956
1988-10-01,10.91234
1989-01-01,11.02252
1989-04-01,11.72036
1989-07-01,11.88168
1989-10-01,12.31588
1990-01-01,12.30599
1990-04-01,13.00299
1990-07-01,13.22937
1990-10-01,13.79370
1991-01-01,14.36309
1991-04-01,14.60984
1991-07-01,14.81763
1991-10-01,15.46265
1992-01-01,15.14447
1992-04-01,15.57594
1992-07-01,15.47717
1992-10-01,15.68226
1993-01-01,15.49937
1993-04-01,16.15031
1993-07-01,16.22605
1993-10-01,16.44615
1994-01-01,16.04436
1994-04-01,16.59922
1994-07-01,16.54734
1994-10-01,16.86094
1995-01-01,16.67919
1995-04-01,17.36663
1995-07-01,17.19071
1995-10-01,16.78278
1996-01-01,17.20496
1996-04-01,17.70785
1996-07-01,17.79523
1996-10-01,18.12614
1997-01-01,18.01801
1997-04-01,18.44835
1997-07-01,18.43239
1997-10-01,18.88774
1998-01-01,18.83925
1998-04-01,19.59437
1998-07-01,19.33824
1998-10-01,19.65599
1999-01-01,19.7315
1999-04-01,20.50777
1999-07-01,20.5301
1999-10-01,20.81338
2000-01-01,20.84964
2000-04-01,21.3728
2000-07-01,21.66773
2000-10-01,21.54782
2001-01-01,22.34291
2001-04-01,23.14029
2001-07-01,23.29451
2001-10-01,23.91716
2002-01-01,23.76184
2002-04-01,24.45864
2002-07-01,24.35942
2002-10-01,24.93639
2003-01-01,24.61039
2003-04-01,25.22674
2003-07-01,24.71995
2003-10-01,25.09218
2004-01-01,24.77808
2004-04-01,25.22618
2004-07-01,24.9948
2004-10-01,25.46289
2005-01-01,25.09964
2005-04-01,25.60515
2005-07-01,25.34751
2005-10-01,25.9363
2006-01-01,25.72477
2006-04-01,26.33956
2006-07-01,26.41468
2006-10-01,26.91691
2007-01-01,26.69865
2007-04-01,27.25053
2007-07-01,27.1792
2007-10-01,27.81426
2008-01-01,27.90287
2008-04-01,28.29992
2008-07-01,28.26019
2008-10-01,29.62139
2009-01-01,29.73205
2009-04-01,30.37855
2009-07-01,30.14275
2009-10-01,30.69356
2010-01-01,30.33519
2010-04-01,30.45736
2010-07-01,29.94405
2010-10-01,30.24143
2011-01-01,30.05281
2011-04-01,29.54328
2011-07-01,29.76995
2011-10-01,30.11214
2012-01-01,29.43665
2012-04-01,29.6587
2012-07-01,29.36265
2012-10-01,29.5131
2013-01-01,29.12587
2013-04-01,28.88303
2013-07-01,28.05979
2013-10-01,29.06454
2014-01-01,28.96912
2014-04-01,28.88708
2014-07-01,28.30374
2014-10-01,28.57081
2015-01-01,28.02261
2015-04-01,27.77364
2015-07-01,27.31749
2015-10-01,28.32803
2016-01-01,28.79843
2016-04-01,29.0956
2016-07-01,28.55977
2016-10-01,29.00828
2017-01-01,28.38143
2017-04-01,28.15863
2017-07-01,28.24957
2017-10-01,28.29573
2018-01-01,27.80749
2018-04-01,27.75155
2018-07-01,27.58463
2018-10-01,27.98256
2019-01-01,27.49213
2019-04-01,27.19217
2019-07-01,27.13716
2019-10-01,27.41954
2020-01-01,27.59172
2020-04-01,29.74033
2020-07-01,27.24411
2020-10-01,27.62448
2021-01-01,27.03696
2021-04-01,26.42792
2021-07-01,25.59586
2021-10-01,26.02767
2022-01-01,25.7686
2022-04-01,25.71167
2022-07-01,25.15493
2022-10-01,25.73643
2023-01-01,24.82522
2023-04-01,24.95172
2023-07-01,24.37753
2023-10-01,24.88347
2024-01-01,24.64049
2024-04-01,24.80476
