DATE,FDHBATN
1981-01-01,190855
1981-04-01,199919
1981-07-01,208056
1981-10-01,203220
1982-01-01,202411
1982-04-01,211714
1982-07-01,216404
1982-10-01,209355
1983-01-01,201155
1983-04-01,229290
1983-07-01,239023
1983-10-01,236277
1984-01-01,239843
1984-04-01,257597
1984-07-01,263084
1984-10-01,289600
1985-01-01,295499
1985-04-01,314156
1985-07-01,316545
1985-10-01,348859
1986-01-01,352557
1986-04-01,374410
1986-07-01,382859
1986-10-01,403091
1987-01-01,407453
1987-04-01,438146
1987-07-01,457167
1987-10-01,477650
1988-01-01,490840
1988-04-01,534242
1988-07-01,550448
1988-10-01,589213
1989-01-01,607479
1989-04-01,657801
1989-07-01,676705
1989-10-01,707823
1990-01-01,722694
1990-04-01,774982
1990-07-01,795762
1990-10-01,828275
1991-01-01,866838
1991-04-01,895125
1991-07-01,919573
1991-10-01,968664
1992-01-01,963658
1992-04-01,1007882
1992-07-01,1016330
1992-10-01,1047701
1993-01-01,1043024
1993-04-01,1099665
1993-07-01,1116693
1993-10-01,1153490
1994-01-01,1141661
1994-04-01,1202934
1994-07-01,1213098
1994-10-01,1257032
1995-01-01,1254657
1995-04-01,1316564
1995-07-01,1320784
1995-10-01,1304456
1996-01-01,1353767
1996-04-01,1422443
1996-07-01,1447003
1996-10-01,1497178
1997-01-01,1506784
1997-04-01,1571583
1997-07-01,1596765
1997-10-01,1655682
1998-01-01,1670378
1998-04-01,1757556
1998-07-01,1763860
1998-10-01,1826826
1999-01-01,1857066
1999-04-01,1953613
1999-07-01,1988674
1999-10-01,2060560
2000-01-01,2085418
2000-04-01,2190225
2000-07-01,2235712
2000-10-01,2248675
2001-01-01,2339354
2001-04-01,2452639
2001-07-01,2468757
2001-10-01,2549681
2002-01-01,2562358
2002-04-01,2662925
2002-07-01,2675648
2002-10-01,2758322
2003-01-01,2749997
2003-04-01,2853842
2003-07-01,2859275
2003-10-01,2953910
2004-01-01,2954401
2004-04-01,3055601
2004-07-01,3075687
2004-10-01,3189791
2005-01-01,3204543
2005-04-01,3308866
2005-07-01,3331332
2005-10-01,3455806
2006-01-01,3498352
2006-04-01,3622592
2006-07-01,3663766
2006-10-01,3779016
2007-01-01,3795387
2007-04-01,3924644
2007-07-01,3958411
2007-10-01,4092884
2008-01-01,4103546
2008-04-01,4206981
2008-07-01,4210485
2008-10-01,4327154
2009-01-01,4290603
2009-04-01,4368811
2009-07-01,4355291
2009-10-01,4496990
2010-01-01,4478872
2010-04-01,4562572
2010-07-01,4534011
2010-10-01,4629804
2011-01-01,4613541
2011-04-01,4596208
2011-07-01,4658307
2011-10-01,4770443
2012-01-01,4730118
2012-04-01,4806820
2012-07-01,4791850
2012-10-01,4846174
2013-01-01,4848930
2013-04-01,4831752
2013-07-01,4757211
2013-10-01,4996782
2014-01-01,4982034
2014-04-01,5060585
2014-07-01,5039262
2014-10-01,5117626
2015-01-01,5061873
2015-04-01,5076962
2015-07-01,5026862
2015-10-01,5222311
2016-01-01,5335177
2016-04-01,5444282
2016-07-01,5395695
2016-10-01,5537501
2017-01-01,5471963
2017-04-01,5473656
2017-07-01,5563073
2017-10-01,5669641
2018-01-01,5652861
2018-04-01,5711522.0
2018-07-01,5737252.0
2018-10-01,5853354.0
2019-01-01,5804029.0
2019-04-01,5818564.0
2019-07-01,5893424.0
2019-10-01,6013988.0
2020-01-01,5995035.0
2020-04-01,5928866.0
2020-07-01,5907764.0
2020-10-01,6096382.0
2021-01-01,6125707.0
2021-04-01,6175904.0
2021-07-01,6123040.0
2021-10-01,6448886.0
2022-01-01,6497680.0
2022-04-01,6635101.0
2022-07-01,6608706.0
2022-10-01,6880448.0
2023-01-01,6743612.0
2023-04-01,6850199.0
2023-07-01,6817835.0
2023-10-01,7041267.0
2024-01-01,7053111.0
2024-04-01,7197526.0
