DATE,HBFIGDQ188S
1970-01-01,1.17960
1970-04-01,1.31163
1970-07-01,1.52846
1970-10-01,1.80965
1971-01-01,2.16710
1971-04-01,2.75022
1971-07-01,3.52389
1971-10-01,3.86458
1972-01-01,3.98177
1972-04-01,3.88512
1972-07-01,4.22295
1972-10-01,4.09360
1973-01-01,4.51546
1973-04-01,4.20118
1973-07-01,4.02416
1973-10-01,3.70524
1974-01-01,3.62793
1974-04-01,3.71228
1974-07-01,3.58968
1974-10-01,3.67574
1975-01-01,4.02199
1975-04-01,3.99551
1975-07-01,3.83081
1975-10-01,3.77448
1976-01-01,3.74076
1976-04-01,3.76822
1976-07-01,3.95429
1976-10-01,4.03769
1977-01-01,4.25918
1977-04-01,4.27548
1977-07-01,4.50796
1977-10-01,5.06406
1978-01-01,5.65200
1978-04-01,5.12516
1978-07-01,5.04790
1978-10-01,5.37355
1979-01-01,5.25605
1979-04-01,4.61168
1979-07-01,4.65593
1979-10-01,4.36876
1980-01-01,4.48054
1980-04-01,4.22542
1980-07-01,4.36551
1980-10-01,4.34425
1981-01-01,4.42352
1981-04-01,4.31932
1981-07-01,4.00845
1981-10-01,4.16360
1982-01-01,4.15661
1982-04-01,4.11768
1982-07-01,4.17667
1982-10-01,4.39375
1983-01-01,4.49702
1983-04-01,4.47351
1983-07-01,4.33972
1983-10-01,4.38242
1984-01-01,4.25531
1984-04-01,4.27973
1984-07-01,4.29944
1984-10-01,4.64982
1985-01-01,4.71849
1985-04-01,4.97801
1985-07-01,5.08118
1985-10-01,5.05840
1986-01-01,5.15984
1986-04-01,5.51994
1986-07-01,5.76213
1986-10-01,5.65524
1987-01-01,5.77702
1987-04-01,5.84874
1987-07-01,5.72212
1987-10-01,5.98443
1988-01-01,6.55383
1988-04-01,6.65506
1988-07-01,6.54762
1988-10-01,6.70802
1989-01-01,6.77704
1989-04-01,6.52833
1989-07-01,6.87928
1989-10-01,7.41400
1990-01-01,7.58424
1990-04-01,7.56708
1990-07-01,7.71057
1990-10-01,8.11193
1991-01-01,8.15220
1991-04-01,8.19343
1991-07-01,8.15832
1991-10-01,8.31506
1992-01-01,8.42985
1992-04-01,8.62649
1992-07-01,8.57059
1992-10-01,8.63220
1993-01-01,8.70649
1993-04-01,8.76495
1993-07-01,8.99580
1993-10-01,9.27180
1994-01-01,9.29079
1994-04-01,9.10592
1994-07-01,9.30286
1994-10-01,8.95069
1995-01-01,9.39873
1995-04-01,10.05804
1995-07-01,10.67795
1995-10-01,10.74546
1996-01-01,11.54100
1996-04-01,11.57374
1996-07-01,12.21683
1996-10-01,13.34298
1997-01-01,13.84249
1997-04-01,13.88337
1997-07-01,14.20438
1997-10-01,14.16397
1998-01-01,14.10368
1998-04-01,14.00270
1998-07-01,13.42163
1998-10-01,13.75835
1999-01-01,13.51831
1999-04-01,13.21407
1999-07-01,13.22855
1999-10-01,12.81493
2000-01-01,10.84764
2000-04-01,10.3506
2000-07-01,10.06768
2000-10-01,9.7281
2001-01-01,9.67027
2001-04-01,9.27729
2001-07-01,9.36213
2001-10-01,9.75661
2002-01-01,9.80387
2002-04-01,10.31554
2002-07-01,10.82116
2002-10-01,11.17034
2003-01-01,11.41208
2003-04-01,12.12701
2003-07-01,12.4781
2003-10-01,12.93807
2004-01-01,14.00602
2004-04-01,14.32698
2004-07-01,14.58314
2004-10-01,14.76226
2005-01-01,15.28908
2005-04-01,14.53262
2005-07-01,14.68502
2005-10-01,15.26545
2006-01-01,15.3105
2006-04-01,14.38042
2006-07-01,14.60182
2006-10-01,14.97981
2007-01-01,15.43932
2007-04-01,15.22002
2007-07-01,15.348
2007-10-01,15.99178
2008-01-01,17.04208
2008-04-01,17.40517
2008-07-01,18.80932
2008-10-01,21.06487
2009-01-01,22.62991
2009-04-01,24.06469
2009-07-01,24.71195
2009-10-01,25.15212
2010-01-01,26.26483
2010-04-01,27.16921
2010-07-01,28.5584
2010-10-01,28.97291
2011-01-01,29.19203
2011-04-01,30.15001
2011-07-01,31.39187
2011-10-01,31.60471
2012-01-01,32.01918
2012-04-01,32.76894
2012-07-01,33.55548
2012-10-01,33.94432
2013-01-01,34.38812
2013-04-01,33.44554
2013-07-01,33.3423
2013-10-01,33.69354
2014-01-01,34.58769
2014-04-01,34.35624
2014-07-01,34.08853
2014-10-01,34.37736
2015-01-01,34.17162
2015-04-01,33.71539
2015-07-01,33.18131
2015-10-01,33.33959
2016-01-01,33.92218
2016-04-01,33.55708
2016-07-01,32.58359
2016-10-01,31.46409
2017-01-01,31.51075
2017-04-01,31.64779
2017-07-01,32.00137
2017-10-01,30.99902
2018-01-01,30.61408
2018-04-01,30.24647
2018-07-01,29.93404
2018-10-01,29.97485
2019-01-01,30.66561
2019-04-01,30.96513
2019-07-01,31.8803
2019-10-01,31.20472
2020-01-01,31.98458
2020-04-01,35.37468
2020-07-01,32.60017
2020-10-01,32.0394
2021-01-01,31.06486
2021-04-01,32.17487
2021-07-01,31.64829
2021-10-01,31.24022
2022-01-01,30.15686
2022-04-01,28.74122
2022-07-01,27.60162
2022-10-01,26.92349
2023-01-01,27.50442
2023-04-01,27.53351
2023-07-01,26.87064
2023-10-01,28.07509
2024-01-01,28.34957
2024-04-01,28.29542
