DATE,BOGZ1FL010000386Q
1946-10-01,-1.819925613
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,21.1707359364
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,11.2721353517
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,-0.3400869035
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,1.2125193365
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,11.606886378
1952-01-01,.
1952-04-01,.
1952-07-01,.
1952-10-01,2.5838818063
1953-01-01,-0.0624574025
1953-04-01,1.6917269862
1953-07-01,3.3291446431
1953-10-01,2.8822046509
1954-01-01,1.1874965226
1954-04-01,-1.2322838554
1954-07-01,-2.5531901396
1954-10-01,-2.2533511161
1955-01-01,-0.617664209
1955-04-01,1.2476585503
1955-07-01,2.6200859148
1955-10-01,4.7975102158
1956-01-01,9.1982612637
1956-04-01,7.8866332367
1956-07-01,9.3009103699
1956-10-01,7.9072536695
1957-01-01,4.3255558016
1957-04-01,6.0536815413
1957-07-01,3.948835655
1957-10-01,2.9201092161
1958-01-01,-0.4910005587
1958-04-01,-1.1308556145
1958-07-01,-1.3911192929
1958-10-01,-1.0706662585
1959-01-01,0.6578962482
1959-04-01,0.5991288311
1959-07-01,0.5968532481
1959-10-01,0.3787919624
1960-01-01,1.4161230832
1960-04-01,0.2165679002
1960-07-01,-0.6472506676
1960-10-01,-1.4016183007
1961-01-01,-1.7722887039
1961-04-01,-0.9724474019
1961-07-01,-0.3800215151
1961-10-01,0.7107692918
1962-01-01,0.874792642
1962-04-01,1.0365490673
1962-07-01,0.7629423755
1962-10-01,0.7057573081
1963-01-01,0.8672106695
1963-04-01,0.7019465298
1963-07-01,1.1357484569
1963-10-01,0.9164409319
1964-01-01,0.48360888
1964-04-01,1.3404824487
1964-07-01,1.2299483011
1964-10-01,2.7243599083
1965-01-01,2.9946550787
1965-04-01,2.645502402
1965-07-01,2.7469604217
1965-10-01,3.1721268958
1966-01-01,2.699894099
1966-04-01,4.2268035817
1966-07-01,4.1131118982
1966-10-01,3.3770148336
1967-01-01,4.145601153
1967-04-01,2.4233419251
1967-07-01,2.9629619508
1967-10-01,3.0716706973
1968-01-01,4.0291268563
1968-04-01,4.828584878
1968-07-01,4.9880097069
1968-10-01,6.1494807138
1969-01-01,6.2062533348
1969-04-01,6.5407669444
1969-07-01,7.0808597933
1969-10-01,6.4616771651
1970-01-01,6.0193329355
1970-04-01,7.5659310077
1970-07-01,6.4419799625
1970-10-01,6.1113426708
1971-01-01,7.2938254005
1971-04-01,6.4308669922
1971-07-01,8.4569133844
1971-10-01,8.639053498
1972-01-01,8.4588646493
1972-04-01,7.3640495933
1972-07-01,6.5040653494
1972-10-01,6.6811890186
1973-01-01,6.1609665223
