DATE,JTU5200JOL
2000-12-01,187
2001-01-01,247
2001-02-01,212
2001-03-01,200
2001-04-01,210
2001-05-01,197
2001-06-01,210
2001-07-01,231
2001-08-01,179
2001-09-01,204
2001-10-01,169
2001-11-01,139
2001-12-01,142
2002-01-01,288
2002-02-01,128
2002-03-01,175
2002-04-01,204
2002-05-01,147
2002-06-01,168
2002-07-01,181
2002-08-01,154
2002-09-01,134
2002-10-01,226
2002-11-01,171
2002-12-01,161
2003-01-01,215
2003-02-01,129
2003-03-01,132
2003-04-01,175
2003-05-01,157
2003-06-01,140
2003-07-01,197
2003-08-01,181
2003-09-01,162
2003-10-01,181
2003-11-01,156
2003-12-01,145
2004-01-01,275
2004-02-01,215
2004-03-01,172
2004-04-01,241
2004-05-01,195
2004-06-01,163
2004-07-01,276
2004-08-01,208
2004-09-01,251
2004-10-01,233
2004-11-01,174
2004-12-01,213
2005-01-01,277
2005-02-01,199
2005-03-01,200
2005-04-01,251
2005-05-01,148
2005-06-01,208
2005-07-01,279
2005-08-01,239
2005-09-01,221
2005-10-01,303
2005-11-01,239
2005-12-01,293
2006-01-01,340
2006-02-01,299
2006-03-01,286
2006-04-01,355
2006-05-01,253
2006-06-01,247
2006-07-01,204
2006-08-01,221
2006-09-01,210
2006-10-01,261
2006-11-01,230
2006-12-01,190
2007-01-01,216
2007-02-01,213
2007-03-01,261
2007-04-01,175
2007-05-01,212
2007-06-01,206
2007-07-01,251
2007-08-01,236
2007-09-01,221
2007-10-01,198
2007-11-01,158
2007-12-01,156
2008-01-01,296
2008-02-01,171
2008-03-01,168
2008-04-01,162
2008-05-01,132
2008-06-01,129
2008-07-01,165
2008-08-01,171
2008-09-01,149
2008-10-01,120
2008-11-01,121
2008-12-01,153
2009-01-01,126
2009-02-01,130
2009-03-01,96
2009-04-01,98
2009-05-01,121
2009-06-01,112
2009-07-01,102
2009-08-01,88
2009-09-01,125
2009-10-01,96
2009-11-01,121
2009-12-01,86
2010-01-01,167
2010-02-01,102
2010-03-01,145
2010-04-01,215
2010-05-01,168
2010-06-01,156
2010-07-01,191
2010-08-01,172
2010-09-01,198
2010-10-01,215
2010-11-01,195
2010-12-01,156
2011-01-01,223
2011-02-01,155
2011-03-01,166
2011-04-01,204
2011-05-01,147
2011-06-01,169
2011-07-01,191
2011-08-01,128
2011-09-01,145
2011-10-01,192
2011-11-01,117
2011-12-01,160
2012-01-01,180
2012-02-01,118
2012-03-01,193
2012-04-01,209
2012-05-01,160
2012-06-01,176
2012-07-01,171
2012-08-01,202
2012-09-01,219
2012-10-01,215
2012-11-01,165
2012-12-01,166
2013-01-01,165
2013-02-01,219
2013-03-01,266
2013-04-01,237
2013-05-01,214
2013-06-01,243
2013-07-01,297
2013-08-01,179
2013-09-01,217
2013-10-01,245
2013-11-01,148
2013-12-01,173
2014-01-01,188
2014-02-01,172
2014-03-01,212
2014-04-01,256
2014-05-01,222
2014-06-01,274
2014-07-01,241
2014-08-01,280
2014-09-01,214
2014-10-01,326
2014-11-01,210
2014-12-01,217
2015-01-01,273
2015-02-01,225
2015-03-01,190
2015-04-01,325
2015-05-01,257
2015-06-01,202
2015-07-01,246
2015-08-01,239
2015-09-01,262
2015-10-01,285
2015-11-01,270
2015-12-01,310
2016-01-01,316
2016-02-01,208
2016-03-01,246
2016-04-01,305
2016-05-01,251
2016-06-01,229
2016-07-01,264
2016-08-01,272
2016-09-01,267
2016-10-01,267
2016-11-01,255
2016-12-01,286
2017-01-01,282
2017-02-01,261
2017-03-01,272
2017-04-01,384
2017-05-01,254
2017-06-01,289
2017-07-01,272
2017-08-01,243
2017-09-01,358
2017-10-01,304
2017-11-01,266
2017-12-01,279
2018-01-01,342
2018-02-01,315
2018-03-01,307
2018-04-01,267
2018-05-01,255
2018-06-01,249
2018-07-01,342
2018-08-01,327
2018-09-01,282
2018-10-01,321
2018-11-01,308
2018-12-01,288
2019-01-01,315
2019-02-01,257
2019-03-01,222
2019-04-01,285
2019-05-01,245
2019-06-01,245
2019-07-01,261
2019-08-01,285
2019-09-01,284
2019-10-01,351
2019-11-01,251
2019-12-01,222
2020-01-01,349
2020-02-01,312
2020-03-01,247
2020-04-01,232
2020-05-01,212
2020-06-01,229
2020-07-01,237
2020-08-01,216
2020-09-01,233
2020-10-01,258
2020-11-01,211
2020-12-01,212
2021-01-01,252
2021-02-01,250
2021-03-01,250
2021-04-01,332
2021-05-01,253
2021-06-01,220
2021-07-01,398
2021-08-01,317
2021-09-01,361
2021-10-01,379
2021-11-01,383
2021-12-01,366
2022-01-01,437
2022-02-01,334
2022-03-01,353
2022-04-01,433
2022-05-01,355
2022-06-01,457
2022-07-01,539
2022-08-01,323
2022-09-01,268
2022-10-01,484
2022-11-01,390
2022-12-01,355
2023-01-01,350
2023-02-01,279
2023-03-01,335
2023-04-01,438
2023-05-01,258
2023-06-01,296
2023-07-01,346
2023-08-01,429
2023-09-01,520
2023-10-01,321
2023-11-01,278
2023-12-01,304
2024-01-01,398
2024-02-01,473
2024-03-01,293
2024-04-01,344
2024-05-01,306
2024-06-01,306
2024-07-01,352
2024-08-01,250
