DATE,JTU480099JOL
2000-12-01,93
2001-01-01,181
2001-02-01,145
2001-03-01,99
2001-04-01,149
2001-05-01,107
2001-06-01,122
2001-07-01,167
2001-08-01,140
2001-09-01,103
2001-10-01,133
2001-11-01,114
2001-12-01,82
2002-01-01,105
2002-02-01,78
2002-03-01,83
2002-04-01,127
2002-05-01,106
2002-06-01,87
2002-07-01,93
2002-08-01,99
2002-09-01,61
2002-10-01,108
2002-11-01,101
2002-12-01,78
2003-01-01,96
2003-02-01,96
2003-03-01,74
2003-04-01,80
2003-05-01,85
2003-06-01,135
2003-07-01,103
2003-08-01,98
2003-09-01,83
2003-10-01,98
2003-11-01,101
2003-12-01,85
2004-01-01,83
2004-02-01,73
2004-03-01,103
2004-04-01,82
2004-05-01,84
2004-06-01,85
2004-07-01,121
2004-08-01,85
2004-09-01,73
2004-10-01,94
2004-11-01,81
2004-12-01,80
2005-01-01,102
2005-02-01,106
2005-03-01,82
2005-04-01,115
2005-05-01,106
2005-06-01,154
2005-07-01,141
2005-08-01,118
2005-09-01,138
2005-10-01,140
2005-11-01,119
2005-12-01,83
2006-01-01,91
2006-02-01,95
2006-03-01,101
2006-04-01,151
2006-05-01,151
2006-06-01,138
2006-07-01,136
2006-08-01,135
2006-09-01,152
2006-10-01,182
2006-11-01,125
2006-12-01,110
2007-01-01,165
2007-02-01,136
2007-03-01,166
2007-04-01,171
2007-05-01,129
2007-06-01,122
2007-07-01,147
2007-08-01,165
2007-09-01,177
2007-10-01,154
2007-11-01,160
2007-12-01,110
2008-01-01,181
2008-02-01,125
2008-03-01,109
2008-04-01,105
2008-05-01,118
2008-06-01,116
2008-07-01,122
2008-08-01,116
2008-09-01,111
2008-10-01,114
2008-11-01,81
2008-12-01,57
2009-01-01,69
2009-02-01,43
2009-03-01,69
2009-04-01,64
2009-05-01,73
2009-06-01,71
2009-07-01,47
2009-08-01,69
2009-09-01,60
2009-10-01,54
2009-11-01,56
2009-12-01,30
2010-01-01,50
2010-02-01,56
2010-03-01,59
2010-04-01,70
2010-05-01,58
2010-06-01,79
2010-07-01,74
2010-08-01,79
2010-09-01,100
2010-10-01,96
2010-11-01,65
2010-12-01,92
2011-01-01,82
2011-02-01,110
2011-03-01,108
2011-04-01,121
2011-05-01,117
2011-06-01,94
2011-07-01,118
2011-08-01,103
2011-09-01,107
2011-10-01,114
2011-11-01,112
2011-12-01,100
2012-01-01,117
2012-02-01,132
2012-03-01,124
2012-04-01,113
2012-05-01,110
2012-06-01,104
2012-07-01,104
2012-08-01,120
2012-09-01,131
2012-10-01,95
2012-11-01,81
2012-12-01,129
2013-01-01,142
2013-02-01,137
2013-03-01,106
2013-04-01,141
2013-05-01,129
2013-06-01,143
2013-07-01,113
2013-08-01,148
2013-09-01,145
2013-10-01,157
2013-11-01,132
2013-12-01,110
2014-01-01,174
2014-02-01,118
2014-03-01,140
2014-04-01,160
2014-05-01,157
2014-06-01,153
2014-07-01,184
2014-08-01,189
2014-09-01,193
2014-10-01,221
2014-11-01,194
2014-12-01,164
2015-01-01,227
2015-02-01,210
2015-03-01,223
2015-04-01,252
2015-05-01,302
2015-06-01,227
2015-07-01,252
2015-08-01,214
2015-09-01,204
2015-10-01,275
2015-11-01,292
2015-12-01,199
2016-01-01,162
2016-02-01,141
2016-03-01,155
2016-04-01,195
2016-05-01,191
2016-06-01,190
2016-07-01,244
2016-08-01,225
2016-09-01,163
2016-10-01,180
2016-11-01,153
2016-12-01,166
2017-01-01,169
2017-02-01,193
2017-03-01,182
2017-04-01,198
2017-05-01,175
2017-06-01,216
2017-07-01,277
2017-08-01,282
2017-09-01,271
2017-10-01,268
2017-11-01,167
2017-12-01,219
2018-01-01,275
2018-02-01,263
2018-03-01,298
2018-04-01,303
2018-05-01,315
2018-06-01,299
2018-07-01,300
2018-08-01,269
2018-09-01,342
2018-10-01,274
2018-11-01,322
2018-12-01,305
2019-01-01,344
2019-02-01,239
2019-03-01,314
2019-04-01,344
2019-05-01,353
2019-06-01,342
2019-07-01,288
2019-08-01,331
2019-09-01,345
2019-10-01,356
2019-11-01,334
2019-12-01,269
2020-01-01,303
2020-02-01,274
2020-03-01,355
2020-04-01,281
2020-05-01,255
2020-06-01,325
2020-07-01,332
2020-08-01,293
2020-09-01,323
2020-10-01,333
2020-11-01,321
2020-12-01,281
2021-01-01,365
2021-02-01,367
2021-03-01,488
2021-04-01,503
2021-05-01,444
2021-06-01,525
2021-07-01,560
2021-08-01,583
2021-09-01,627
2021-10-01,576
2021-11-01,614
2021-12-01,622
2022-01-01,540
2022-02-01,545
2022-03-01,494
2022-04-01,531
2022-05-01,475
2022-06-01,488
2022-07-01,591
2022-08-01,432
2022-09-01,574
2022-10-01,468
2022-11-01,486
2022-12-01,617
2023-01-01,610
2023-02-01,564
2023-03-01,388
2023-04-01,550
2023-05-01,499
2023-06-01,427
2023-07-01,489
2023-08-01,407
2023-09-01,435
2023-10-01,511
2023-11-01,448
2023-12-01,375
2024-01-01,290
2024-02-01,292
2024-03-01,334
2024-04-01,340
2024-05-01,333
2024-06-01,381
2024-07-01,304
2024-08-01,359
