DATE,QBPLNTLNNTCGOFFR
1984-01-01,0.35375063
1984-04-01,0.5342635
1984-07-01,0.52626718
1984-10-01,0.66374108
1985-01-01,0.38854265
1985-04-01,0.50417681
1985-07-01,0.56155703
1985-10-01,0.82479362
1986-01-01,0.49372471
1986-04-01,0.64718637
1986-07-01,0.67363726
1986-10-01,0.87235584
1987-01-01,0.50638112
1987-04-01,0.5680157
1987-07-01,0.56840697
1987-10-01,0.88481085
1988-01-01,0.59018761
1988-04-01,0.7583244
1988-07-01,0.65395636
1988-10-01,0.81166407
1989-01-01,0.50253504
1989-04-01,0.72858208
1989-07-01,0.68180542
1989-10-01,1.40178166
1990-01-01,1.03520971
1990-04-01,1.31236914
1990-07-01,0.96639786
1990-10-01,1.44855001
1991-01-01,1.02724541
1991-04-01,1.43741709
1991-07-01,1.39907736
1991-10-01,1.56743543
1992-01-01,1.07452062
1992-04-01,1.06207303
1992-07-01,1.12584197
1992-10-01,1.23666645
1993-01-01,0.78688286
1993-04-01,0.91595975
1993-07-01,0.7125331
1993-10-01,0.87544188
1994-01-01,0.4884236
1994-04-01,0.573436
1994-07-01,0.45204305
1994-10-01,0.52686319
1995-01-01,0.3660414
1995-04-01,0.43265403
1995-07-01,0.47765629
1995-10-01,0.56360633
1996-01-01,0.50198969
1996-04-01,0.52467353
1996-07-01,0.51024275
1996-10-01,0.58700985
1997-01-01,0.52250633
1997-04-01,0.56316945
1997-07-01,0.59438576
1997-10-01,0.61408448
1998-01-01,0.55091715
1998-04-01,0.55136092
1998-07-01,0.62760875
1998-10-01,0.63636478
1999-01-01,0.5333469
1999-04-01,0.48609048
1999-07-01,0.50402118
1999-10-01,0.61053606
2000-01-01,0.5024156
2000-04-01,0.51084905
2000-07-01,0.53065409
2000-10-01,0.80538967
2001-01-01,0.64260526
2001-04-01,0.72132728
2001-07-01,0.83502724
2001-10-01,1.13693229
2002-01-01,0.97481859
2002-04-01,0.94478985
2002-07-01,0.98362815
2002-10-01,0.97712572
2003-01-01,0.81420379
2003-04-01,0.79137009
2003-07-01,0.72729129
2003-10-01,0.79553545
2004-01-01,0.63767476
2004-04-01,0.5784314
2004-07-01,0.50699484
2004-10-01,0.60294348
2005-01-01,0.46623254
2005-04-01,0.4247389
2005-07-01,0.51472414
2005-10-01,0.59772975
2006-01-01,0.32321026
2006-04-01,0.34846188
2006-07-01,0.40194018
2006-10-01,0.47441813
2007-01-01,0.45230012
2007-04-01,0.48571698
2007-07-01,0.57430042
2007-10-01,0.84454673
2008-01-01,0.99071886
2008-04-01,1.32299152
2008-07-01,1.42773273
2008-10-01,1.88647479
2009-01-01,1.94448685
2009-04-01,2.56501187
2009-07-01,2.72024431
2009-10-01,3.00300449
2010-01-01,2.8848296
2010-04-01,2.67668065
2010-07-01,2.37872742
2010-10-01,2.29961004
2011-01-01,1.83273614
2011-04-01,1.58696598
2011-07-01,1.46449454
2011-10-01,1.38618322
2012-01-01,1.16449935
2012-04-01,1.08891938
2012-07-01,1.17746613
2012-10-01,0.9687148
2013-01-01,0.82819654
2013-04-01,0.73152476
2013-07-01,0.60151922
2013-10-01,0.61476773
2014-01-01,0.52445501
2014-04-01,0.50297913
2014-07-01,0.45606725
2014-10-01,0.48212416
2015-01-01,0.43268389
2015-04-01,0.42339245
2015-07-01,0.40480255
2015-10-01,0.49345985
2016-01-01,0.45640557
2016-04-01,0.44866404
2016-07-01,0.44282251
2016-10-01,0.52315397
2017-01-01,0.49583552
2017-04-01,0.47992782
2017-07-01,0.46303545
2017-10-01,0.5488995
2018-01-01,0.49637725
2018-04-01,0.47722321
2018-07-01,0.45156965
2018-10-01,0.50278265
2019-01-01,0.50268918
2019-04-01,0.50119849
2019-07-01,0.50673998
2019-10-01,0.53950181
2020-01-01,0.54454625
2020-04-01,0.56828319
2020-07-01,0.46454578
2020-10-01,0.4156726
2021-01-01,0.34072953
2021-04-01,0.26955675
2021-07-01,0.19403261
2021-10-01,0.2068111
2022-01-01,0.22350161
2022-04-01,0.23208952
2022-07-01,0.25820424
2022-10-01,0.36047676
2023-01-01,0.41070485
2023-04-01,0.48492661
2023-07-01,0.50869209
2023-10-01,0.65288502
2024-01-01,0.65324432
