DATE,MTSMFBOM133FMS
2010-01-01,-7527
2010-02-01,-5544
2010-03-01,-110832
2010-04-01,20950
2010-05-01,-2530
2010-06-01,-4824
2010-07-01,8955
2010-08-01,-58205
2010-09-01,-30514
2010-10-01,8984
2010-11-01,-37
2010-12-01,26884
2011-01-01,-37150
2011-02-01,-16058
2011-03-01,28775
2011-04-01,24282
2011-05-01,2657
2011-06-01,40497
2011-07-01,43691
2011-08-01,-157469
2011-09-01,-26080
2011-10-01,7473
2011-11-01,-9097
2011-12-01,25041
2012-01-01,-24453
2012-02-01,-14722
2012-03-01,55858
2012-04-01,-6156
2012-05-01,-19236
2012-06-01,391
2012-07-01,-12233
2012-08-01,-20577
2012-09-01,-17817
2012-10-01,-7820
2012-11-01,-21125
2012-12-01,15627
2013-01-01,45582
2013-02-01,-96910
2013-03-01,8576
2013-04-01,-6077
2013-05-01,5814
2013-06-01,-17432
2013-07-01,60210
2013-08-01,14961
2013-09-01,-20211
2013-10-01,-117933
2013-11-01,-7495
2013-12-01,2102
2014-01-01,-14887
2014-02-01,-32574
2014-03-01,6100
2014-04-01,14717
2014-05-01,-24170
2014-06-01,5511
2014-07-01,3525
2014-08-01,-30748
2014-09-01,-47272
2014-10-01,6724
2014-11-01,-17163
2014-12-01,11761
2015-01-01,-12255
2015-02-01,-17851
2015-03-01,102749.41934949
2015-04-01,53095.19772564
2015-05-01,8600.87842597
2015-06-01,-17245.0238612
2015-07-01,46635.87117581
2015-08-01,2412.16073528
2015-09-01,-27023.47809017
2015-10-01,16697.04541632
2015-11-01,-229861.54026306
2015-12-01,11224.35739411
2016-01-01,-3674.22851115
2016-02-01,-32266.42588777
2016-03-01,10820.4904867
2016-04-01,2510.78939552
2016-05-01,-33387.85942313
2016-06-01,12912.93725058
2016-07-01,16123.47075875
2016-08-01,-43451.53163595
2016-09-01,-37473.88190047
2016-10-01,-208.25405383
2016-11-01,-19609.04255792
2016-12-01,14787.21090296
2017-01-01,-18085.72742186
2017-02-01,-26200.89230661
2017-03-01,122412.80777489
2017-04-01,74196.24226043
2017-05-01,537.86586104
2017-06-01,14067.04516824
2017-07-01,56081.88409679
2017-08-01,-49730.70702282
2017-09-01,-196300.62610335
2017-10-01,3296.47084593
2017-11-01,-21467.83428775
2017-12-01,173283.099014
2018-01-01,11000.28717393
2018-02-01,-207101.54376093
2018-03-01,22798.56789026
2018-04-01,5502.40367837
2018-05-01,-11952.38828351
2018-06-01,13921.00553019
2018-07-01,-1109.87721673
2018-08-01,-40301.01425178
2018-09-01,-27938.03809278
2018-10-01,1477.89992804
2018-11-01,-16957.09280056
2018-12-01,12208.37448736
2019-01-01,-7326.38978636
2019-02-01,-28568.80019222
2019-03-01,236224.20199409
2019-04-01,-59537.41836353
2019-05-01,8559.6221672
2019-06-01,51648.50488273
2019-07-01,8226.7028023
2019-08-01,-229413.00146436
2019-09-01,-45994.49906426
2019-10-01,27089.63055717
2019-11-01,-8947.54307699
2019-12-01,8739.99329837
2020-01-01,-9173.83312565
2020-02-01,-11516.14679512
2020-03-01,9167.28916988
2020-04-01,16099.75775808
2020-05-01,-92071.76777087
2020-06-01,420704.50037943
2020-07-01,-2365.05917027
2020-08-01,-45764.11005226
2020-09-01,3028.75753135
2020-10-01,22574.34382232
2020-11-01,-81795.80973972
2020-12-01,-34918.52394371
2021-01-01,34070.50572372
2021-02-01,3829.02378991
2021-03-01,140857.68109727
2021-04-01,8823.58526156
2021-05-01,-31884.38815501
2021-06-01,-62026.81431227
2021-07-01,-50193.77969843
2021-08-01,97591.59626115
2021-09-01,-109223.94004273
2021-10-01,-128683.73699085
2021-11-01,118953.36045029
2021-12-01,-284080.94812277
2022-01-01,-122947.12631614
2022-02-01,-41629.76021861
2022-03-01,-26710.41498052
2022-04-01,4156.50666917
2022-05-01,-52957.03049408
2022-06-01,13743.89945846
2022-07-01,11212.28617607
2022-08-01,-38046.62846111
2022-09-01,373445.41206925
2022-10-01,5030.30448465
2022-11-01,-10140.22295389
2022-12-01,35079.96223285
2023-01-01,92797.83779858
2023-02-01,88144.52006873
2023-03-01,59732.89854788
2023-04-01,50294.10475632
2023-05-01,-46605.24521767
2023-06-01,-241673.53278449
2023-07-01,76053.39879085
2023-08-01,-377512.23427926
2023-09-01,2096.67822039
2023-10-01,16039.24223377
2023-11-01,-20609.38515357
2023-12-01,38826.50004587
2024-01-01,-18859.71389359
2024-02-01,-34473.23509827
2024-03-01,39823.07850285
2024-04-01,11641.92440208
2024-05-01,-18468.45583555
2024-06-01,114727.22051329
2024-07-01,580.55261846
2024-08-01,-714.86478191
