DATE,BOGZ1FL643065045Q
1945-10-01,0.0
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,0.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,0.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,0.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,0.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,0.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,0.0
1952-01-01,0.0
1952-04-01,0.0
1952-07-01,0.0
1952-10-01,0.0
1953-01-01,0.0
1953-04-01,0.0
1953-07-01,0.0
1953-10-01,0.0
1954-01-01,0.0
1954-04-01,0.0
1954-07-01,0.0
1954-10-01,0.0
1955-01-01,0.0
1955-04-01,0.0
1955-07-01,0.0
1955-10-01,0.0
1956-01-01,0.0
1956-04-01,0.0
1956-07-01,0.0
1956-10-01,0.0
1957-01-01,0.0
1957-04-01,0.0
1957-07-01,0.0
1957-10-01,0.0
1958-01-01,0.0
1958-04-01,0.0
1958-07-01,0.0
1958-10-01,0.0
1959-01-01,0.0
1959-04-01,0.0
1959-07-01,0.0
1959-10-01,0.0
1960-01-01,0.0
1960-04-01,0.0
1960-07-01,0.0
1960-10-01,0.0
1961-01-01,0.0
1961-04-01,0.0
1961-07-01,0.0
1961-10-01,0.0
1962-01-01,0.0
1962-04-01,0.0
1962-07-01,0.0
1962-10-01,0.0
1963-01-01,0.0
1963-04-01,0.0
1963-07-01,0.0
1963-10-01,0.0
1964-01-01,0.0
1964-04-01,0.0
1964-07-01,0.0
1964-10-01,0.0
1965-01-01,0.0
1965-04-01,0.0
1965-07-01,0.0
1965-10-01,0.0
1966-01-01,0.0
1966-04-01,0.0
1966-07-01,0.0
1966-10-01,0.0
1967-01-01,0.0
1967-04-01,0.0
1967-07-01,0.0
1967-10-01,0.0
1968-01-01,0.0
1968-04-01,0.0
1968-07-01,0.0
1968-10-01,0.0
1969-01-01,0.0
1969-04-01,0.0
1969-07-01,0.0
1969-10-01,0.0
1970-01-01,0.0
1970-04-01,0.0
1970-07-01,0.0
1970-10-01,0.0
1971-01-01,0.0
1971-04-01,0.0
1971-07-01,0.0
1971-10-01,0.0
1972-01-01,0.0
1972-04-01,0.0
1972-07-01,0.0
1972-10-01,0.0
1973-01-01,0.0
1973-04-01,0.0
1973-07-01,0.0
1973-10-01,0.0
1974-01-01,0.0
1974-04-01,0.0
1974-07-01,0.0
1974-10-01,0.0
1975-01-01,0.0
1975-04-01,0.0
1975-07-01,0.0
1975-10-01,0.0
1976-01-01,0.0
1976-04-01,0.0
1976-07-01,0.0
1976-10-01,0.0
1977-01-01,0.0
1977-04-01,0.0
1977-07-01,0.0
1977-10-01,0.0
1978-01-01,0.0
1978-04-01,0.0
1978-07-01,0.0
1978-10-01,0.0
1979-01-01,0.0
1979-04-01,0.0
1979-07-01,0.0
1979-10-01,0.0
1980-01-01,0.0
1980-04-01,0.0
1980-07-01,0.0
1980-10-01,0.0
1981-01-01,0.0
1981-04-01,0.0
1981-07-01,0.0
1981-10-01,0.0
1982-01-01,0.0
1982-04-01,0.0
1982-07-01,0.0
1982-10-01,0.0
1983-01-01,0.0
1983-04-01,0.0
1983-07-01,0.0
1983-10-01,0.0
1984-01-01,500.0
1984-04-01,1000.0
1984-07-01,1500.0
1984-10-01,2056.0
1985-01-01,2080.0
1985-04-01,2110.0
1985-07-01,2150.0
1985-10-01,2182.0
1986-01-01,2285.0
1986-04-01,2744.0
1986-07-01,3375.0
1986-10-01,6677.0
1987-01-01,7087.0
1987-04-01,9419.0
1987-07-01,11289.0
1987-10-01,13002.0
1988-01-01,13345.0
1988-04-01,13760.0
1988-07-01,13738.0
1988-10-01,14576.0
1989-01-01,15315.0
1989-04-01,15397.0
1989-07-01,15570.0
1989-10-01,15300.0
1990-01-01,15027.0
1990-04-01,15473.0
1990-07-01,14594.0
1990-10-01,15258.0
1991-01-01,15709.0
1991-04-01,15378.0
1991-07-01,14992.0
1991-10-01,14992.0
1992-01-01,15963.0
1992-04-01,14655.0
1992-07-01,14498.0
1992-10-01,14268.0
1993-01-01,14268.0
1993-04-01,12976.0
1993-07-01,12521.0
1993-10-01,12521.0
1994-01-01,11600.0
1994-04-01,10700.0
1994-07-01,9800.0
1994-10-01,8953.0
1995-01-01,8637.0
1995-04-01,7901.0
1995-07-01,7480.0
1995-10-01,7621.0
1996-01-01,7763.0
1996-04-01,7961.0
1996-07-01,8197.0
1996-10-01,7350.0
1997-01-01,6998.0
1997-04-01,7755.0
1997-07-01,8068.0
1997-10-01,11060.0
1998-01-01,11266.0
1998-04-01,13678.0
1998-07-01,14232.0
1998-10-01,13929.0
1999-01-01,13466.0
1999-04-01,13009.0
1999-07-01,12790.0
1999-10-01,11538.0
2000-01-01,11771.0
2000-04-01,11242.0
2000-07-01,10781.0
2000-10-01,10048.0
2001-01-01,8837.0
2001-04-01,7621.0
2001-07-01,7015.0
2001-10-01,6744.0
2002-01-01,6493.0
2002-04-01,8963.0
2002-07-01,11400.0
2002-10-01,14753.0
2003-01-01,16532.0
2003-04-01,19526.0
2003-07-01,25960.0
2003-10-01,30327.0
2004-01-01,37012.0
2004-04-01,43883.0
2004-07-01,60391.0
2004-10-01,89949.0
2005-01-01,98557.0
2005-04-01,105562.0
2005-07-01,109906.0
2005-10-01,107251.0
2006-01-01,112654.0
2006-04-01,113111.0
2006-07-01,112922.0
2006-10-01,110005.0
2007-01-01,115308.0
2007-04-01,110934.0
2007-07-01,101194.0
2007-10-01,92123.0
2008-01-01,72197.0
2008-04-01,66666.0
2008-07-01,59430.0
2008-10-01,45411.0
2009-01-01,23948.0
2009-04-01,24153.0
2009-07-01,20853.0
2009-10-01,18632.0
2010-01-01,20736.0
2010-04-01,19724.0
2010-07-01,19237.0
2010-10-01,18127.0
2011-01-01,15019.0
2011-04-01,14458.0
2011-07-01,14555.0
2011-10-01,14335.0
2012-01-01,15176.0
2012-04-01,17596.0
2012-07-01,17185.0
2012-10-01,15637.0
2013-01-01,15955.0
2013-04-01,150848.0
2013-07-01,152130.0
2013-10-01,160140.0
2014-01-01,179614.0
2014-04-01,174030.0
2014-07-01,172919.0
2014-10-01,172548.0
2015-01-01,166581.0
2015-04-01,154432.0
2015-07-01,150271.0
2015-10-01,142973.0
2016-01-01,151818.0
2016-04-01,149508.0
2016-07-01,144936.0
2016-10-01,134233.0
2017-01-01,124555.0
2017-04-01,117571.0
2017-07-01,112896.0
2017-10-01,110605.0
2018-01-01,112660.0
2018-04-01,108628.0
2018-07-01,110705.0
2018-10-01,122766.0
2019-01-01,130239.0
2019-04-01,134051.0
2019-07-01,138204.0
2019-10-01,151975.0
2020-01-01,131935.0
2020-04-01,137857.0
2020-07-01,141419.0
2020-10-01,141678.0
2021-01-01,138397.0
2021-04-01,149400.0
2021-07-01,151535.0
2021-10-01,158107.0
2022-01-01,164092.0
2022-04-01,167052.0
2022-07-01,163526.0
2022-10-01,160418.0
2023-01-01,160115.0
2023-04-01,155400.0
2023-07-01,151320.0
2023-10-01,153135.0
2024-01-01,151991.0
2024-04-01,151985.0
