DATE,BOGZ1FA643065045Q
1946-10-01,0.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,0.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,0.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,0.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,0.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,0.0
1952-01-01,0.0
1952-04-01,0.0
1952-07-01,0.0
1952-10-01,0.0
1953-01-01,0.0
1953-04-01,0.0
1953-07-01,0.0
1953-10-01,0.0
1954-01-01,0.0
1954-04-01,0.0
1954-07-01,0.0
1954-10-01,0.0
1955-01-01,0.0
1955-04-01,0.0
1955-07-01,0.0
1955-10-01,0.0
1956-01-01,0.0
1956-04-01,0.0
1956-07-01,0.0
1956-10-01,0.0
1957-01-01,0.0
1957-04-01,0.0
1957-07-01,0.0
1957-10-01,0.0
1958-01-01,0.0
1958-04-01,0.0
1958-07-01,0.0
1958-10-01,0.0
1959-01-01,0.0
1959-04-01,0.0
1959-07-01,0.0
1959-10-01,0.0
1960-01-01,0.0
1960-04-01,0.0
1960-07-01,0.0
1960-10-01,0.0
1961-01-01,0.0
1961-04-01,0.0
1961-07-01,0.0
1961-10-01,0.0
1962-01-01,0.0
1962-04-01,0.0
1962-07-01,0.0
1962-10-01,0.0
1963-01-01,0.0
1963-04-01,0.0
1963-07-01,0.0
1963-10-01,0.0
1964-01-01,0.0
1964-04-01,0.0
1964-07-01,0.0
1964-10-01,0.0
1965-01-01,0.0
1965-04-01,0.0
1965-07-01,0.0
1965-10-01,0.0
1966-01-01,0.0
1966-04-01,0.0
1966-07-01,0.0
1966-10-01,0.0
1967-01-01,0.0
1967-04-01,0.0
1967-07-01,0.0
1967-10-01,0.0
1968-01-01,0.0
1968-04-01,0.0
1968-07-01,0.0
1968-10-01,0.0
1969-01-01,0.0
1969-04-01,0.0
1969-07-01,0.0
1969-10-01,0.0
1970-01-01,0.0
1970-04-01,0.0
1970-07-01,0.0
1970-10-01,0.0
1971-01-01,0.0
1971-04-01,0.0
1971-07-01,0.0
1971-10-01,0.0
1972-01-01,0.0
1972-04-01,0.0
1972-07-01,0.0
1972-10-01,0.0
1973-01-01,0.0
1973-04-01,0.0
1973-07-01,0.0
1973-10-01,0.0
1974-01-01,0.0
1974-04-01,0.0
1974-07-01,0.0
1974-10-01,0.0
1975-01-01,0.0
1975-04-01,0.0
1975-07-01,0.0
1975-10-01,0.0
1976-01-01,0.0
1976-04-01,0.0
1976-07-01,0.0
1976-10-01,0.0
1977-01-01,0.0
1977-04-01,0.0
1977-07-01,0.0
1977-10-01,0.0
1978-01-01,0.0
1978-04-01,0.0
1978-07-01,0.0
1978-10-01,0.0
1979-01-01,0.0
1979-04-01,0.0
1979-07-01,0.0
1979-10-01,0.0
1980-01-01,0.0
1980-04-01,0.0
1980-07-01,0.0
1980-10-01,0.0
1981-01-01,0.0
1981-04-01,0.0
1981-07-01,0.0
1981-10-01,0.0
1982-01-01,0.0
1982-04-01,0.0
1982-07-01,0.0
1982-10-01,0.0
1983-01-01,0.0
1983-04-01,0.0
1983-07-01,0.0
1983-10-01,0.0
1984-01-01,2000.0
1984-04-01,2000.0
1984-07-01,2000.0
1984-10-01,2224.0
1985-01-01,96.0
1985-04-01,120.0
1985-07-01,160.0
1985-10-01,128.0
1986-01-01,412.0
1986-04-01,1836.0
1986-07-01,2524.0
1986-10-01,13208.0
1987-01-01,1640.0
1987-04-01,9328.0
1987-07-01,7480.0
1987-10-01,6852.0
1988-01-01,1372.0
1988-04-01,1660.0
1988-07-01,-88.0
1988-10-01,3352.0
1989-01-01,2956.0
1989-04-01,328.0
1989-07-01,692.0
1989-10-01,-1080.0
1990-01-01,-1092.0
1990-04-01,1784.0
1990-07-01,-3516.0
1990-10-01,2656.0
1991-01-01,1804.0
1991-04-01,-1324.0
1991-07-01,-1544.0
1991-10-01,0.0
1992-01-01,3884.0
1992-04-01,-5232.0
1992-07-01,-628.0
1992-10-01,-920.0
1993-01-01,0.0
1993-04-01,-5168.0
1993-07-01,-1820.0
1993-10-01,0.0
1994-01-01,-3684.0
1994-04-01,-3600.0
1994-07-01,-3600.0
1994-10-01,-3388.0
1995-01-01,-1264.0
1995-04-01,-2944.0
1995-07-01,-1684.0
1995-10-01,564.0
1996-01-01,568.0
1996-04-01,792.0
1996-07-01,944.0
1996-10-01,-3388.0
1997-01-01,-1408.0
1997-04-01,3028.0
1997-07-01,1252.0
1997-10-01,11968.0
1998-01-01,824.0
1998-04-01,9648.0
1998-07-01,2216.0
1998-10-01,-1212.0
1999-01-01,-1852.0
1999-04-01,-1828.0
1999-07-01,-876.0
1999-10-01,-5008.0
2000-01-01,932.0
2000-04-01,-2116.0
2000-07-01,-1844.0
2000-10-01,-2932.0
2001-01-01,-4844.0
2001-04-01,-4864.0
2001-07-01,-2424.0
2001-10-01,-1084.0
2002-01-01,-1004.0
2002-04-01,9880.0
2002-07-01,9748.0
2002-10-01,13412.0
2003-01-01,7116.0
2003-04-01,11976.0
2003-07-01,25736.0
2003-10-01,17468.0
2004-01-01,26740.0
2004-04-01,27484.0
2004-07-01,66032.0
2004-10-01,118232.0
2005-01-01,34432.0
2005-04-01,28020.0
2005-07-01,17376.0
2005-10-01,-10620.0
2006-01-01,21612.0
2006-04-01,1828.0
2006-07-01,-756.0
2006-10-01,-11668.0
2007-01-01,21212.0
2007-04-01,-17496.0
2007-07-01,-38960.0
2007-10-01,-36284.0
2008-01-01,-79704.0
2008-04-01,-22124.0
2008-07-01,-28944.0
2008-10-01,-56076.0
2009-01-01,-85852.0
2009-04-01,820.0
2009-07-01,-13200.0
2009-10-01,-8884.0
2010-01-01,8416.0
2010-04-01,-4048.0
2010-07-01,-1948.0
2010-10-01,-4440.0
2011-01-01,-12432.0
