DATE,BOGZ1FL643065443Q
1945-10-01,0.0
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,0.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,0.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,0.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,0.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,0.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,0.0
1952-01-01,0.0
1952-04-01,0.0
1952-07-01,0.0
1952-10-01,0.0
1953-01-01,0.0
1953-04-01,0.0
1953-07-01,0.0
1953-10-01,0.0
1954-01-01,0.0
1954-04-01,0.0
1954-07-01,0.0
1954-10-01,0.0
1955-01-01,0.0
1955-04-01,0.0
1955-07-01,0.0
1955-10-01,0.0
1956-01-01,0.0
1956-04-01,0.0
1956-07-01,0.0
1956-10-01,0.0
1957-01-01,0.0
1957-04-01,0.0
1957-07-01,0.0
1957-10-01,0.0
1958-01-01,0.0
1958-04-01,0.0
1958-07-01,0.0
1958-10-01,0.0
1959-01-01,0.0
1959-04-01,0.0
1959-07-01,0.0
1959-10-01,0.0
1960-01-01,0.0
1960-04-01,0.0
1960-07-01,0.0
1960-10-01,0.0
1961-01-01,0.0
1961-04-01,0.0
1961-07-01,0.0
1961-10-01,0.0
1962-01-01,0.0
1962-04-01,0.0
1962-07-01,0.0
1962-10-01,0.0
1963-01-01,0.0
1963-04-01,0.0
1963-07-01,0.0
1963-10-01,0.0
1964-01-01,0.0
1964-04-01,0.0
1964-07-01,0.0
1964-10-01,0.0
1965-01-01,0.0
1965-04-01,0.0
1965-07-01,0.0
1965-10-01,0.0
1966-01-01,0.0
1966-04-01,0.0
1966-07-01,0.0
1966-10-01,0.0
1967-01-01,0.0
1967-04-01,0.0
1967-07-01,0.0
1967-10-01,0.0
1968-01-01,0.0
1968-04-01,0.0
1968-07-01,0.0
1968-10-01,0.0
1969-01-01,0.0
1969-04-01,0.0
1969-07-01,0.0
1969-10-01,0.0
1970-01-01,0.0
1970-04-01,0.0
1970-07-01,0.0
1970-10-01,0.0
1971-01-01,0.0
1971-04-01,0.0
1971-07-01,0.0
1971-10-01,0.0
1972-01-01,0.0
1972-04-01,0.0
1972-07-01,0.0
1972-10-01,0.0
1973-01-01,0.0
1973-04-01,0.0
1973-07-01,0.0
1973-10-01,0.0
1974-01-01,0.0
1974-04-01,0.0
1974-07-01,0.0
1974-10-01,0.0
1975-01-01,0.0
1975-04-01,0.0
1975-07-01,0.0
1975-10-01,0.0
1976-01-01,0.0
1976-04-01,0.0
1976-07-01,0.0
1976-10-01,0.0
1977-01-01,0.0
1977-04-01,0.0
1977-07-01,0.0
1977-10-01,0.0
1978-01-01,0.0
1978-04-01,0.0
1978-07-01,0.0
1978-10-01,0.0
1979-01-01,0.0
1979-04-01,0.0
1979-07-01,0.0
1979-10-01,0.0
1980-01-01,0.0
1980-04-01,0.0
1980-07-01,0.0
1980-10-01,0.0
1981-01-01,0.0
1981-04-01,0.0
1981-07-01,0.0
1981-10-01,0.0
1982-01-01,0.0
1982-04-01,0.0
1982-07-01,0.0
1982-10-01,0.0
1983-01-01,0.0
1983-04-01,0.0
1983-07-01,0.0
1983-10-01,0.0
1984-01-01,0.0
1984-04-01,0.0
1984-07-01,0.0
1984-10-01,0.0
1985-01-01,0.0
1985-04-01,0.0
1985-07-01,0.0
1985-10-01,0.0
1986-01-01,0.0
1986-04-01,0.0
1986-07-01,0.0
1986-10-01,0.0
1987-01-01,0.0
1987-04-01,0.0
1987-07-01,0.0
1987-10-01,0.0
1988-01-01,0.0
1988-04-01,0.0
1988-07-01,0.0
1988-10-01,0.0
1989-01-01,0.0
1989-04-01,0.0
1989-07-01,0.0
1989-10-01,0.0
1990-01-01,0.0
1990-04-01,0.0
1990-07-01,0.0
1990-10-01,0.0
1991-01-01,0.0
1991-04-01,0.0
1991-07-01,0.0
1991-10-01,0.0
1992-01-01,0.0
1992-04-01,0.0
1992-07-01,0.0
1992-10-01,0.0
1993-01-01,0.0
1993-04-01,0.0
1993-07-01,0.0
1993-10-01,0.0
1994-01-01,0.0
1994-04-01,0.0
1994-07-01,0.0
1994-10-01,0.0
1995-01-01,0.0
1995-04-01,0.0
1995-07-01,0.0
1995-10-01,0.0
1996-01-01,375.0
1996-04-01,350.0
1996-07-01,325.0
1996-10-01,258.0
1997-01-01,235.0
1997-04-01,320.0
1997-07-01,292.0
1997-10-01,437.0
1998-01-01,465.0
1998-04-01,736.0
1998-07-01,866.0
1998-10-01,791.0
1999-01-01,906.0
1999-04-01,863.0
1999-07-01,801.0
1999-10-01,366.0
2000-01-01,309.0
2000-04-01,305.0
2000-07-01,297.0
2000-10-01,146.0
2001-01-01,140.0
2001-04-01,132.0
2001-07-01,124.0
2001-10-01,118.0
2002-01-01,112.0
2002-04-01,117.0
2002-07-01,113.0
2002-10-01,109.0
2003-01-01,107.0
2003-04-01,105.0
2003-07-01,103.0
2003-10-01,100.0
2004-01-01,99.0
2004-04-01,98.0
2004-07-01,95.0
2004-10-01,79.0
2005-01-01,174.0
2005-04-01,136.0
2005-07-01,134.0
2005-10-01,143.0
2006-01-01,247.0
2006-04-01,245.0
2006-07-01,230.0
2006-10-01,393.0
2007-01-01,388.0
2007-04-01,386.0
2007-07-01,385.0
2007-10-01,390.0
2008-01-01,385.0
2008-04-01,389.0
2008-07-01,383.0
2008-10-01,389.0
2009-01-01,380.0
2009-04-01,375.0
2009-07-01,371.0
2009-10-01,370.0
2010-01-01,382.0
2010-04-01,372.0
2010-07-01,360.0
2010-10-01,359.0
2011-01-01,356.0
2011-04-01,348.0
2011-07-01,338.0
2011-10-01,334.0
2012-01-01,322.0
2012-04-01,302.0
2012-07-01,308.0
2012-10-01,299.0
2013-01-01,336.0
2013-04-01,2777.0
2013-07-01,2778.0
2013-10-01,2953.0
2014-01-01,3240.0
2014-04-01,3212.0
2014-07-01,3168.0
2014-10-01,3294.0
2015-01-01,2776.0
2015-04-01,2721.0
2015-07-01,3100.0
2015-10-01,3102.0
2016-01-01,2872.0
2016-04-01,2314.0
2016-07-01,2433.0
2016-10-01,2338.0
2017-01-01,2726.0
2017-04-01,2977.0
2017-07-01,3244.0
2017-10-01,3158.0
2018-01-01,3122.0
2018-04-01,3907.0
2018-07-01,4089.0
2018-10-01,4805.0
2019-01-01,7586.0
2019-04-01,7519.0
2019-07-01,8306.0
2019-10-01,9770.0
2020-01-01,4395.0
2020-04-01,4623.0
2020-07-01,5497.0
2020-10-01,5193.0
2021-01-01,5246.0
2021-04-01,6574.0
2021-07-01,7105.0
2021-10-01,7687.0
2022-01-01,9180.0
2022-04-01,9372.0
2022-07-01,9359.0
2022-10-01,9193.0
2023-01-01,8961.0
2023-04-01,8538.0
2023-07-01,8147.0
2023-10-01,8350.0
2024-01-01,8666.0
2024-04-01,8174.0
