DATE,FLMVLOAS
1943-04-01,-0.0300
1943-07-01,-0.01033
1943-10-01,-0.00467
1944-01-01,-0.0050
1944-04-01,0.00933
1944-07-01,0.00933
1944-10-01,-0.00067
1945-01-01,-0.00433
1945-04-01,0.00233
1945-07-01,0.00567
1945-10-01,0.0180
1946-01-01,0.0230
1946-04-01,0.04567
1946-07-01,0.04667
1946-10-01,0.05967
1947-01-01,0.07967
1947-04-01,0.09033
1947-07-01,0.06167
1947-10-01,0.0780
1948-01-01,0.10433
1948-04-01,0.10767
1948-07-01,0.10867
1948-10-01,0.03533
1949-01-01,0.05367
1949-04-01,0.1760
1949-07-01,0.16533
1949-10-01,0.10933
1950-01-01,0.1050
1950-04-01,0.21267
1950-07-01,0.2330
1950-10-01,-0.03833
1951-01-01,-0.0580
1951-04-01,0.04433
1951-07-01,0.05333
1951-10-01,-0.05867
1952-01-01,-0.05133
1952-04-01,0.27067
1952-07-01,0.12467
1952-10-01,0.2150
1953-01-01,0.21633
1953-04-01,0.27433
1953-07-01,0.17367
1953-10-01,0.0190
1954-01-01,-0.1320
1954-04-01,0.0740
1954-07-01,0.06267
1954-10-01,0.0160
1955-01-01,0.20233
1955-04-01,0.4600
1955-07-01,0.43367
1955-10-01,0.14533
1956-01-01,0.09567
1956-04-01,0.17233
1956-07-01,0.09567
1956-10-01,-0.0260
1957-01-01,0.00733
1957-04-01,0.1810
1957-07-01,0.14967
1957-10-01,-0.00867
1958-01-01,-0.2010
1958-04-01,-0.06267
1958-07-01,-0.08033
1958-10-01,-0.06067
1959-01-01,0.07333
1959-04-01,0.33933
1959-07-01,0.31867
1959-10-01,0.0600
1960-01-01,0.09267
1960-04-01,0.31233
1960-07-01,0.10867
1960-10-01,-0.0300
1961-01-01,-0.1890
1961-04-01,0.0460
1961-07-01,-0.0470
1961-10-01,0.02867
1962-01-01,0.04333
1962-04-01,0.37333
1962-07-01,0.1710
1962-10-01,0.18733
1963-01-01,0.1430
1963-04-01,0.44133
1963-07-01,0.20167
1963-10-01,0.18667
1964-01-01,0.1510
1964-04-01,0.48767
1964-07-01,0.23667
1964-10-01,0.11633
1965-01-01,0.16767
1965-04-01,0.54033
1965-07-01,0.30067
1965-10-01,0.17067
1966-01-01,0.06333
1966-04-01,0.3360
1966-07-01,0.07733
1966-10-01,0.0690
1967-01-01,-0.14733
1967-04-01,0.22133
1967-07-01,0.01233
1967-10-01,-0.0400
1968-01-01,0.04033
1968-04-01,0.45933
1968-07-01,0.31767
1968-10-01,0.2550
1969-01-01,0.07333
1969-04-01,0.5620
1969-07-01,0.1580
1969-10-01,0.07267
1970-01-01,-0.27567
1970-04-01,0.15633
1970-07-01,0.1530
1970-10-01,-0.24067
1971-01-01,0.02367
1971-04-01,0.5810
1971-07-01,0.42433
1971-10-01,0.3690
1972-01-01,0.71767
1972-04-01,0.88167
