DATE,LNU02026625
1994-01-01,3906
1994-02-01,4019
1994-03-01,4261
1994-04-01,4269
1994-05-01,4117
1994-06-01,4094
1994-07-01,4023
1994-08-01,3899
1994-09-01,4464
1994-10-01,4388
1994-11-01,4384
1994-12-01,4366
1995-01-01,4288
1995-02-01,4536
1995-03-01,4405
1995-04-01,4490
1995-05-01,4624
1995-06-01,4595
1995-07-01,4476
1995-08-01,4390
1995-09-01,4395
1995-10-01,4505
1995-11-01,4350
1995-12-01,4295
1996-01-01,4013
1996-02-01,4415
1996-03-01,4687
1996-04-01,4250
1996-05-01,4455
1996-06-01,4345
1996-07-01,4201
1996-08-01,4252
1996-09-01,4253
1996-10-01,4532
1996-11-01,4648
1996-12-01,4505
1997-01-01,4270
1997-02-01,4392
1997-03-01,4546
1997-04-01,4445
1997-05-01,4594
1997-06-01,4573
1997-07-01,4514
1997-08-01,4313
1997-09-01,4438
1997-10-01,4584
1997-11-01,4609
1997-12-01,4574
1998-01-01,4236
1998-02-01,4391
1998-03-01,4632
1998-04-01,4523
1998-05-01,4660
1998-06-01,4333
1998-07-01,4253
1998-08-01,4344
1998-09-01,4442
1998-10-01,4755
1998-11-01,4609
1998-12-01,4561
1999-01-01,4342
1999-02-01,4396
1999-03-01,4458
1999-04-01,4269
1999-05-01,4420
1999-06-01,3992
1999-07-01,4101
1999-08-01,3992
1999-09-01,4171
1999-10-01,4462
1999-11-01,4504
1999-12-01,4411
2000-01-01,4324
2000-02-01,4293
2000-03-01,4279
2000-04-01,4287
2000-05-01,4352
2000-06-01,4113
2000-07-01,4071
2000-08-01,4019
2000-09-01,4115
2000-10-01,4224
2000-11-01,4118
2000-12-01,4305
2001-01-01,4041
2001-02-01,4305
2001-03-01,4178
2001-04-01,4164
2001-05-01,3985
2001-06-01,4032
2001-07-01,4054
2001-08-01,3832
2001-09-01,3955
2001-10-01,3751
2001-11-01,3918
2001-12-01,4016
2002-01-01,3881
2002-02-01,4111
2002-03-01,4188
2002-04-01,4036
2002-05-01,3882
2002-06-01,3857
2002-07-01,3808
2002-08-01,3733
2002-09-01,3883
2002-10-01,3893
2002-11-01,3880
2002-12-01,4089
2003-01-01,3844
2003-02-01,4122
2003-03-01,3954
2003-04-01,3758
2003-05-01,3932
2003-06-01,3809
2003-07-01,3620
2003-08-01,3749
2003-09-01,3673
2003-10-01,3849
2003-11-01,3730
2003-12-01,3860
2004-01-01,3722
2004-02-01,3713
2004-03-01,3921
2004-04-01,3869
2004-05-01,3859
2004-06-01,3719
2004-07-01,3829
2004-08-01,3875
2004-09-01,4007
2004-10-01,4196
2004-11-01,4095
2004-12-01,4086
2005-01-01,3782
2005-02-01,3882
2005-03-01,3941
2005-04-01,3849
2005-05-01,3763
2005-06-01,4005
2005-07-01,3964
2005-08-01,3850
2005-09-01,4014
2005-10-01,4153
2005-11-01,4059
2005-12-01,4045
2006-01-01,3953
2006-02-01,3899
2006-03-01,3925
2006-04-01,3894
2006-05-01,3881
2006-06-01,3815
2006-07-01,3859
2006-08-01,3851
2006-09-01,4153
2006-10-01,4123
2006-11-01,4165
2006-12-01,4252
2007-01-01,4106
2007-02-01,4139
2007-03-01,4208
2007-04-01,4332
2007-05-01,4121
2007-06-01,4019
2007-07-01,3996
2007-08-01,4065
2007-09-01,4266
2007-10-01,4409
2007-11-01,4356
2007-12-01,4067
2008-01-01,4126
2008-02-01,4157
2008-03-01,4198
2008-04-01,4197
2008-05-01,4205
2008-06-01,4073
2008-07-01,4149
2008-08-01,4210
2008-09-01,4199
2008-10-01,4281
2008-11-01,4009
2008-12-01,4176
2009-01-01,3937
2009-02-01,4054
2009-03-01,4204
2009-04-01,4119
2009-05-01,3908
2009-06-01,3735
2009-07-01,3807
2009-08-01,3545
2009-09-01,3667
2009-10-01,3931
2009-11-01,3864
2009-12-01,3641
2010-01-01,3558
2010-02-01,3735
2010-03-01,3821
2010-04-01,3636
2010-05-01,3826
2010-06-01,3406
2010-07-01,3424
2010-08-01,3431
2010-09-01,3515
2010-10-01,3653
2010-11-01,3573
2010-12-01,3514
2011-01-01,3510
2011-02-01,3573
2011-03-01,3659
2011-04-01,3586
2011-05-01,3731
2011-06-01,3584
2011-07-01,3569
2011-08-01,3599
2011-09-01,3778
2011-10-01,3631
2011-11-01,3712
2011-12-01,3504
2012-01-01,3441
2012-02-01,3624
2012-03-01,3667
2012-04-01,3549
2012-05-01,3655
2012-06-01,3489
2012-07-01,3459
2012-08-01,3550
2012-09-01,3674
2012-10-01,3633
2012-11-01,3752
2012-12-01,3591
2013-01-01,3524
2013-02-01,3988
2013-03-01,3950
2013-04-01,3761
2013-05-01,3704
2013-06-01,3727
2013-07-01,3689
2013-08-01,3705
2013-09-01,3774
2013-10-01,3645
2013-11-01,3575
2013-12-01,3550
2014-01-01,3412
2014-02-01,3702
2014-03-01,3717
2014-04-01,3805
2014-05-01,3875
2014-06-01,3620
2014-07-01,3606
2014-08-01,3658
2014-09-01,3785
2014-10-01,4089
2014-11-01,4019
2014-12-01,3924
2015-01-01,3927
2015-02-01,3824
2015-03-01,3872
2015-04-01,3759
2015-05-01,3796
2015-06-01,3787
2015-07-01,3798
2015-08-01,3832
2015-09-01,3859
2015-10-01,4084
2015-11-01,4055
2015-12-01,4315
2016-01-01,3925
2016-02-01,3891
2016-03-01,4254
2016-04-01,3904
2016-05-01,4052
2016-06-01,3908
2016-07-01,3842
2016-08-01,3991
2016-09-01,4298
2016-10-01,4373
2016-11-01,4362
2016-12-01,4204
2017-01-01,3904
2017-02-01,4415
2017-03-01,4566
2017-04-01,4184
2017-05-01,4136
2017-06-01,4014
2017-07-01,3938
2017-08-01,3761
2017-09-01,4053
2017-10-01,4167
2017-11-01,4286
2017-12-01,4391
2018-01-01,4207
2018-02-01,4446
2018-03-01,4272
2018-04-01,4237
2018-05-01,4062
2018-06-01,4136
2018-07-01,4255
2018-08-01,4338
2018-09-01,4200
2018-10-01,4484
2018-11-01,4516
2018-12-01,4329
2019-01-01,4452
2019-02-01,4502
2019-03-01,4473
2019-04-01,4317
2019-05-01,4414
2019-06-01,4340
2019-07-01,4503
2019-08-01,4581
2019-09-01,4787
2019-10-01,4602
2019-11-01,4601
2019-12-01,4419
2020-01-01,4528
2020-02-01,4576
2020-03-01,4227
2020-04-01,3202
2020-05-01,3121
2020-06-01,3428
2020-07-01,3702
2020-08-01,3712
2020-09-01,3711
2020-10-01,3813
2020-11-01,3776
2020-12-01,3721
2021-01-01,3755
2021-02-01,3739
2021-03-01,4030
2021-04-01,3915
2021-05-01,4041
2021-06-01,3882
2021-07-01,3904
2021-08-01,3846
2021-09-01,3904
2021-10-01,4193
2021-11-01,3946
2021-12-01,4062
2022-01-01,4259
2022-02-01,4243
2022-03-01,4231
2022-04-01,4385
2022-05-01,4295
2022-06-01,4204
2022-07-01,4312
2022-08-01,4237
2022-09-01,4307
2022-10-01,4449
2022-11-01,4507
2022-12-01,4594
2023-01-01,4418
2023-02-01,4415
2023-03-01,4649
2023-04-01,4388
2023-05-01,4480
2023-06-01,4670
2023-07-01,4556
2023-08-01,4582
2023-09-01,4730
2023-10-01,4978
2023-11-01,5002
2023-12-01,5085
2024-01-01,4602
2024-02-01,4830
2024-03-01,5055
2024-04-01,4844
2024-05-01,4736
2024-06-01,4714
2024-07-01,4793
2024-08-01,4756
2024-09-01,4817
