DATE,LNU02026631
1994-01-01,245
1994-02-01,248
1994-03-01,222
1994-04-01,250
1994-05-01,223
1994-06-01,241
1994-07-01,284
1994-08-01,260
1994-09-01,248
1994-10-01,209
1994-11-01,241
1994-12-01,232
1995-01-01,233
1995-02-01,233
1995-03-01,234
1995-04-01,241
1995-05-01,245
1995-06-01,288
1995-07-01,302
1995-08-01,278
1995-09-01,287
1995-10-01,291
1995-11-01,217
1995-12-01,234
1996-01-01,239
1996-02-01,226
1996-03-01,214
1996-04-01,241
1996-05-01,245
1996-06-01,237
1996-07-01,281
1996-08-01,245
1996-09-01,258
1996-10-01,277
1996-11-01,258
1996-12-01,209
1997-01-01,210
1997-02-01,218
1997-03-01,196
1997-04-01,221
1997-05-01,262
1997-06-01,299
1997-07-01,258
1997-08-01,258
1997-09-01,238
1997-10-01,260
1997-11-01,194
1997-12-01,231
1998-01-01,269
1998-02-01,227
1998-03-01,216
1998-04-01,266
1998-05-01,265
1998-06-01,247
1998-07-01,308
1998-08-01,271
1998-09-01,310
1998-10-01,278
1998-11-01,308
1998-12-01,233
1999-01-01,326
1999-02-01,276
1999-03-01,309
1999-04-01,282
1999-05-01,264
1999-06-01,248
1999-07-01,300
1999-08-01,332
1999-09-01,279
1999-10-01,308
1999-11-01,311
1999-12-01,343
2000-01-01,250
2000-02-01,295
2000-03-01,324
2000-04-01,351
2000-05-01,284
2000-06-01,340
2000-07-01,418
2000-08-01,319
2000-09-01,336
2000-10-01,293
2000-11-01,327
2000-12-01,306
2001-01-01,255
2001-02-01,310
2001-03-01,338
2001-04-01,280
2001-05-01,278
2001-06-01,284
2001-07-01,329
2001-08-01,294
2001-09-01,270
2001-10-01,240
2001-11-01,248
2001-12-01,276
2002-01-01,226
2002-02-01,259
2002-03-01,243
2002-04-01,299
2002-05-01,297
2002-06-01,337
2002-07-01,321
2002-08-01,319
2002-09-01,303
2002-10-01,264
2002-11-01,255
2002-12-01,196
2003-01-01,231
2003-02-01,220
2003-03-01,321
2003-04-01,279
2003-05-01,269
2003-06-01,341
2003-07-01,324
2003-08-01,293
2003-09-01,268
2003-10-01,235
2003-11-01,254
2003-12-01,244
2004-01-01,227
2004-02-01,287
2004-03-01,318
2004-04-01,275
2004-05-01,251
2004-06-01,332
2004-07-01,315
2004-08-01,289
2004-09-01,290
2004-10-01,302
2004-11-01,282
2004-12-01,270
2005-01-01,284
2005-02-01,274
2005-03-01,250
2005-04-01,301
2005-05-01,312
2005-06-01,380
2005-07-01,329
2005-08-01,274
2005-09-01,259
2005-10-01,288
2005-11-01,278
2005-12-01,295
2006-01-01,289
2006-02-01,302
2006-03-01,302
2006-04-01,259
2006-05-01,334
2006-06-01,329
2006-07-01,313
2006-08-01,353
2006-09-01,289
2006-10-01,353
2006-11-01,297
2006-12-01,300
2007-01-01,273
2007-02-01,261
2007-03-01,338
2007-04-01,240
2007-05-01,327
2007-06-01,289
2007-07-01,367
2007-08-01,287
2007-09-01,275
2007-10-01,297
2007-11-01,245
2007-12-01,252
2008-01-01,229
2008-02-01,255
2008-03-01,281
2008-04-01,248
2008-05-01,286
2008-06-01,351
2008-07-01,335
2008-08-01,345
2008-09-01,299
2008-10-01,288
2008-11-01,279
2008-12-01,218
2009-01-01,232
2009-02-01,235
2009-03-01,242
2009-04-01,231
2009-05-01,231
2009-06-01,273
2009-07-01,332
2009-08-01,291
2009-09-01,246
2009-10-01,240
2009-11-01,228
2009-12-01,202
2010-01-01,241
2010-02-01,290
2010-03-01,258
2010-04-01,289
2010-05-01,309
2010-06-01,301
2010-07-01,283
2010-08-01,267
2010-09-01,265
2010-10-01,197
2010-11-01,206
2010-12-01,251
2011-01-01,182
2011-02-01,222
2011-03-01,240
2011-04-01,221
2011-05-01,295
2011-06-01,291
2011-07-01,246
2011-08-01,241
2011-09-01,193
2011-10-01,222
2011-11-01,219
2011-12-01,239
2012-01-01,259
2012-02-01,264
2012-03-01,223
2012-04-01,289
2012-05-01,250
2012-06-01,259
2012-07-01,271
2012-08-01,272
2012-09-01,237
2012-10-01,253
2012-11-01,218
2012-12-01,228
2013-01-01,211
2013-02-01,236
2013-03-01,286
2013-04-01,198
2013-05-01,191
2013-06-01,246
2013-07-01,289
2013-08-01,189
2013-09-01,214
2013-10-01,232
2013-11-01,212
2013-12-01,273
2014-01-01,236
2014-02-01,275
2014-03-01,281
