DATE,A792RC0Q052SBEA
1947-01-01,1325.0
1947-04-01,1319.0
1947-07-01,1369
1947-10-01,1383.0
1948-01-01,1417.0
1948-04-01,1449.0
1948-07-01,1480.0
1948-10-01,1478
1949-01-01,1430.0
1949-04-01,1417.0
1949-07-01,1408
1949-10-01,1404.0
1950-01-01,1501
1950-04-01,1505
1950-07-01,1553.0
1950-10-01,1604.0
1951-01-01,1658.0
1951-04-01,1710.0
1951-07-01,1730.0
1951-10-01,1752.0
1952-01-01,1758.0
1952-04-01,1777.0
1952-07-01,1814.0
1952-10-01,1848.0
1953-01-01,1869.0
1953-04-01,1886.0
1953-07-01,1877.0
1953-10-01,1868.0
1954-01-01,1860.0
1954-04-01,1851.0
1954-07-01,1854.0
1954-10-01,1878.0
1955-01-01,1909.0
1955-04-01,1947.0
1955-07-01,1983.0
1955-10-01,2004.0
1956-01-01,2029.0
1956-04-01,2055.0
1956-07-01,2077.0
1956-10-01,2112.0
1957-01-01,2129.0
1957-04-01,2148.0
1957-07-01,2165.0
1957-10-01,2150.0
1958-01-01,2145.0
1958-04-01,2151.0
1958-07-01,2193.0
1958-10-01,2215.0
1959-01-01,2238.0
1959-04-01,2277.0
1959-07-01,2280.0
1959-10-01,2302.0
1960-01-01,2324.0
1960-04-01,2338.0
1960-07-01,2341.0
1960-10-01,2339.0
1961-01-01,2355.0
1961-04-01,2380.0
1961-07-01,2409.0
1961-10-01,2446.0
1962-01-01,2475.0
1962-04-01,2507.0
1962-07-01,2522.0
1962-10-01,2546
1963-01-01,2566.0
1963-04-01,2584
1963-07-01,2611.0
1963-10-01,2651
1964-01-01,2693
1964-04-01,2733.0
1964-07-01,2773.0
1964-10-01,2809.0
1965-01-01,2858.0
1965-04-01,2900.0
1965-07-01,2964.0
1965-10-01,3022.0
1966-01-01,3080.0
1966-04-01,3122.0
1966-07-01,3180.0
1966-10-01,3239.0
1967-01-01,3286.0
1967-04-01,3314
1967-07-01,3375.0
1967-10-01,3423
1968-01-01,3513
1968-04-01,3604.0
1968-07-01,3688.0
1968-10-01,3759.0
1969-01-01,3824.0
1969-04-01,3906.0
1969-07-01,3998.0
1969-10-01,4061.0
1970-01-01,4124.0
1970-04-01,4201.0
1970-07-01,4258.0
1970-10-01,4287.0
1971-01-01,4371.0
1971-04-01,4471.0
1971-07-01,4525.0
1971-10-01,4598.0
1972-01-01,4717.0
1972-04-01,4790.0
1972-07-01,4901.0
1972-10-01,5111.0
1973-01-01,5185.0
1973-04-01,5314.0
1973-07-01,5432.0
1973-10-01,5598.0
1974-01-01,5662.0
1974-04-01,5772.0
1974-07-01,5926.0
1974-10-01,6048.0
1975-01-01,6128.0
1975-04-01,6260.0
1975-07-01,6410.0
1975-10-01,6561.0
1976-01-01,6701.0
1976-04-01,6802.0
1976-07-01,6954.0
1976-10-01,7102.0
1977-01-01,7241.0
1977-04-01,7424.0
1977-07-01,7606.0
1977-10-01,7854.0
1978-01-01,8020.0
1978-04-01,8270.0
1978-07-01,8490.0
1978-10-01,8704.0
1979-01-01,8946.0
1979-04-01,9100.0
1979-07-01,9364.0
1979-10-01,9595.0
1980-01-01,9849.0
1980-04-01,9986.0
1980-07-01,10300.0
1980-10-01,10690.0
1981-01-01,10944.0
1981-04-01,11138.0
1981-07-01,11537.0
1981-10-01,11649.0
1982-01-01,11775.0
1982-04-01,11943.0
1982-07-01,12088.0
1982-10-01,12241.0
1983-01-01,12388.0
1983-04-01,12577.0
1983-07-01,12797.0
1983-10-01,13132.0
1984-01-01,13481.0
1984-04-01,13803.0
1984-07-01,14082.0
1984-10-01,14278.0
1985-01-01,14522.0
1985-04-01,14665.0
1985-07-01,14832.0
1985-10-01,15061.0
1986-01-01,15295.0
1986-04-01,15431.0
1986-07-01,15583.0
1986-10-01,15699.0
1987-01-01,15880.0
1987-04-01,16086.0
1987-07-01,16338.0
1987-10-01,16703.0
1988-01-01,17007.0
1988-04-01,17291.0
1988-07-01,17627.0
1988-10-01,17932.0
1989-01-01,18396.0
1989-04-01,18574.0
1989-07-01,18746.0
1989-10-01,18999.0
1990-01-01,19344.0
1990-04-01,19613.0
1990-07-01,19789.0
1990-10-01,19808.0
1991-01-01,19812.0
1991-04-01,19996.0
1991-07-01,20130.0
1991-10-01,20363.0
1992-01-01,20726.0
1992-04-01,21024.0
1992-07-01,21181.0
1992-10-01,21410.0
1993-01-01,21447.0
1993-04-01,21672.0
1993-07-01,21757.0
1993-10-01,21994.0
1994-01-01,22124.0
