DATE,WPS4321
2009-01-01,97.9
2009-02-01,98.1
2009-03-01,98.4
2009-04-01,99.0
2009-05-01,99.1
2009-06-01,99.2
2009-07-01,99.1
2009-08-01,99.2
2009-09-01,99.0
2009-10-01,98.8
2009-11-01,98.5
2009-12-01,98.5
2010-01-01,98.4
2010-02-01,97.7
2010-03-01,97.9
2010-04-01,97.7
2010-05-01,97.2
2010-06-01,96.9
2010-07-01,96.7
2010-08-01,96.4
2010-09-01,96.7
2010-10-01,96.7
2010-11-01,96.3
2010-12-01,95.9
2011-01-01,95.8
2011-02-01,95.7
2011-03-01,95.5
2011-04-01,95.2
2011-05-01,95.1
2011-06-01,94.8
2011-07-01,94.6
2011-08-01,94.4
2011-09-01,94.0
2011-10-01,93.8
2011-11-01,93.7
2011-12-01,93.7
2012-01-01,93.6
2012-02-01,93.8
2012-03-01,93.8
2012-04-01,93.9
2012-05-01,94.4
2012-06-01,94.7
2012-07-01,95.5
2012-08-01,95.3
2012-09-01,96.1
2012-10-01,96.7
2012-11-01,97.8
2012-12-01,98.6
2013-01-01,99.4
2013-02-01,99.7
2013-03-01,100.1
2013-04-01,101.3
2013-05-01,101.7
2013-06-01,103.0
2013-07-01,104.8
2013-08-01,104.2
2013-09-01,105.6
2013-10-01,106.3
2013-11-01,106.6
2013-12-01,107.9
2014-01-01,109.3
2014-02-01,110.7
2014-03-01,111.7
2014-04-01,112.5
2014-05-01,111.5
2014-06-01,111.6
2014-07-01,111.9
2014-08-01,112.2
2014-09-01,112.7
2014-10-01,113.3
2014-11-01,114.0
2014-12-01,114.1
2015-01-01,114.6
2015-02-01,114.9
2015-03-01,115.2
2015-04-01,115.4
2015-05-01,115.9
2015-06-01,116.2
2015-07-01,116.8
2015-08-01,117.4
2015-09-01,117.6
2015-10-01,118.4
2015-11-01,118.8
2015-12-01,119.2
2016-01-01,119.5
2016-02-01,119.8
2016-03-01,120.2
2016-04-01,120.8
2016-05-01,121.6
2016-06-01,121.9
2016-07-01,121.1
2016-08-01,123.3
2016-09-01,123.5
2016-10-01,123.8
2016-11-01,124.0
2016-12-01,124.5
2017-01-01,124.9
2017-02-01,125.3
2017-03-01,126.1
2017-04-01,127.5
2017-05-01,128.2
2017-06-01,129.3
2017-07-01,129.7
2017-08-01,130.4
2017-09-01,131.1
2017-10-01,131.6
2017-11-01,132.3
2017-12-01,133.2
2018-01-01,138.1
2018-02-01,138.7
2018-03-01,139.5
2018-04-01,140.5
2018-05-01,140.7
2018-06-01,141.0
2018-07-01,141.1
2018-08-01,141.6
2018-09-01,142.1
2018-10-01,142.7
2018-11-01,143.0
2018-12-01,143.4
2019-01-01,144.1
2019-02-01,144.7
2019-03-01,145.1
2019-04-01,145.1
2019-05-01,145.1
2019-06-01,145.4
2019-07-01,145.9
2019-08-01,145.8
2019-09-01,146.7
2019-10-01,147.8
2019-11-01,148.4
2019-12-01,148.9
2020-01-01,149.4
2020-02-01,149.7
2020-03-01,149.9
2020-04-01,150.1
2020-05-01,150.4
2020-06-01,151.4
2020-07-01,151.7
2020-08-01,151.7
2020-09-01,153.1
2020-10-01,155.2
2020-11-01,157.4
2020-12-01,159.5
2021-01-01,162.8
2021-02-01,163.6
2021-03-01,165.1
2021-04-01,167.3
2021-05-01,168.5
2021-06-01,170.5
2021-07-01,172.391
2021-08-01,173.818
2021-09-01,175.670
2021-10-01,176.300
2021-11-01,177.229
2021-12-01,178.072
2022-01-01,184.447
2022-02-01,186.394
2022-03-01,187.704
2022-04-01,186.645
2022-05-01,187.654
2022-06-01,188.703
2022-07-01,189.768
2022-08-01,191.024
2022-09-01,191.525
2022-10-01,191.250
2022-11-01,190.861
2022-12-01,190.903
2023-01-01,191.009
2023-02-01,190.495
2023-03-01,191.303
2023-04-01,192.329
2023-05-01,193.931
2023-06-01,195.715
2023-07-01,196.906
2023-08-01,199.385
2023-09-01,199.569
2023-10-01,200.391
2023-11-01,200.602
2023-12-01,201.505
2024-01-01,201.067
2024-02-01,200.843
2024-03-01,200.846
2024-04-01,202.949
2024-05-01,203.931
2024-06-01,204.886
2024-07-01,205.498
2024-08-01,205.740
