DATE,PCU5311353113
2003-12-01,100.0
2004-01-01,99.3
2004-02-01,100.1
2004-03-01,100.1
2004-04-01,102.3
2004-05-01,104.4
2004-06-01,102.4
2004-07-01,102.2
2004-08-01,102.2
2004-09-01,102.4
2004-10-01,103.5
2004-11-01,102.4
2004-12-01,102.6
2005-01-01,101.8
2005-02-01,102.8
2005-03-01,104.3
2005-04-01,105.0
2005-05-01,104.3
2005-06-01,106.6
2005-07-01,105.2
2005-08-01,105.5
2005-09-01,107.1
2005-10-01,107.7
2005-11-01,109.1
2005-12-01,107.7
2006-01-01,107.8
2006-02-01,107.9
2006-03-01,107.9
2006-04-01,108.1
2006-05-01,108.8
2006-06-01,111.1
2006-07-01,111.4
2006-08-01,109.5
2006-09-01,110.4
2006-10-01,109.4
2006-11-01,109.4
2006-12-01,108.9
2007-01-01,109.1
2007-02-01,109.1
2007-03-01,107.8
2007-04-01,108.3
2007-05-01,109.4
2007-06-01,112.6
2007-07-01,112.4
2007-08-01,113.8
2007-09-01,112.2
2007-10-01,111.0
2007-11-01,110.9
2007-12-01,110.3
2008-01-01,110.5
2008-02-01,110.0
2008-03-01,111.3
2008-04-01,112.2
2008-05-01,111.4
2008-06-01,113.6
2008-07-01,115.5
2008-08-01,115.3
2008-09-01,115.9
2008-10-01,115.3
2008-11-01,114.9
2008-12-01,114.3
2009-01-01,114.0
2009-02-01,113.6
2009-03-01,113.4
2009-04-01,112.5
2009-05-01,112.3
2009-06-01,112.2
2009-07-01,112.5
2009-08-01,112.7
2009-09-01,112.9
2009-10-01,112.8
2009-11-01,113.3
2009-12-01,112.6
2010-01-01,112.5
2010-02-01,111.5
2010-03-01,110.1
2010-04-01,110.6
2010-05-01,110.2
2010-06-01,111.5
2010-07-01,111.4
2010-08-01,111.9
2010-09-01,111.3
2010-10-01,111.0
2010-11-01,110.9
2010-12-01,110.6
2011-01-01,110.6
2011-02-01,110.1
2011-03-01,110.7
2011-04-01,110.8
2011-05-01,112.2
2011-06-01,112.9
2011-07-01,114.0
2011-08-01,113.4
2011-09-01,113.6
2011-10-01,113.6
2011-11-01,113.8
2011-12-01,113.5
2012-01-01,113.6
2012-02-01,113.2
2012-03-01,113.3
2012-04-01,113.8
2012-05-01,114.0
2012-06-01,114.7
2012-07-01,116.4
2012-08-01,116.7
2012-09-01,117.6
2012-10-01,116.8
2012-11-01,116.5
2012-12-01,116.4
2013-01-01,116.0
2013-02-01,116.1
2013-03-01,116.1
2013-04-01,116.0
2013-05-01,117.0
2013-06-01,117.6
2013-07-01,120.0
2013-08-01,120.4
2013-09-01,120.5
2013-10-01,120.1
2013-11-01,120.3
2013-12-01,120.1
2014-01-01,119.9
2014-02-01,119.9
2014-03-01,120.3
2014-04-01,121.2
2014-05-01,121.1
2014-06-01,121.7
2014-07-01,126.3
2014-08-01,126.9
2014-09-01,127.2
2014-10-01,127.3
2014-11-01,127.8
2014-12-01,127.9
2015-01-01,128.1
2015-02-01,128.4
2015-03-01,128.5
2015-04-01,128.5
2015-05-01,128.6
2015-06-01,129.2
2015-07-01,135.2
2015-08-01,136.6
2015-09-01,137.3
2015-10-01,137.4
2015-11-01,137.9
2015-12-01,138.5
2016-01-01,138.7
2016-02-01,138.8
2016-03-01,139.1
2016-04-01,139.2
2016-05-01,139.6
2016-06-01,140.5
2016-07-01,142.3
2016-08-01,142.9
2016-09-01,143.4
2016-10-01,144.2
2016-11-01,144.4
2016-12-01,144.6
2017-01-01,145.0
2017-02-01,145.2
2017-03-01,144.9
2017-04-01,144.8
2017-05-01,145.0
2017-06-01,145.4
2017-07-01,145.6
2017-08-01,145.6
2017-09-01,145.9
2017-10-01,144.3
2017-11-01,144.7
2017-12-01,144.7
2018-01-01,145.2
2018-02-01,145.0
2018-03-01,145.3
2018-04-01,146.0
2018-05-01,146.9
2018-06-01,147.4
2018-07-01,147.9
2018-08-01,147.9
2018-09-01,149.0
2018-10-01,148.5
2018-11-01,148.7
2018-12-01,148.7
2019-01-01,149.4
2019-02-01,148.9
2019-03-01,148.8
2019-04-01,148.9
2019-05-01,149.3
2019-06-01,151.0
2019-07-01,151.5
2019-08-01,151.8
2019-09-01,149.5
2019-10-01,149.5
2019-11-01,149.6
2019-12-01,149.6
2020-01-01,149.0
2020-02-01,147.9
2020-03-01,147.3
2020-04-01,147.3
2020-05-01,146.1
2020-06-01,144.7
2020-07-01,144.0
2020-08-01,145.4
2020-09-01,146.2
2020-10-01,147.0
2020-11-01,148.6
2020-12-01,149.3
2021-01-01,150.0
2021-02-01,150.3
2021-03-01,151.3
2021-04-01,151.9
2021-05-01,155.7
2021-06-01,157.3
2021-07-01,159.886
2021-08-01,162.724
2021-09-01,164.948
2021-10-01,167.159
2021-11-01,167.700
2021-12-01,169.667
2022-01-01,169.976
2022-02-01,171.776
2022-03-01,177.159
2022-04-01,179.209
2022-05-01,183.411
2022-06-01,183.170
2022-07-01,185.875
2022-08-01,189.700
2022-09-01,192.512
2022-10-01,194.053
2022-11-01,194.552
2022-12-01,194.370
2023-01-01,195.011
2023-02-01,194.204
2023-03-01,193.697
2023-04-01,195.450
2023-05-01,195.292
2023-06-01,197.229
2023-07-01,197.801
2023-08-01,198.829
2023-09-01,199.196
2023-10-01,197.518
2023-11-01,199.342
2023-12-01,200.623
2024-01-01,200.595
2024-02-01,196.908
2024-03-01,196.964
2024-04-01,195.522
2024-05-01,189.347
2024-06-01,188.719
2024-07-01,188.498
2024-08-01,189.625
