DATE,PCU5311205311203
1995-12-01,100.0
1996-01-01,97.5
1996-02-01,97.5
1996-03-01,97.5
1996-04-01,97.6
1996-05-01,97.3
1996-06-01,97.2
1996-07-01,97.2
1996-08-01,97.3
1996-09-01,97.0
1996-10-01,96.2
1996-11-01,97.0
1996-12-01,97.1
1997-01-01,95.5
1997-02-01,97.7
1997-03-01,97.3
1997-04-01,95.0
1997-05-01,95.2
1997-06-01,95.8
1997-07-01,95.6
1997-08-01,95.5
1997-09-01,96.9
1997-10-01,96.4
1997-11-01,97.9
1997-12-01,97.8
1998-01-01,98.0
1998-02-01,98.5
1998-03-01,99.9
1998-04-01,100.2
1998-05-01,100.9
1998-06-01,100.1
1998-07-01,100.8
1998-08-01,99.8
1998-09-01,99.9
1998-10-01,101.8
1998-11-01,101.7
1998-12-01,102.6
1999-01-01,102.2
1999-02-01,102.2
1999-03-01,101.6
1999-04-01,106.3
1999-05-01,106.4
1999-06-01,106.5
1999-07-01,106.4
1999-08-01,106.5
1999-09-01,106.6
1999-10-01,107.0
1999-11-01,107.0
1999-12-01,107.0
2000-01-01,107.4
2000-02-01,108.7
2000-03-01,110.9
2000-04-01,110.9
2000-05-01,111.2
2000-06-01,111.2
2000-07-01,104.8
2000-08-01,106.5
2000-09-01,107.0
2000-10-01,107.0
2000-11-01,107.0
2000-12-01,108.5
2001-01-01,109.5
2001-02-01,109.3
2001-03-01,109.5
2001-04-01,110.0
2001-05-01,110.0
2001-06-01,110.0
2001-07-01,110.1
2001-08-01,110.2
2001-09-01,110.3
2001-10-01,109.8
2001-11-01,110.3
2001-12-01,110.4
2002-01-01,109.1
2002-02-01,110.3
2002-03-01,111.6
2002-04-01,111.7
2002-05-01,110.7
2002-06-01,110.7
2002-07-01,110.8
2002-08-01,111.1
2002-09-01,111.1
2002-10-01,112.6
2002-11-01,112.5
2002-12-01,112.6
2003-01-01,114.4
2003-02-01,114.9
2003-03-01,116.4
2003-04-01,117.8
2003-05-01,117.7
2003-06-01,118.0
2003-07-01,119.7
2003-08-01,118.9
2003-09-01,119.0
2003-10-01,118.9
2003-11-01,123.3
2003-12-01,123.1
2004-01-01,123.2
2004-02-01,123.4
2004-03-01,123.4
2004-04-01,123.8
2004-05-01,123.8
2004-06-01,124.0
2004-07-01,123.1
2004-08-01,123.2
2004-09-01,123.5
2004-10-01,123.6
2004-11-01,123.9
2004-12-01,123.5
2005-01-01,123.6
2005-02-01,123.8
2005-03-01,123.8
2005-04-01,124.5
2005-05-01,124.3
2005-06-01,124.0
2005-07-01,124.9
2005-08-01,125.0
2005-09-01,124.8
2005-10-01,125.2
2005-11-01,124.6
2005-12-01,124.6
2006-01-01,124.2
2006-02-01,124.2
2006-03-01,123.7
2006-04-01,127.6
2006-05-01,127.5
2006-06-01,127.7
2006-07-01,135.3
2006-08-01,133.8
2006-09-01,132.9
2006-10-01,129.2
2006-11-01,134.1
2006-12-01,133.8
2007-01-01,131.8
2007-02-01,134.0
2007-03-01,134.9
2007-04-01,131.9
2007-05-01,124.5
2007-06-01,126.0
2007-07-01,126.0
2007-08-01,125.5
2007-09-01,129.2
2007-10-01,127.7
2007-11-01,128.4
2007-12-01,127.1
2008-01-01,128.8
2008-02-01,122.9
2008-03-01,126.8
2008-04-01,123.7
2008-05-01,124.1
2008-06-01,124.1
2008-07-01,124.1
2008-08-01,126.3
2008-09-01,126.2
2008-10-01,126.6
2008-11-01,126.4
2008-12-01,126.2
2009-01-01,126.3
2009-02-01,125.5
2009-03-01,124.3
2009-04-01,123.3
2009-05-01,124.3
2009-06-01,121.9
2009-07-01,125.2
2009-08-01,113.2
2009-09-01,108.3
2009-10-01,108.6
2009-11-01,108.3
2009-12-01,108.2
2010-01-01,108.2
2010-02-01,105.3
2010-03-01,105.4
2010-04-01,105.3
2010-05-01,107.1
2010-06-01,107.1
2010-07-01,107.0
2010-08-01,107.0
2010-09-01,107.1
2010-10-01,106.8
2010-11-01,107.2
2010-12-01,107.2
2011-01-01,107.2
2011-02-01,107.5
2011-03-01,107.6
2011-04-01,107.6
2011-05-01,107.4
2011-06-01,107.4
2011-07-01,107.7
2011-08-01,107.8
2011-09-01,107.7
2011-10-01,107.8
2011-11-01,108.2
2011-12-01,108.1
2012-01-01,108.5
2012-02-01,108.7
2012-03-01,109.0
2012-04-01,108.9
2012-05-01,108.7
2012-06-01,108.8
2012-07-01,109.0
2012-08-01,109.0
2012-09-01,109.0
2012-10-01,109.2
2012-11-01,109.6
2012-12-01,109.4
2013-01-01,109.4
2013-02-01,110.2
2013-03-01,110.5
2013-04-01,110.1
2013-05-01,109.8
2013-06-01,109.7
2013-07-01,110.6
2013-08-01,110.8
2013-09-01,110.9
2013-10-01,110.3
2013-11-01,110.4
2013-12-01,109.3
2014-01-01,109.9
2014-02-01,109.9
2014-03-01,109.4
2014-04-01,109.7
2014-05-01,110.0
2014-06-01,110.4
2014-07-01,111.0
2014-08-01,111.4
2014-09-01,111.7
2014-10-01,111.7
2014-11-01,110.5
2014-12-01,111.0
2015-01-01,110.8
2015-02-01,111.8
2015-03-01,111.8
2015-04-01,111.8
2015-05-01,112.0
2015-06-01,112.1
2015-07-01,112.3
2015-08-01,112.2
2015-09-01,112.5
2015-10-01,113.1
2015-11-01,112.7
2015-12-01,113.2
2016-01-01,113.3
2016-02-01,114.0
2016-03-01,114.1
2016-04-01,113.9
2016-05-01,114.4
2016-06-01,115.2
2016-07-01,115.2
2016-08-01,114.3
2016-09-01,115.1
2016-10-01,115.6
2016-11-01,116.2
2016-12-01,116.8
2017-01-01,117.8
2017-02-01,118.7
2017-03-01,118.3
2017-04-01,118.3
2017-05-01,118.1
2017-06-01,118.1
2017-07-01,119.0
2017-08-01,119.5
2017-09-01,119.4
2017-10-01,119.5
2017-11-01,119.5
2017-12-01,120.4
2018-01-01,122.0
2018-02-01,118.1
2018-03-01,118.9
2018-04-01,118.6
2018-05-01,118.7
2018-06-01,118.8
2018-07-01,119.1
2018-08-01,120.0
2018-09-01,120.3
2018-10-01,120.6
2018-11-01,120.7
2018-12-01,122.3
2019-01-01,122.3
2019-02-01,123.2
2019-03-01,123.3
2019-04-01,123.8
2019-05-01,123.6
2019-06-01,123.9
2019-07-01,124.7
2019-08-01,126.0
2019-09-01,125.7
2019-10-01,127.8
2019-11-01,128.4
2019-12-01,128.8
2020-01-01,128.9
2020-02-01,129.1
2020-03-01,129.6
2020-04-01,130.2
2020-05-01,130.1
2020-06-01,129.6
2020-07-01,129.4
2020-08-01,130.0
2020-09-01,129.0
2020-10-01,128.9
2020-11-01,129.0
2020-12-01,131.2
2021-01-01,131.3
2021-02-01,131.5
2021-03-01,131.3
2021-04-01,132.3
2021-05-01,132.2
2021-06-01,131.5
2021-07-01,131.432
2021-08-01,131.903
2021-09-01,132.630
2021-10-01,132.903
2021-11-01,132.937
2021-12-01,133.528
2022-01-01,134.505
2022-02-01,135.855
2022-03-01,136.229
2022-04-01,136.863
2022-05-01,136.909
2022-06-01,136.791
2022-07-01,136.875
2022-08-01,137.102
2022-09-01,136.946
2022-10-01,137.006
2022-11-01,136.961
2022-12-01,138.113
2023-01-01,140.081
2023-02-01,140.259
2023-03-01,140.460
2023-04-01,141.128
2023-05-01,141.025
2023-06-01,139.971
2023-07-01,140.344
2023-08-01,140.630
2023-09-01,140.260
2023-10-01,141.106
2023-11-01,141.106
2023-12-01,141.899
2024-01-01,149.188
2024-02-01,149.143
2024-03-01,149.316
2024-04-01,149.471
2024-05-01,149.519
2024-06-01,149.675
2024-07-01,150.318
2024-08-01,149.852
