DATE,PCU5311205311202
1995-12-01,100.0
1996-01-01,99.9
1996-02-01,100.6
1996-03-01,101.1
1996-04-01,101.4
1996-05-01,101.7
1996-06-01,97.4
1996-07-01,96.3
1996-08-01,96.7
1996-09-01,97.2
1996-10-01,97.3
1996-11-01,97.6
1996-12-01,97.3
1997-01-01,97.6
1997-02-01,97.5
1997-03-01,98.0
1997-04-01,100.0
1997-05-01,100.3
1997-06-01,100.1
1997-07-01,100.5
1997-08-01,100.6
1997-09-01,100.9
1997-10-01,101.0
1997-11-01,100.9
1997-12-01,100.9
1998-01-01,101.3
1998-02-01,102.5
1998-03-01,101.7
1998-04-01,101.9
1998-05-01,102.0
1998-06-01,101.8
1998-07-01,102.3
1998-08-01,102.5
1998-09-01,102.6
1998-10-01,102.9
1998-11-01,103.4
1998-12-01,100.9
1999-01-01,102.4
1999-02-01,106.4
1999-03-01,105.9
1999-04-01,106.2
1999-05-01,106.2
1999-06-01,105.8
1999-07-01,106.2
1999-08-01,106.1
1999-09-01,106.5
1999-10-01,105.0
1999-11-01,109.3
1999-12-01,109.9
2000-01-01,109.4
2000-02-01,109.4
2000-03-01,111.0
2000-04-01,109.7
2000-05-01,109.4
2000-06-01,110.5
2000-07-01,112.0
2000-08-01,113.6
2000-09-01,112.6
2000-10-01,112.2
2000-11-01,112.0
2000-12-01,113.0
2001-01-01,113.8
2001-02-01,113.2
2001-03-01,113.2
2001-04-01,113.8
2001-05-01,116.4
2001-06-01,116.3
2001-07-01,116.1
2001-08-01,116.0
2001-09-01,116.2
2001-10-01,116.8
2001-11-01,115.1
2001-12-01,116.3
2002-01-01,117.4
2002-02-01,117.8
2002-03-01,120.1
2002-04-01,118.4
2002-05-01,119.7
2002-06-01,122.7
2002-07-01,122.3
2002-08-01,122.0
2002-09-01,122.2
2002-10-01,118.1
2002-11-01,121.1
2002-12-01,121.6
2003-01-01,122.0
2003-02-01,124.0
2003-03-01,123.4
2003-04-01,124.0
2003-05-01,123.2
2003-06-01,122.7
2003-07-01,123.7
2003-08-01,122.9
2003-09-01,122.2
2003-10-01,121.9
2003-11-01,122.3
2003-12-01,122.5
2004-01-01,122.9
2004-02-01,122.0
2004-03-01,123.4
2004-04-01,123.7
2004-05-01,122.7
2004-06-01,122.4
2004-07-01,124.0
2004-08-01,123.0
2004-09-01,123.1
2004-10-01,123.5
2004-11-01,122.7
2004-12-01,122.8
2005-01-01,123.3
2005-02-01,122.7
2005-03-01,123.0
2005-04-01,125.0
2005-05-01,124.4
2005-06-01,124.4
2005-07-01,125.1
2005-08-01,125.0
2005-09-01,125.6
2005-10-01,125.5
2005-11-01,123.6
2005-12-01,124.8
2006-01-01,127.0
2006-02-01,126.0
2006-03-01,126.1
2006-04-01,127.4
2006-05-01,127.0
2006-06-01,127.2
2006-07-01,127.6
2006-08-01,126.7
2006-09-01,126.8
2006-10-01,126.4
2006-11-01,124.8
2006-12-01,124.9
2007-01-01,125.4
2007-02-01,125.6
2007-03-01,125.8
2007-04-01,126.7
2007-05-01,126.2
2007-06-01,126.6
2007-07-01,126.5
2007-08-01,126.7
2007-09-01,126.7
2007-10-01,127.9
2007-11-01,127.8
2007-12-01,130.7
2008-01-01,129.7
2008-02-01,132.3
2008-03-01,133.5
2008-04-01,134.0
2008-05-01,133.9
2008-06-01,134.5
2008-07-01,135.0
2008-08-01,134.0
2008-09-01,133.5
2008-10-01,134.0
2008-11-01,132.9
2008-12-01,132.3
2009-01-01,134.0
2009-02-01,132.3
2009-03-01,134.0
2009-04-01,132.0
2009-05-01,132.3
2009-06-01,131.7
2009-07-01,133.2
2009-08-01,131.9
2009-09-01,135.0
2009-10-01,134.1
2009-11-01,134.9
2009-12-01,134.5
2010-01-01,133.9
2010-02-01,133.9
2010-03-01,133.8
2010-04-01,133.4
2010-05-01,134.7
2010-06-01,134.4
2010-07-01,134.5
2010-08-01,134.6
2010-09-01,134.3
2010-10-01,134.0
2010-11-01,134.3
2010-12-01,134.2
2011-01-01,133.7
2011-02-01,133.1
2011-03-01,133.2
2011-04-01,133.4
2011-05-01,133.4
2011-06-01,133.6
2011-07-01,133.3
2011-08-01,133.9
2011-09-01,134.0
2011-10-01,133.5
2011-11-01,133.7
2011-12-01,133.6
2012-01-01,134.2
2012-02-01,134.1
2012-03-01,134.2
2012-04-01,134.5
2012-05-01,134.7
