DATE,PCU531120531120
1995-12-01,100.0
1996-01-01,100.7
1996-02-01,100.5
1996-03-01,100.8
1996-04-01,101.2
1996-05-01,101.2
1996-06-01,98.8
1996-07-01,98.1
1996-08-01,98.3
1996-09-01,98.4
1996-10-01,98.6
1996-11-01,99.0
1996-12-01,99.4
1997-01-01,99.9
1997-02-01,98.7
1997-03-01,99.5
1997-04-01,101.0
1997-05-01,101.3
1997-06-01,101.1
1997-07-01,101.6
1997-08-01,101.3
1997-09-01,101.8
1997-10-01,102.0
1997-11-01,101.8
1997-12-01,101.6
1998-01-01,103.2
1998-02-01,103.7
1998-03-01,102.7
1998-04-01,103.0
1998-05-01,103.3
1998-06-01,103.0
1998-07-01,103.5
1998-08-01,103.3
1998-09-01,103.4
1998-10-01,103.7
1998-11-01,103.5
1998-12-01,102.8
1999-01-01,103.3
1999-02-01,105.2
1999-03-01,104.9
1999-04-01,105.5
1999-05-01,105.5
1999-06-01,105.4
1999-07-01,106.0
1999-08-01,106.0
1999-09-01,106.1
1999-10-01,105.6
1999-11-01,108.1
1999-12-01,108.7
2000-01-01,108.3
2000-02-01,108.2
2000-03-01,109.4
2000-04-01,108.3
2000-05-01,108.5
2000-06-01,108.4
2000-07-01,109.0
2000-08-01,110.0
2000-09-01,109.7
2000-10-01,109.2
2000-11-01,109.3
2000-12-01,110.1
2001-01-01,111.2
2001-02-01,110.5
2001-03-01,110.3
2001-04-01,110.7
2001-05-01,112.0
2001-06-01,112.3
2001-07-01,112.5
2001-08-01,112.4
2001-09-01,112.3
2001-10-01,112.0
2001-11-01,111.0
2001-12-01,111.5
2002-01-01,112.5
2002-02-01,113.4
2002-03-01,114.7
2002-04-01,114.2
2002-05-01,114.0
2002-06-01,115.4
2002-07-01,115.3
2002-08-01,115.1
2002-09-01,115.2
2002-10-01,113.3
2002-11-01,114.8
2002-12-01,114.8
2003-01-01,114.2
2003-02-01,114.9
2003-03-01,115.4
2003-04-01,115.7
2003-05-01,115.8
2003-06-01,114.8
2003-07-01,115.1
2003-08-01,116.6
2003-09-01,115.8
