DATE,JTS1000QUL
2000-12-01,2739
2001-01-01,3086
2001-02-01,2885
2001-03-01,2889
2001-04-01,3032
2001-05-01,2814
2001-06-01,2745
2001-07-01,2786
2001-08-01,2760
2001-09-01,2569
2001-10-01,2654
2001-11-01,2409
2001-12-01,2398
2002-01-01,2693
2002-02-01,2409
2002-03-01,2356
2002-04-01,2467
2002-05-01,2403
2002-06-01,2372
2002-07-01,2418
2002-08-01,2414
2002-09-01,2365
2002-10-01,2277
2002-11-01,2248
2002-12-01,2355
2003-01-01,2287
2003-02-01,2353
2003-03-01,2260
2003-04-01,2142
2003-05-01,2147
2003-06-01,2188
2003-07-01,2129
2003-08-01,2043
2003-09-01,2216
2003-10-01,2279
2003-11-01,2274
2003-12-01,2297
2004-01-01,2220
2004-02-01,2299
2004-03-01,2438
2004-04-01,2388
2004-05-01,2282
2004-06-01,2515
2004-07-01,2471
2004-08-01,2453
2004-09-01,2394
2004-10-01,2415
2004-11-01,2653
2004-12-01,2553
2005-01-01,2589
2005-02-01,2507
2005-03-01,2600
2005-04-01,2600
2005-05-01,2619
2005-06-01,2601
2005-07-01,2609
2005-08-01,2800
2005-09-01,2883
2005-10-01,2693
2005-11-01,2733
2005-12-01,2697
2006-01-01,2781
2006-02-01,2800
2006-03-01,2786
2006-04-01,2618
2006-05-01,2824
2006-06-01,2873
2006-07-01,2878
2006-08-01,2873
2006-09-01,2727
2006-10-01,2823
2006-11-01,2878
2006-12-01,2838
2007-01-01,2775
2007-02-01,2776
2007-03-01,2826
2007-04-01,2739
2007-05-01,2831
2007-06-01,2744
2007-07-01,2783
2007-08-01,2846
2007-09-01,2530
2007-10-01,2767
2007-11-01,2627
2007-12-01,2626
2008-01-01,2699
2008-02-01,2732
2008-03-01,2523
2008-04-01,2690
2008-05-01,2472
2008-06-01,2460
2008-07-01,2361
2008-08-01,2297
2008-09-01,2331
2008-10-01,2216
2008-11-01,2040
2008-12-01,1958
2009-01-01,1871
2009-02-01,1850
2009-03-01,1726
2009-04-01,1608
2009-05-01,1579
2009-06-01,1586
2009-07-01,1577
2009-08-01,1453
2009-09-01,1526
2009-10-01,1564
2009-11-01,1698
2009-12-01,1654
2010-01-01,1639
2010-02-01,1727
2010-03-01,1746
2010-04-01,1792
2010-05-01,1714
2010-06-01,1778
2010-07-01,1673
2010-08-01,1728
2010-09-01,1768
2010-10-01,1739
2010-11-01,1782
2010-12-01,1865
2011-01-01,1709
2011-02-01,1846
2011-03-01,1924
2011-04-01,1774
2011-05-01,1835
2011-06-01,1822
2011-07-01,1856
2011-08-01,1906
2011-09-01,1925
2011-10-01,1889
2011-11-01,1917
2011-12-01,1838
2012-01-01,1900
2012-02-01,1991
2012-03-01,2033
2012-04-01,1994
2012-05-01,1999
2012-06-01,2028
2012-07-01,1945
2012-08-01,1940
2012-09-01,1832
2012-10-01,1902
2012-11-01,1939
2012-12-01,1920
2013-01-01,2149
2013-02-01,2169
2013-03-01,1999
2013-04-01,2143
2013-05-01,2100
2013-06-01,2077
2013-07-01,2229
2013-08-01,2189
2013-09-01,2179
2013-10-01,2242
2013-11-01,2264
2013-12-01,2149
2014-01-01,2179
2014-02-01,2276
2014-03-01,2312
2014-04-01,2333
2014-05-01,2342
2014-06-01,2389
2014-07-01,2493
2014-08-01,2397
2014-09-01,2572
2014-10-01,2565
2014-11-01,2464
2014-12-01,2411
2015-01-01,2622
2015-02-01,2592
2015-03-01,2599
2015-04-01,2558
2015-05-01,2593
2015-06-01,2592
2015-07-01,2610
2015-08-01,2717
2015-09-01,2624
2015-10-01,2643
2015-11-01,2744
2015-12-01,2890
2016-01-01,2710
2016-02-01,2832
2016-03-01,2753
2016-04-01,2792
2016-05-01,2849
2016-06-01,2805
2016-07-01,2811
2016-08-01,2810
2016-09-01,2876
2016-10-01,2899
2016-11-01,2865
2016-12-01,2826
2017-01-01,3009
2017-02-01,2911
2017-03-01,2962
2017-04-01,2869
2017-05-01,2947
2017-06-01,2991
2017-07-01,2936
2017-08-01,2930
2017-09-01,3020
2017-10-01,3057
2017-11-01,3008
2017-12-01,3047
2018-01-01,2847
2018-02-01,3058
2018-03-01,3150
2018-04-01,3184
2018-05-01,3195
2018-06-01,3193
2018-07-01,3238
2018-08-01,3258
2018-09-01,3216
2018-10-01,3273
2018-11-01,3312
2018-12-01,3231
2019-01-01,3308
2019-02-01,3366
2019-03-01,3350
2019-04-01,3317
2019-05-01,3263
2019-06-01,3308
