DATE,BOGZ1FL643065505Q
1945-10-01,0.0
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,0.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,0.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,0.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,0.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,0.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,0.0
1952-01-01,0.0
1952-04-01,0.0
1952-07-01,0.0
1952-10-01,0.0
1953-01-01,0.0
1953-04-01,0.0
1953-07-01,0.0
1953-10-01,0.0
1954-01-01,0.0
1954-04-01,0.0
1954-07-01,0.0
1954-10-01,0.0
1955-01-01,0.0
1955-04-01,0.0
1955-07-01,0.0
1955-10-01,0.0
1956-01-01,0.0
1956-04-01,0.0
1956-07-01,0.0
1956-10-01,0.0
1957-01-01,0.0
1957-04-01,0.0
1957-07-01,0.0
1957-10-01,0.0
1958-01-01,0.0
1958-04-01,0.0
1958-07-01,0.0
1958-10-01,0.0
1959-01-01,0.0
1959-04-01,0.0
1959-07-01,0.0
1959-10-01,0.0
1960-01-01,0.0
1960-04-01,0.0
1960-07-01,0.0
1960-10-01,0.0
1961-01-01,0.0
1961-04-01,0.0
1961-07-01,0.0
1961-10-01,0.0
1962-01-01,0.0
1962-04-01,0.0
1962-07-01,0.0
1962-10-01,0.0
1963-01-01,0.0
1963-04-01,0.0
1963-07-01,0.0
1963-10-01,0.0
1964-01-01,0.0
1964-04-01,0.0
1964-07-01,0.0
1964-10-01,0.0
1965-01-01,0.0
1965-04-01,0.0
1965-07-01,0.0
1965-10-01,0.0
1966-01-01,0.0
1966-04-01,0.0
1966-07-01,0.0
1966-10-01,0.0
1967-01-01,0.0
1967-04-01,0.0
1967-07-01,0.0
1967-10-01,0.0
1968-01-01,151.0
1968-04-01,343.0
1968-07-01,470.0
1968-10-01,720.0
1969-01-01,793.0
1969-04-01,976.0
1969-07-01,1065.0
1969-10-01,1301.0
1970-01-01,1224.0
1970-04-01,1426.0
1970-07-01,1639.0
1970-10-01,2030.0
1971-01-01,2247.0
1971-04-01,2585.0
1971-07-01,2899.0
1971-10-01,3240.0
1972-01-01,3455.0
1972-04-01,3913.0
1972-07-01,4288.0
1972-10-01,4967.0
1973-01-01,5459.0
1973-04-01,6170.0
1973-07-01,7120.0
1973-10-01,7476.0
1974-01-01,7730.0
1974-04-01,7699.0
1974-07-01,7868.0
1974-10-01,7672.0
1975-01-01,6803.0
1975-04-01,5868.0
1975-07-01,4665.0
1975-10-01,3804.0
1976-01-01,3500.0
1976-04-01,3191.0
1976-07-01,2875.0
1976-10-01,2552.0
1977-01-01,2379.0
1977-04-01,2207.0
1977-07-01,2034.0
1977-10-01,1861.0
1978-01-01,1831.0
1978-04-01,1798.0
1978-07-01,1748.0
1978-10-01,1733.0
1979-01-01,1720.0
1979-04-01,1706.0
1979-07-01,1692.0
1979-10-01,1678.0
1980-01-01,1653.0
1980-04-01,1629.0
1980-07-01,1605.0
1980-10-01,1580.0
1981-01-01,1572.0
1981-04-01,1565.0
1981-07-01,1557.0
1981-10-01,1551.0
1982-01-01,1565.0
1982-04-01,1580.0
1982-07-01,1595.0
1982-10-01,1610.0
1983-01-01,1583.0
1983-04-01,1556.0
1983-07-01,1529.0
1983-10-01,1503.0
1984-01-01,1613.0
1984-04-01,1730.0
1984-07-01,1841.0
1984-10-01,1918.0
1985-01-01,1974.0
1985-04-01,2051.0
1985-07-01,2134.0
1985-10-01,3846.0
1986-01-01,3998.0
1986-04-01,4200.0
1986-07-01,4267.0
1986-10-01,3851.0
1987-01-01,4006.0
1987-04-01,3988.0
1987-07-01,4210.0
1987-10-01,4529.0
1988-01-01,4726.0
1988-04-01,4752.0
1988-07-01,5104.0
1988-10-01,5647.0
1989-01-01,5473.0
1989-04-01,5431.0
1989-07-01,5331.0
1989-10-01,5439.0
1990-01-01,5389.0
1990-04-01,5369.0
1990-07-01,5354.0
1990-10-01,4989.0
1991-01-01,4884.0
1991-04-01,4831.0
1991-07-01,4699.0
1991-10-01,4466.0
1992-01-01,4368.0
1992-04-01,4708.0
1992-07-01,4511.0
1992-10-01,4753.0
1993-01-01,4620.0
1993-04-01,4568.0
1993-07-01,4532.0
1993-10-01,4477.0
1994-01-01,5232.0
1994-04-01,5835.0
1994-07-01,6239.0
1994-10-01,6127.0
1995-01-01,6058.0
1995-04-01,6112.0
1995-07-01,6011.0
1995-10-01,5644.0
1996-01-01,5154.0
1996-04-01,4815.0
1996-07-01,4470.0
1996-10-01,4646.0
1997-01-01,5100.0
1997-04-01,5642.0
1997-07-01,6002.0
1997-10-01,6851.0
1998-01-01,7971.0
1998-04-01,8504.0
1998-07-01,9309.0
1998-10-01,9371.0
1999-01-01,10046.0
1999-04-01,9991.0
1999-07-01,9868.0
1999-10-01,9971.0
2000-01-01,9717.0
2000-04-01,9613.0
2000-07-01,8799.0
2000-10-01,8004.0
2001-01-01,7659.0
2001-04-01,7027.0
2001-07-01,6960.0
2001-10-01,7904.0
2002-01-01,7313.0
2002-04-01,7616.0
2002-07-01,7876.0
2002-10-01,8100.0
2003-01-01,7994.0
2003-04-01,8280.0
2003-07-01,9006.0
2003-10-01,10122.0
2004-01-01,11749.0
2004-04-01,12530.0
2004-07-01,12734.0
2004-10-01,13623.0
2005-01-01,14250.0
2005-04-01,15441.0
2005-07-01,15388.0
2005-10-01,16836.0
2006-01-01,18587.0
2006-04-01,18923.0
2006-07-01,22426.0
2006-10-01,27147.0
2007-01-01,32550.0
2007-04-01,34083.0
2007-07-01,36299.0
2007-10-01,37260.0
2008-01-01,37592.0
2008-04-01,37821.0
2008-07-01,38308.0
2008-10-01,37690.0
2009-01-01,42142.0
2009-04-01,39602.0
2009-07-01,36585.0
2009-10-01,34819.0
2010-01-01,38291.0
2010-04-01,34941.0
2010-07-01,33965.0
2010-10-01,33660.0
2011-01-01,34425.0
2011-04-01,37215.0
2011-07-01,35125.0
2011-10-01,34593.0
2012-01-01,32578.0
2012-04-01,32302.0
2012-07-01,33902.0
2012-10-01,36134.0
2013-01-01,34301.0
2013-04-01,174517.0
2013-07-01,174662.0
2013-10-01,179293.0
2014-01-01,200255.0
2014-04-01,197811.0
2014-07-01,195190.0
2014-10-01,198182.0
2015-01-01,193057.0
2015-04-01,187860.0
2015-07-01,177421.0
2015-10-01,166785.0
2016-01-01,173808.0
2016-04-01,169921.0
2016-07-01,176728.0
2016-10-01,162794.0
2017-01-01,157046.0
2017-04-01,153977.0
2017-07-01,152931.0
2017-10-01,163467.0
2018-01-01,165141.0
2018-04-01,162302.0
2018-07-01,165474.0
2018-10-01,174519.0
2019-01-01,180525.0
2019-04-01,185548.0
2019-07-01,189478.0
2019-10-01,182771.0
2020-01-01,187760.0
2020-04-01,190160.0
2020-07-01,196761.0
2020-10-01,202158.0
2021-01-01,205533.0
2021-04-01,213629.0
2021-07-01,220532.0
2021-10-01,251923.0
2022-01-01,262334.0
2022-04-01,285942.0
2022-07-01,281881.0
2022-10-01,285169.0
2023-01-01,288992.0
2023-04-01,281663.0
