DATE,CLDDCBW027SBOG
2015-01-07,220.808
2015-01-14,221.4576
2015-01-21,222.2446
2015-01-28,222.994
2015-02-04,223.873
2015-02-11,224.9501
2015-02-18,225.7852
2015-02-25,227.5556
2015-03-04,228.1248
2015-03-11,229.2957
2015-03-18,229.8307
2015-03-25,230.1137
2015-04-01,230.6363
2015-04-08,231.6425
2015-04-15,232.3576
2015-04-22,233.165
2015-04-29,233.9448
2015-05-06,234.5192
2015-05-13,235.35
2015-05-20,236.3605
2015-05-27,236.8116
2015-06-03,237.3712
2015-06-10,238.6926
2015-06-17,239.4522
2015-06-24,239.5912
2015-07-01,240.3493
2015-07-08,240.9671
2015-07-15,242.0864
2015-07-22,243.2853
2015-07-29,243.8182
2015-08-05,243.9992
2015-08-12,244.8509
2015-08-19,245.6468
2015-08-26,246.4854
2015-09-02,246.6592
2015-09-09,247.3512
2015-09-16,248.1903
2015-09-23,248.9347
2015-09-30,249.3179
2015-10-07,249.4356
2015-10-14,250.1058
2015-10-21,251.0645
2015-10-28,251.8136
2015-11-04,252.6935
2015-11-11,253.6147
2015-11-18,254.9026
2015-11-25,255.8774
2015-12-02,256.3551
2015-12-09,257.078
2015-12-16,258.0217
2015-12-23,258.7845
2015-12-30,259.1136
2016-01-06,259.5593
2016-01-13,259.7043
2016-01-20,260.0731
2016-01-27,260.6279
2016-02-03,260.423
2016-02-10,261.329
2016-02-17,262.1333
2016-02-24,263.3269
2016-03-02,264.4066
2016-03-09,264.9365
2016-03-16,265.5742
2016-03-23,266.8228
2016-03-30,267.5471
2016-04-06,267.4556
2016-04-13,268.0858
2016-04-20,268.8004
2016-04-27,269.7525
2016-05-04,270.2258
2016-05-11,271.3359
2016-05-18,272.5362
2016-05-25,273.445
2016-06-01,274.4115
2016-06-08,274.2138
2016-06-15,274.809
2016-06-22,275.1075
2016-06-29,276.068
2016-07-06,276.9797
2016-07-13,278.1121
2016-07-20,278.0405
2016-07-27,278.9842
2016-08-03,278.8886
2016-08-10,279.817
2016-08-17,280.6369
2016-08-24,280.9035
2016-08-31,280.929
2016-09-07,280.5591
2016-09-14,281.6548
2016-09-21,281.7695
2016-09-28,282.9251
2016-10-05,283.7827
2016-10-12,284.3739
2016-10-19,285.4436
2016-10-26,286.1159
2016-11-02,286.7645
2016-11-09,287.796
2016-11-16,288.2287
2016-11-23,289.2574
2016-11-30,290.1145
2016-12-07,291.874
2016-12-14,293.2168
2016-12-21,293.371
2016-12-28,294.1292
2017-01-04,294.3476
2017-01-11,294.6886
2017-01-18,295.0841
2017-01-25,295.6433
2017-02-01,296.1728
2017-02-08,296.9676
2017-02-15,297.7093
2017-02-22,297.6712
2017-03-01,298.0411
2017-03-08,298.6434
2017-03-15,299.762
2017-03-22,299.8278
2017-03-29,300.5588
2017-04-05,300.4341
2017-04-12,301.2585
2017-04-19,301.9535
2017-04-26,302.4068
2017-05-03,302.1446
2017-05-10,302.3807
2017-05-17,302.0278
2017-05-24,302.1636
2017-05-31,302.3579
2017-06-07,302.3479
2017-06-14,302.7716
