DATE,CLDSCBW027SBOG
2015-01-07,126.3136
2015-01-14,126.5375
2015-01-21,126.9559
2015-01-28,127.0085
2015-02-04,127.5166
2015-02-11,128.2989
2015-02-18,128.675
2015-02-25,130.2144
2015-03-04,130.7876
2015-03-11,131.2568
2015-03-18,131.3955
2015-03-25,131.5739
2015-04-01,131.8814
2015-04-08,132.3501
2015-04-15,132.6437
2015-04-22,133.109
2015-04-29,133.3088
2015-05-06,133.5548
2015-05-13,133.8224
2015-05-20,134.2816
2015-05-27,134.3741
2015-06-03,135.0139
2015-06-10,135.4646
2015-06-17,135.7317
2015-06-24,136.0088
2015-07-01,136.6333
2015-07-08,136.8411
2015-07-15,137.5884
2015-07-22,138.1819
2015-07-29,138.6765
2015-08-05,139.1725
2015-08-12,139.8293
2015-08-19,140.3308
2015-08-26,140.7092
2015-09-02,140.9558
2015-09-09,141.4507
2015-09-16,141.8231
2015-09-23,142.478
2015-09-30,142.472
2015-10-07,142.5052
2015-10-14,142.9246
2015-10-21,143.9149
2015-10-28,144.5775
2015-11-04,144.6237
2015-11-11,145.3952
2015-11-18,146.6471
2015-11-25,147.2319
2015-12-02,147.3503
2015-12-09,147.6386
2015-12-16,148.3372
2015-12-23,148.8539
2015-12-30,149.1752
2016-01-06,149.3807
2016-01-13,149.6584
2016-01-20,150.0408
2016-01-27,150.2861
2016-02-03,151.0325
2016-02-10,151.3827
2016-02-17,152.0123
2016-02-24,152.6654
2016-03-02,153.6619
2016-03-09,154.2454
2016-03-16,154.733
2016-03-23,155.4112
2016-03-30,155.7087
2016-04-06,155.5252
2016-04-13,155.8352
2016-04-20,156.419
2016-04-27,157.2357
2016-05-04,157.7577
2016-05-11,158.4315
2016-05-18,159.2609
2016-05-25,159.7597
2016-06-01,160.2328
2016-06-08,160.0011
2016-06-15,160.1591
2016-06-22,160.4961
2016-06-29,160.6581
2016-07-06,161.3371
2016-07-13,161.8485
2016-07-20,161.7666
2016-07-27,162.502
2016-08-03,162.8453
2016-08-10,163.1433
2016-08-17,163.7527
2016-08-24,163.6491
2016-08-31,163.8969
2016-09-07,163.6486
2016-09-14,164.3411
2016-09-21,164.4936
2016-09-28,165.2163
2016-10-05,165.7057
2016-10-12,166.3039
2016-10-19,166.6749
2016-10-26,166.9032
2016-11-02,167.4426
2016-11-09,168.2863
2016-11-16,168.6852
2016-11-23,169.2087
2016-11-30,169.7463
2016-12-07,171.0104
2016-12-14,172.0758
2016-12-21,172.0738
2016-12-28,172.0905
2017-01-04,171.8972
2017-01-11,172.0005
2017-01-18,172.2898
2017-01-25,172.6121
2017-02-01,173.2359
2017-02-08,173.6456
2017-02-15,174.3273
2017-02-22,174.7463
2017-03-01,175.1941
2017-03-08,175.3931
2017-03-15,176.4765
2017-03-22,176.5828
2017-03-29,176.8769
2017-04-05,176.2954
2017-04-12,176.911
2017-04-19,177.1696
2017-04-26,177.7579
2017-05-03,177.7407
2017-05-10,178.3967
2017-05-17,178.2502
2017-05-24,178.6223
2017-05-31,178.7736
2017-06-07,179.1938
2017-06-14,179.7823
2017-06-21,179.6358
2017-06-28,180.4872
2017-07-05,180.6669
2017-07-12,181.1226
2017-07-19,181.4445
2017-07-26,181.3224
2017-08-02,181.4579
2017-08-09,182.2436
2017-08-16,182.7826
2017-08-23,183.2992
2017-08-30,183.8782
2017-09-06,183.7701
2017-09-13,184.0401
2017-09-20,184.656
2017-09-27,185.2479
2017-10-04,185.346
2017-10-11,185.89
2017-10-18,186.4872
2017-10-25,187.0115
2017-11-01,187.3466
2017-11-08,187.723
2017-11-15,188.1115
2017-11-22,188.5254
2017-11-29,189.1672
2017-12-06,189.4805
2017-12-13,189.8845
2017-12-20,190.1349
2017-12-27,190.3132
2018-01-03,190.792
2018-01-10,191.0344
2018-01-17,191.2989
2018-01-24,191.7683
2018-01-31,191.8218
2018-02-07,192.6217
2018-02-14,192.9635
2018-02-21,193.1833
2018-02-28,193.5963
2018-03-07,193.9782
2018-03-14,193.9656
2018-03-21,194.6139
2018-03-28,195.3555
2018-04-04,195.721
2018-04-11,195.9126
2018-04-18,196.5667
2018-04-25,196.9216
2018-05-02,197.0723
2018-05-09,197.6518
2018-05-16,197.6602
2018-05-23,198.18
2018-05-30,198.5973
2018-06-06,198.8372
2018-06-13,199.6287
2018-06-20,200.0174
2018-06-27,200.895
2018-07-04,200.4838
2018-07-11,200.9712
2018-07-18,201.2818
2018-07-25,201.6236
2018-08-01,201.7138
2018-08-08,201.941
2018-08-15,202.1481
2018-08-22,202.1746
2018-08-29,202.7006
2018-09-05,203.3414
2018-09-12,204.0915
2018-09-19,203.795
2018-09-26,203.9969
2018-10-03,204.3124
2018-10-10,205.2979
2018-10-17,205.2526
2018-10-24,205.38
2018-10-31,205.559
2018-11-07,205.8783
2018-11-14,206.4485
2018-11-21,206.5271
2018-11-28,206.8521
2018-12-05,207.7525
2018-12-12,207.8357
2018-12-19,208.338
2018-12-26,208.7266
2019-01-02,208.2799
2019-01-09,208.753
2019-01-16,209.1414
2019-01-23,209.1568
2019-01-30,209.8458
2019-02-06,210.2833
2019-02-13,210.793
2019-02-20,211.3207
2019-02-27,211.7763
2019-03-06,212.2441
2019-03-13,212.4269
2019-03-20,212.5088
2019-03-27,212.5397
2019-04-03,213.1646
2019-04-10,213.7234
2019-04-17,213.9117
2019-04-24,213.7723
2019-05-01,213.9991
2019-05-08,214.2672
2019-05-15,214.8846
2019-05-22,214.9609
2019-05-29,215.601
2019-06-05,215.7553
2019-06-12,215.8434
2019-06-19,216.4093
2019-06-26,216.7354
2019-07-03,218.2393
2019-07-10,218.908
2019-07-17,219.6348
2019-07-24,220.1834
2019-07-31,219.627
2019-08-07,219.3689
2019-08-14,218.9351
2019-08-21,218.982
2019-08-28,219.5887
2019-09-04,219.3715
2019-09-11,219.1303
2019-09-18,219.5934
2019-09-25,219.9706
2019-10-02,220.0316
2019-10-09,220.6846
2019-10-16,221.2436
2019-10-23,221.7065
2019-10-30,221.6557
2019-11-06,221.1606
2019-11-13,221.7058
2019-11-20,221.9002
2019-11-27,222.4025
2019-12-04,222.7817
2019-12-11,222.6163
2019-12-18,222.8067
2019-12-25,222.7813
2020-01-01,222.3953
2020-01-08,222.9377
2020-01-15,222.8692
2020-01-22,223.2684
2020-01-29,224.0117
2020-02-05,223.8289
2020-02-12,224.3926
2020-02-19,224.7061
2020-02-26,225.2028
2020-03-04,225.1331
2020-03-11,225.9733
2020-03-18,226.7636
2020-03-25,227.8636
2020-04-01,227.6534
2020-04-08,228.1695
2020-04-15,228.5931
2020-04-22,228.8926
2020-04-29,229.4137
2020-05-06,229.9274
2020-05-13,230.5456
2020-05-20,230.7219
2020-05-27,231.1099
2020-06-03,231.1239
2020-06-10,231.5816
2020-06-17,231.6255
2020-06-24,232.0026
2020-07-01,231.7011
2020-07-08,232.5383
2020-07-15,233.0001
2020-07-22,232.5711
2020-07-29,232.828
2020-08-05,232.8861
2020-08-12,232.9372
2020-08-19,233.6068
2020-08-26,233.3472
2020-09-02,232.8717
2020-09-09,233.2635
2020-09-16,233.2601
2020-09-23,232.8167
2020-09-30,232.2562
2020-10-07,232.9081
2020-10-14,232.7921
2020-10-21,232.7313
2020-10-28,232.3565
2020-11-04,232.6755
2020-11-11,231.7673
2020-11-18,231.7404
2020-11-25,232.2067
2020-12-02,232.4527
2020-12-09,233.0396
2020-12-16,233.4576
2020-12-23,232.9187
2020-12-30,232.8605
2021-01-06,232.614
2021-01-13,232.715
2021-01-20,233.426
2021-01-27,233.6641
2021-02-03,234.0364
2021-02-10,234.334
2021-02-17,234.1175
2021-02-24,233.9759
2021-03-03,233.64
2021-03-10,233.7707
2021-03-17,233.3436
2021-03-24,233.9647
2021-03-31,234.0873
2021-04-07,234.398
2021-04-14,234.8551
2021-04-21,234.9046
2021-04-28,235.1139
2021-05-05,235.6092
2021-05-12,235.6075
2021-05-19,236.2412
2021-05-26,236.5753
2021-06-02,237.731
2021-06-09,237.6279
2021-06-16,237.7902
2021-06-23,238.0327
2021-06-30,236.7153
