DATE,RHEACBW027SBOG
1987-06-17,23.6288
1987-06-24,23.8623
1987-07-01,24.3105
1987-07-08,24.5688
1987-07-15,24.8818
1987-07-22,25.0758
1987-07-29,25.376
1987-08-05,25.6279
1987-08-12,25.919
1987-08-19,26.1597
1987-08-26,26.4616
1987-09-02,26.7251
1987-09-09,27.1627
1987-09-16,27.2903
1987-09-23,27.5407
1987-09-30,27.9777
1987-10-07,28.0744
1987-10-14,28.3008
1987-10-21,28.5495
1987-10-28,28.7498
1987-11-04,29.0408
1987-11-11,29.5667
1987-11-18,29.5379
1987-11-25,29.7133
1987-12-02,29.8866
1987-12-09,30.0434
1987-12-16,30.339
1987-12-23,30.7479
1987-12-30,31.4632
1988-01-06,31.4251
1988-01-13,31.7334
1988-01-20,31.8625
1988-01-27,32.0465
1988-02-03,32.1443
1988-02-10,32.3731
1988-02-17,32.4976
1988-02-24,32.4963
1988-03-02,32.7034
1988-03-09,32.8887
1988-03-16,32.9361
1988-03-23,33.0604
1988-03-30,33.1795
1988-04-06,33.6302
1988-04-13,33.5895
1988-04-20,33.8
1988-04-27,34.0304
1988-05-04,34.2565
1988-05-11,34.4516
1988-05-18,34.5553
1988-05-25,34.7211
1988-06-01,35.0324
1988-06-08,35.1715
1988-06-15,35.2939
1988-06-22,35.469
1988-06-29,35.6756
1988-07-06,35.8024
1988-07-13,35.9224
1988-07-20,36.1155
1988-07-27,36.3339
1988-08-03,36.5941
1988-08-10,36.7735
1988-08-17,37.0494
1988-08-24,37.269
1988-08-31,37.5039
1988-09-07,37.6458
1988-09-14,38.075
1988-09-21,38.4338
1988-09-28,38.5736
1988-10-05,38.9317
1988-10-12,39.1245
1988-10-19,39.2666
1988-10-26,39.4863
1988-11-02,39.8598
1988-11-09,40.0456
1988-11-16,40.2694
1988-11-23,40.5949
1988-11-30,40.7907
1988-12-07,40.8808
1988-12-14,41.0536
1988-12-21,41.3086
1988-12-28,41.2962
1989-01-04,41.9762
1989-01-11,42.0317
1989-01-18,42.1767
1989-01-25,42.1641
1989-02-01,42.4244
1989-02-08,42.8975
1989-02-15,43.005
1989-02-22,43.3187
1989-03-01,43.584
1989-03-08,43.7334
1989-03-15,44.0064
1989-03-22,44.1771
1989-03-29,44.4432
1989-04-05,44.4595
1989-04-12,44.643
1989-04-19,44.8371
1989-04-26,45.1391
1989-05-03,45.297
1989-05-10,45.5978
1989-05-17,45.6995
1989-05-24,45.9075
1989-05-31,46.1587
1989-06-07,46.3548
1989-06-14,46.5094
1989-06-21,46.6936
1989-06-28,47.0337
1989-07-05,47.0902
1989-07-12,47.3771
1989-07-19,47.6415
1989-07-26,47.6801
1989-08-02,47.8775
1989-08-09,48.1238
1989-08-16,48.3417
1989-08-23,48.5155
1989-08-30,48.6902
1989-09-06,48.8114
1989-09-13,48.9607
1989-09-20,49.2138
1989-09-27,49.3608
1989-10-04,49.1149
1989-10-11,49.3483
1989-10-18,49.6126
1989-10-25,49.8111
1989-11-01,50.0803
1989-11-08,50.1942
1989-11-15,50.422
1989-11-22,50.6639
1989-11-29,50.813
1989-12-06,51.0632
1989-12-13,51.3546
1989-12-20,51.4557
1989-12-27,51.655
1990-01-03,52.0255
1990-01-10,52.2793
1990-01-17,52.4007
1990-01-24,52.5744
1990-01-31,52.8177
1990-02-07,52.9312
1990-02-14,53.0718
1990-02-21,53.2355
1990-02-28,53.2727
1990-03-07,53.5935
1990-03-14,53.8907
1990-03-21,54.0881
1990-03-28,54.1817
1990-04-04,54.2108
1990-04-11,54.59
1990-04-18,54.842
1990-04-25,55.1523
1990-05-02,55.2732
1990-05-09,55.4252
1990-05-16,55.7133
1990-05-23,55.9887
1990-05-30,56.2958
1990-06-06,56.5531
1990-06-13,56.6541
1990-06-20,56.8804
1990-06-27,57.1058
1990-07-04,57.2055
1990-07-11,57.5963
1990-07-18,57.8787
1990-07-25,58.3863
1990-08-01,58.6276
1990-08-08,58.7996
1990-08-15,58.9981
1990-08-22,59.297
1990-08-29,59.3693
1990-09-05,59.4695
1990-09-12,59.7245
1990-09-19,59.6951
1990-09-26,60.2224
1990-10-03,60.8018
1990-10-10,60.991
1990-10-17,61.5752
1990-10-24,62.0438
1990-10-31,62.2338
1990-11-07,62.3305
1990-11-14,62.4595
1990-11-21,62.6873
1990-11-28,62.7993
1990-12-05,63.3565
1990-12-12,63.0474
1990-12-19,63.4698
1990-12-26,63.6671
1991-01-02,63.7248
1991-01-09,63.8094
1991-01-16,64.0956
1991-01-23,64.2404
1991-01-30,64.3938
1991-02-06,64.4387
1991-02-13,65.1522
1991-02-20,65.4587
1991-02-27,65.692
1991-03-06,65.8264
1991-03-13,66.0451
1991-03-20,66.2463
1991-03-27,66.4274
1991-04-03,66.5621
1991-04-10,66.73
1991-04-17,66.9095
1991-04-24,66.7401
1991-05-01,66.8623
1991-05-08,66.9939
1991-05-15,67.1471
1991-05-22,67.3389
1991-05-29,67.5509
1991-06-05,68.0983
1991-06-12,68.1382
1991-06-19,68.0087
1991-06-26,68.0314
1991-07-03,68.1948
1991-07-10,68.3567
1991-07-17,68.4661
1991-07-24,68.5813
1991-07-31,68.6465
1991-08-07,68.7321
1991-08-14,68.818
1991-08-21,69.1007
1991-08-28,69.1726
1991-09-04,69.2258
1991-09-11,69.5332
1991-09-18,69.6852
1991-09-25,69.7189
1991-10-02,70.1641
1991-10-09,70.3158
1991-10-16,70.2914
1991-10-23,70.485
1991-10-30,70.8264
1991-11-06,70.8879
1991-11-13,70.9839
1991-11-20,71.213
1991-11-27,71.4222
1991-12-04,71.569
1991-12-11,71.7744
1991-12-18,71.9647
1991-12-25,72.2565
1992-01-01,72.0235
1992-01-08,72.0524
1992-01-15,72.2538
1992-01-22,72.3156
1992-01-29,72.459
1992-02-05,72.4161
1992-02-12,72.3079
1992-02-19,72.3205
1992-02-26,72.3507
1992-03-04,72.3027
1992-03-11,72.2777
1992-03-18,72.3511
1992-03-25,72.4043
1992-04-01,72.9216
1992-04-08,72.8282
1992-04-15,72.9064
1992-04-22,72.8669
1992-04-29,72.9615
1992-05-06,73.1647
1992-05-13,73.2826
1992-05-20,73.3624
1992-05-27,73.3335
1992-06-03,73.2441
1992-06-10,73.4922
1992-06-17,73.4203
1992-06-24,73.6535
1992-07-01,73.7715
1992-07-08,73.7952
1992-07-15,73.9891
1992-07-22,74.0667
1992-07-29,74.0824
1992-08-05,74.0682
1992-08-12,74.1313
1992-08-19,74.2861
1992-08-26,74.2845
1992-09-02,73.9827
1992-09-09,73.9783
1992-09-16,74.1104
1992-09-23,74.1076
1992-09-30,74.4608
1992-10-07,74.8018
1992-10-14,74.7431
1992-10-21,74.6779
1992-10-28,74.6254
1992-11-04,74.6305
1992-11-11,74.8412
1992-11-18,74.8819
1992-11-25,74.8966
1992-12-02,74.8035
1992-12-09,75.1437
1992-12-16,75.0873
1992-12-23,74.9452
1992-12-30,75.1237
1993-01-06,75.1616
1993-01-13,75.0848
1993-01-20,75.2138
1993-01-27,75.3096
1993-02-03,75.2604
1993-02-10,75.2355
1993-02-17,75.2869
1993-02-24,75.3927
1993-03-03,75.8355
1993-03-10,75.8936
1993-03-17,75.9823
1993-03-24,76.0835
1993-03-31,76.2687
1993-04-07,76.2143
1993-04-14,76.2564
1993-04-21,76.3388
1993-04-28,76.3501
1993-05-05,76.3482
1993-05-12,76.3729
1993-05-19,76.3679
1993-05-26,76.5137
1993-06-02,76.2453
1993-06-09,76.2364
1993-06-16,76.5093
1993-06-23,76.3914
1993-06-30,76.3757
1993-07-07,76.4263
1993-07-14,75.4976
1993-07-21,75.3037
1993-07-28,74.9813
1993-08-04,74.6674
1993-08-11,74.4165
1993-08-18,74.3092
1993-08-25,74.1956
1993-09-01,76.5796
1993-09-08,76.4102
1993-09-15,76.2447
1993-09-22,75.9478
1993-09-29,75.5529
1993-10-06,75.0878
1993-10-13,74.9273
1993-10-20,74.7606
1993-10-27,74.6084
1993-11-03,74.4504
1993-11-10,74.4795
1993-11-17,74.394
1993-11-24,74.2802
1993-12-01,74.1739
1993-12-08,74.1237
1993-12-15,74.1167
1993-12-22,74.0018
1993-12-29,73.8553
1994-01-05,73.8788
1994-01-12,73.7451
1994-01-19,73.7766
1994-01-26,73.7997
1994-02-02,73.9139
1994-02-09,73.8867
1994-02-16,73.816
1994-02-23,73.8596
1994-03-02,73.8732
1994-03-09,73.9245
1994-03-16,73.8825
1994-03-23,74.0101
1994-03-30,73.9024
1994-04-06,74.0156
1994-04-13,73.9302
1994-04-20,73.8567
1994-04-27,73.8553
1994-05-04,73.8084
1994-05-11,73.9295
1994-05-18,74.0944
1994-05-25,74.2387
1994-06-01,74.2965
1994-06-08,74.3995
1994-06-15,74.4882
1994-06-22,74.314
1994-06-29,74.5809
1994-07-06,74.6466
1994-07-13,74.5658
1994-07-20,74.6276
1994-07-27,74.6484
1994-08-03,74.7385
1994-08-10,74.724
1994-08-17,74.8776
1994-08-24,75.0027
1994-08-31,74.8354
1994-09-07,74.8299
1994-09-14,74.9947
1994-09-21,75.1034
1994-09-28,75.1938
1994-10-05,75.266
