DATE,RHEDCBW027SBOG
1987-06-17,23.4401
1987-06-24,23.8133
1987-07-01,24.2952
1987-07-08,24.6337
1987-07-15,25.0167
1987-07-22,25.2685
1987-07-29,25.5521
1987-08-05,25.8073
1987-08-12,26.0096
1987-08-19,26.1761
1987-08-26,26.3937
1987-09-02,26.6251
1987-09-09,27.0452
1987-09-16,27.1467
1987-09-23,27.3494
1987-09-30,27.7146
1987-10-07,27.7445
1987-10-14,27.9234
1987-10-21,28.1049
1987-10-28,28.2645
1987-11-04,28.4903
1987-11-11,28.9302
1987-11-18,28.8563
1987-11-25,28.9884
1987-12-02,29.1008
1987-12-09,29.2257
1987-12-16,29.5191
1987-12-23,29.9487
1987-12-30,30.6997
1988-01-06,30.7393
1988-01-13,30.991
1988-01-20,31.094
1988-01-27,31.1549
1988-02-03,31.3185
1988-02-10,31.664
1988-02-17,31.8376
1988-02-24,31.8828
1988-03-02,32.1074
1988-03-09,32.2991
1988-03-16,32.3541
1988-03-23,32.4924
1988-03-30,32.6059
1988-04-06,33.0485
1988-04-13,33.0444
1988-04-20,33.3124
1988-04-27,33.5978
1988-05-04,33.9346
1988-05-11,34.1126
1988-05-18,34.1486
1988-05-25,34.2279
1988-06-01,34.5319
1988-06-08,34.7224
1988-06-15,34.9245
1988-06-22,35.1391
1988-06-29,35.3701
1988-07-06,35.5695
1988-07-13,35.7334
1988-07-20,35.9146
1988-07-27,36.1184
1988-08-03,36.4048
1988-08-10,36.466
1988-08-17,36.6231
1988-08-24,36.7615
1988-08-31,36.9012
1988-09-07,36.9965
1988-09-14,37.3791
1988-09-21,37.6711
1988-09-28,37.7052
1988-10-05,37.9381
1988-10-12,38.0727
1988-10-19,38.1862
1988-10-26,38.343
1988-11-02,38.652
1988-11-09,38.7958
1988-11-16,38.9998
1988-11-23,39.2907
1988-11-30,39.412
1988-12-07,39.5352
1988-12-14,39.6623
1988-12-21,39.8778
1988-12-28,39.8911
1989-01-04,40.3319
1989-01-11,40.3673
1989-01-18,40.4872
1989-01-25,40.4049
1989-02-01,40.6739
1989-02-08,41.0049
1989-02-15,41.1549
1989-02-22,41.5901
1989-03-01,41.7491
1989-03-08,41.9003
1989-03-15,42.1749
1989-03-22,42.3142
1989-03-29,42.5975
1989-04-05,42.7478
1989-04-12,42.8885
1989-04-19,43.1351
1989-04-26,43.4064
1989-05-03,43.687
1989-05-10,43.9493
1989-05-17,44.0737
1989-05-24,44.1902
1989-05-31,44.435
1989-06-07,44.7099
1989-06-14,44.9577
1989-06-21,45.1823
1989-06-28,45.4546
1989-07-05,45.5258
1989-07-12,45.8199
1989-07-19,46.097
1989-07-26,46.1909
1989-08-02,46.4293
1989-08-09,46.6178
1989-08-16,46.768
1989-08-23,46.9483
1989-08-30,47.1218
1989-09-06,47.248
1989-09-13,47.4299
1989-09-20,47.6967
1989-09-27,47.7944
1989-10-04,47.8599
1989-10-11,48.0523
1989-10-18,48.2755
1989-10-25,48.4349
1989-11-01,48.6782
1989-11-08,48.7898
1989-11-15,48.9834
1989-11-22,49.2067
1989-11-29,49.3387
1989-12-06,49.5442
1989-12-13,49.8283
1989-12-20,49.9232
1989-12-27,50.1261
1990-01-03,50.4863
1990-01-10,50.7239
1990-01-17,50.8134
1990-01-24,50.9605
1990-01-31,51.1279
1990-02-07,51.3519
1990-02-14,51.5371
1990-02-21,51.7129
1990-02-28,51.8219
1990-03-07,52.1349
1990-03-14,52.3568
1990-03-21,52.5572
1990-03-28,52.5992
1990-04-04,52.5329
1990-04-11,52.9436
1990-04-18,53.1952
1990-04-25,53.4752
1990-05-02,53.6643
1990-05-09,53.8312
1990-05-16,54.0504
1990-05-23,54.2393
1990-05-30,54.5399
1990-06-06,54.7893
1990-06-13,54.9315
1990-06-20,55.1835
1990-06-27,55.413
1990-07-04,55.5295
1990-07-11,55.8391
1990-07-18,56.1583
1990-07-25,56.6599
1990-08-01,56.9321
1990-08-08,57.0981
1990-08-15,57.2711
1990-08-22,57.537
1990-08-29,57.5924
1990-09-05,57.6635
1990-09-12,57.884
1990-09-19,57.8359
1990-09-26,58.3697
1990-10-03,58.8786
1990-10-10,59.0527
1990-10-17,59.6231
1990-10-24,60.0839
1990-10-31,60.2927
1990-11-07,60.3707
1990-11-14,60.5269
1990-11-21,60.7223
1990-11-28,60.8144
1990-12-05,61.3167
1990-12-12,60.9709
1990-12-19,61.3917
1990-12-26,61.5558
1991-01-02,61.6211
1991-01-09,61.6889
1991-01-16,61.8654
1991-01-23,61.9428
1991-01-30,62.0227
1991-02-06,62.1507
1991-02-13,62.899
1991-02-20,63.2067
1991-02-27,63.4204
1991-03-06,63.5428
1991-03-13,63.7375
1991-03-20,63.9278
1991-03-27,64.093
1991-04-03,64.1791
1991-04-10,64.3188
1991-04-17,64.5183
1991-04-24,64.7109
1991-05-01,64.8504
1991-05-08,65.0074
1991-05-15,65.0956
1991-05-22,65.2173
1991-05-29,65.4214
1991-06-05,65.9751
1991-06-12,66.0423
1991-06-19,65.9338
1991-06-26,65.9576
1991-07-03,65.9518
1991-07-10,66.1489
1991-07-17,66.2926
1991-07-24,66.4144
1991-07-31,66.5119
1991-08-07,66.5926
1991-08-14,66.6601
1991-08-21,66.9073
1991-08-28,66.9926
1991-09-04,67.0641
1991-09-11,67.3802
1991-09-18,67.5335
1991-09-25,67.5838
1991-10-02,68.0033
1991-10-09,68.1014
1991-10-16,67.98
1991-10-23,68.1532
1991-10-30,68.4125
1991-11-06,68.5557
1991-11-13,68.6749
1991-11-20,68.9048
1991-11-27,69.0843
1991-12-04,69.1687
1991-12-11,69.401
1991-12-18,69.5823
1991-12-25,69.8429
1992-01-01,69.7219
1992-01-08,69.7305
1992-01-15,69.8831
1992-01-22,69.9677
1992-01-29,70.019
1992-02-05,70.0458
1992-02-12,69.9305
1992-02-19,69.968
1992-02-26,70.0037
1992-03-04,69.9632
1992-03-11,69.9365
1992-03-18,70.0318
1992-03-25,70.077
1992-04-01,70.6459
1992-04-08,70.5219
1992-04-15,70.6221
1992-04-22,70.5376
1992-04-29,70.6342
1992-05-06,70.8559
1992-05-13,70.9154
1992-05-20,70.9393
1992-05-27,70.9104
1992-06-03,70.7851
1992-06-10,71.0344
1992-06-17,71.202
1992-06-24,71.3735
1992-07-01,71.3871
1992-07-08,71.4361
1992-07-15,71.6506
1992-07-22,71.7189
1992-07-29,71.7482
1992-08-05,71.7642
1992-08-12,71.8153
1992-08-19,71.956
1992-08-26,71.9664
1992-09-02,71.664
1992-09-09,71.7545
1992-09-16,71.9073
1992-09-23,71.9279
1992-09-30,72.2324
1992-10-07,72.5843
1992-10-14,72.5754
1992-10-21,72.5135
1992-10-28,72.4846
1992-11-04,72.4896
1992-11-11,72.6991
1992-11-18,72.7516
1992-11-25,72.777
1992-12-02,72.7145
1992-12-09,72.905
1992-12-16,72.8452
1992-12-23,72.6986
1992-12-30,72.8637
1993-01-06,72.9014
1993-01-13,72.7837
1993-01-20,72.8638
1993-01-27,72.8673
1993-02-03,72.8748
1993-02-10,72.9461
1993-02-17,72.9853
1993-02-24,73.1694
1993-03-03,73.6907
1993-03-10,73.7679
1993-03-17,73.8646
1993-03-24,73.982
1993-03-31,74.2219
