DATE,QUSR368BIS
1971-01-01,1.3825
1971-04-01,3.9645
1971-07-01,3.5154
1971-10-01,5.586
1972-01-01,3.1135
1972-04-01,3.5292
1972-07-01,4.5681
1972-10-01,3.866
1973-01-01,7.5698
1973-04-01,5.6011
1973-07-01,4.9116
1973-10-01,3.4597
1974-01-01,-0.0448
1974-04-01,-1.0483
1974-07-01,-1.7424
1974-10-01,-3.8414
1975-01-01,-2.6831
1975-04-01,-0.5639
1975-07-01,-0.5519
1975-10-01,2.0696
1976-01-01,-2.3961
1976-04-01,-1.8582
1976-07-01,-0.611
1976-10-01,2.0715
1977-01-01,8.3045
1977-04-01,9.0141
1977-07-01,10.3692
1977-10-01,9.119
1978-01-01,9.2504
1978-04-01,7.4652
1978-07-01,6.9685
1978-10-01,6.0193
1979-01-01,5.4025
1979-04-01,5.4714
1979-07-01,4.0154
1979-10-01,3.9375
1980-01-01,0.3198
1980-04-01,-3.0385
1980-07-01,-2.1077
1980-10-01,-3.3999
1981-01-01,-2.5087
1981-04-01,-1.0885
1981-07-01,-4.2331
1981-10-01,-3.818
1982-01-01,-3.5060000000000002
1982-04-01,-3.7239999999999998
1982-07-01,-3.5449
1982-10-01,-3.0024
1983-01-01,-1.4191
1983-04-01,-0.0537
1983-07-01,1.8642
1983-10-01,1.8283
1984-01-01,0.6552
1984-04-01,0.8309
1984-07-01,1.0789
1984-10-01,0.5233
1985-01-01,1.1944
1985-04-01,1.3675
1985-07-01,1.7099
1985-10-01,2.8904
1986-01-01,4.0716
1986-04-01,5.8402
1986-07-01,6.6684
1986-10-01,6.6473
1987-01-01,7.0343
1987-04-01,5.807
1987-07-01,5.2839
1987-10-01,5.3725
1988-01-01,4.1582
1988-04-01,4.4591
1988-07-01,4.9691
1988-10-01,5.2952
1989-01-01,5.412999999999999
1989-04-01,4.0414
1989-07-01,3.133
1989-10-01,2.3224
1990-01-01,0.4843
1990-04-01,-0.3617
1990-07-01,-2.8455
1990-10-01,-5.5279
1991-01-01,-6.3024
1991-04-01,-5.3522
1991-07-01,-4.5836
1991-10-01,-3.557
1992-01-01,-2.5076
1992-04-01,-3.6019
1992-07-01,-3.4793
1992-10-01,-2.8229
1993-01-01,-2.9347
1993-04-01,-2.2375
1993-07-01,-0.9881
1993-10-01,-0.3831
1994-01-01,-0.1718
1994-04-01,0.0583
1994-07-01,-0.6221
1994-10-01,-0.8772
1995-01-01,-0.9947
1995-04-01,-1.1617
1995-07-01,-0.3315
1995-10-01,-0.2458
1996-01-01,0.1775
1996-04-01,0.1306
1996-07-01,-0.2806
1996-10-01,-0.41200000000000003
1997-01-01,-0.2061
1997-04-01,0.6708
1997-07-01,1.494
1997-10-01,2.7579
1998-01-01,4.3704
1998-04-01,4.5829
1998-07-01,5.1615
1998-10-01,5.5824
1999-01-01,4.9842
1999-04-01,5.19
1999-07-01,5.11
1999-10-01,5.1055
2000-01-01,5.4305
2000-04-01,5.9585
2000-07-01,5.9988
2000-10-01,6.1966
2001-01-01,6.164
2001-04-01,5.3106
2001-07-01,5.7374
2001-10-01,5.9423
2002-01-01,5.9759
2002-04-01,6.825
2002-07-01,7.2029
2002-10-01,6.9824
2003-01-01,6.5026
2003-04-01,6.7947
2003-07-01,7.0941
2003-10-01,8.73
2004-01-01,10.3278
2004-04-01,11.1305
2004-07-01,11.7961
2004-10-01,11.6754
2005-01-01,12.7219
2005-04-01,12.7702
2005-07-01,11.8819
2005-10-01,10.8752
2006-01-01,8.5698
2006-04-01,3.34
2006-07-01,-0.2339
2006-10-01,-1.5956
2007-01-01,-4.7689
2007-04-01,-7.1047
2007-07-01,-8.7186
2007-10-01,-12.9707
2008-01-01,-15.6754
2008-04-01,-17.3029
2008-07-01,-19.465
2008-10-01,-18.2278
2009-01-01,-15.9747
2009-04-01,-10.9628
2009-07-01,-6.0481
2009-10-01,-3.3776
2010-01-01,-2.3159
2010-04-01,-1.4379
2010-07-01,-3.2867
2010-10-01,-4.7563
2011-01-01,-6.3348
2011-04-01,-7.3046
2011-07-01,-5.209
2011-10-01,-4.092
2012-01-01,-1.0539
2012-04-01,1.8673
2012-07-01,3.6931
2012-10-01,5.9191
2013-01-01,7.8311
2013-04-01,8.1525
2013-07-01,8.5053
2013-10-01,8.5533
2014-01-01,7.0946
2014-04-01,4.381
2014-07-01,3.4558
2014-10-01,3.5814
2015-01-01,4.8753
2015-04-01,5.406000000000001
2015-07-01,5.3462
2015-10-01,4.9216
2016-01-01,4.2378
2016-04-01,4.2266
2016-07-01,4.1165
2016-10-01,3.5117
2017-01-01,2.9041
2017-04-01,3.8510000000000004
2017-07-01,3.9526
2017-10-01,3.8265
2018-01-01,3.9304
2018-04-01,3.1645
2018-07-01,2.6818
2018-10-01,2.385
2019-01-01,2.15
2019-04-01,1.7766
2019-07-01,2.0198
2019-10-01,2.3769
2020-01-01,2.9861
2020-04-01,4.614
2020-07-01,5.8552
2020-10-01,8.2134
2021-01-01,9.3335
2021-04-01,10.3584
2021-07-01,10.9784
2021-10-01,9.8244
2022-01-01,9.9139
2022-04-01,7.3059
2022-07-01,2.4968
2022-10-01,0.0822
2023-01-01,-2.029
2023-04-01,-2.0689
2023-07-01,1.0651
2023-10-01,2.2158
2024-01-01,1.9691
2024-04-01,1.4280000000000002
